policy,phase,kind,phase_name,mean_mops_s,median_mops_s,mean_MB_s,median_MB_s,steady_samples,cg_hint_faults_m,vm_hint_faults_local_m,pgpromote_success_pages,pgpromote_success_gib,migrate_total_pages,migrate_total_gib,promotion_blocked_m,sampled_m,sampled_refault_m,sampled_refault_rate_pct,sampled_refault_total_ms,sampled_refault_avg_us,anon_n0_end_gib,anon_n1_end_gib,reclaimd_run_count_delta
off,1,friendly,mulshift-hotset-4g-fixed,399.53357331213357,395.6092776296296,25570.14869197655,25318.993768296295,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026702880859375,62.55375671386719,0.0
off,2,unfriendly,sparse-stride-read-64g-block2m,32.132139764974674,33.554432,257.0571181197974,268.435456,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4466552734375,62.553768157958984,0.0
off,3,friendly,mulshift-hotset-4g-fixed,408.47415340034473,396.754944,26142.345817622063,25392.316416,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4466552734375,62.553768157958984,0.0
off,4,unfriendly,sparse-stride-read-64g-block2m,32.98545830471926,33.554432,263.8836664377541,268.435456,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4466590881347656,62.553768157958984,0.0
off,5,friendly,mulshift-hotset-4g-fixed,401.24146360399044,396.361728,25679.453670655388,25367.150592,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4466590881347656,62.553768157958984,0.0
off,6,unfriendly,sparse-stride-read-64g-block2m,32.985454894124,33.554432,263.883639152992,268.435456,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4466590881347656,62.553768157958984,0.0
on,1,friendly,mulshift-hotset-4g-fixed,2486.5111615444325,4231.898323756243,159136.71433884368,270841.4927203996,58,1.153482,0.104859,1048583.0,4.000026702880859,1048583.0,4.000026702880859,0.0,0.104859,0.104859,100.0,328.0,3.1280099943733966,4.0003204345703125,58.55424118041992,0.0
on,2,unfriendly,sparse-stride-read-64g-block2m,50.03750597162119,50.331648,400.3000477729695,402.653184,59,13.741969,0.11779,1178323.0,4.494945526123047,1177930.0,4.493446350097656,0.131548,0.11779,0.11779,100.0,312.0,2.64878173019781,15.599246978759766,48.401126861572266,1.0
on,3,friendly,mulshift-hotset-4g-fixed,3031.9203042668373,3026.518016,194042.8994730776,193697.153024,59,2.233323,0.00048,4775.0,0.018215179443359375,4775.0,0.018215179443359375,0.265781,0.00048,0.00048,100.0,16.0,33.333333333333336,15.617462158203125,48.382911682128906,16.0
on,4,unfriendly,sparse-stride-read-64g-block2m,50.616038304209965,50.331648,404.9283064336797,402.653184,59,5.191083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.617443084716797,48.38288116455078,0.0
on,5,friendly,mulshift-hotset-4g-fixed,3071.2194247615685,3086.352384,196558.04318474038,197526.552576,59,2.212353,0.0,0.0,0.0,0.0,0.0,0.267242,0.0,0.0,0.0,0.0,0.0,15.617496490478516,48.38288116455078,14.0
on,6,unfriendly,sparse-stride-read-64g-block2m,50.0459385853503,50.331648,400.3675086828024,402.653184,59,10.760812,0.0,2.0,7.62939453125e-06,2.0,7.62939453125e-06,0.0,0.0,0.0,0.0,0.0,0.0,15.617504119873047,48.38287353515625,0.0
adaptive_cgroup,1,friendly,mulshift-hotset-4g-fixed,2337.4519935297,2373.4725717077076,149596.9275859008,151902.2445892933,58,1.176419,0.106988,1069453.0,4.079639434814453,1069776.0,4.08087158203125,0.0,0.106979,0.106978,99.99906523710261,328.0,3.066050963749556,4.084583282470703,58.474205017089844,0.0
adaptive_cgroup,2,unfriendly,sparse-stride-read-64g-block2m,42.36623708455512,50.231185628742516,338.92989667644093,401.8494850299401,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.684185028076172,57.316200256347656,0.0
adaptive_cgroup,3,friendly,mulshift-hotset-4g-fixed,4299.539282280093,4299.292672,275170.51406592596,275154.731008,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.684185028076172,57.316200256347656,0.0
adaptive_cgroup,4,unfriendly,sparse-stride-read-64g-block2m,42.08076096549873,50.08124179104478,336.64608772398987,400.64993432835826,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1737823486328125,56.826602935791016,0.0
adaptive_cgroup,5,friendly,mulshift-hotset-4g-fixed,4305.19486095205,4304.797696,275532.4711009312,275507.052544,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1737823486328125,56.826602935791016,0.0
adaptive_cgroup,6,unfriendly,sparse-stride-read-64g-block2m,43.79371142287139,50.28136663336664,350.3496913829711,402.2509330669331,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.970821380615234,55.02956771850586,0.0
