candidate,policy,phase_kind,phases,avg_mean_Mops_s,avg_mean_MBps,sampled,refaults,refault_pct,refaults_per_s,latency_us,refault_total_ms,promotions,hint_faults
phase_mulshift4g_rot_move16g3s,adaptive_cgroup,friendly_mulshift4g,"1,3,5",3380.2253247030053,216334.42078099234,269811,269811,100.0,1498.95,9.043367394212986,2440,2698054,2967866
phase_mulshift4g_rot_move16g3s,adaptive_cgroup,unfriendly_move16g3s,"2,4,6",3105.2058358688464,198733.17349560617,94818,94817,99.99894534792972,526.7611111111111,5.568621660672664,528,948203,1667689
phase_mulshift4g_rot_move16g3s,off,friendly_mulshift4g,"1,3,5",3458.7682408429955,221361.1674139517,0,0,0.0,0.0,0.0,0,0,0
phase_mulshift4g_rot_move16g3s,off,unfriendly_move16g3s,"2,4,6",3248.7384583310704,207919.2613331885,0,0,0.0,0.0,0.0,0,0,0
phase_mulshift4g_rot_move16g3s,on,friendly_mulshift4g,"1,3,5",3380.1920987196168,216332.29431805547,257969,257969,100.0,1433.161111111111,3.8299175482325394,988,2579698,7742154
phase_mulshift4g_rot_move16g3s,on,unfriendly_move16g3s,"2,4,6",2651.718375595856,169709.97603813477,1401190,1401190,100.0,7784.388888888889,6.425966499903653,9004,14011871,90635701
phase_mulshift4g_rot_sparse64,adaptive_cgroup,friendly_mulshift4g,"1,3,5",3165.9327767620107,202619.69771276868,308099,308099,100.0,1711.661111111111,8.451828795289826,2604,3080972,3865295
phase_mulshift4g_rot_sparse64,adaptive_cgroup,unfriendly_sparse64,"2,4,6",152.98914125251727,1223.9131300201382,106900,106900,100.0,593.8888888888889,3.6295603367633302,388,1069017,5670277
phase_mulshift4g_rot_sparse64,off,friendly_mulshift4g,"1,3,5",3307.159575309125,211658.212819784,0,0,0.0,0.0,0.0,0,0,0
phase_mulshift4g_rot_sparse64,off,unfriendly_sparse64,"2,4,6",151.94548666567962,1215.563893325437,0,0,0.0,0.0,0.0,0,0,0
phase_mulshift4g_rot_sparse64,on,friendly_mulshift4g,"1,3,5",3268.932633869,209211.688567616,191018,191018,100.0,1061.2111111111112,3.6855165481787058,704,1910069,16614617
phase_mulshift4g_rot_sparse64,on,unfriendly_sparse64,"2,4,6",98.67220426016264,789.3776340813012,501392,501392,100.0,2785.511111111111,13.275042282286115,6656,5014031,70022121
