candidate,policy,phase_id,phase_name,phase_kind,mean_Mops_s,median_Mops_s,mean_MBps,sample_count,refaults,sampled,pte_updates,refault_pct,refaults_per_s,latency_us,refault_total_ms,cg_promote_sampled,cg_promote_sampled_pte_updates,cg_promote_sampled_refault,cg_promote_sampled_refault_total_ms,cg_promote_sampled_lost,cg_pgpromote_success,cg_pgdemote_kswapd,cg_numa_hint_faults,cg_migrate_promotion,cg_migrate_fail_promotion_blocked,cg_migrate_fail_promotion_alloc
phase_mulshift4g_rot_move16g3s,adaptive_cgroup,1,mulshift-hotset-4g-off0g,friendly_mulshift4g,3431.3311914507876,3521.2075901821822,219605.1962528504,60,60092,60092,60092,100.0,1001.5333333333333,4.526392864274778,272,60092,60092,60092,272,0,600902,0,660995,600902,0,0
phase_mulshift4g_rot_move16g3s,adaptive_cgroup,2,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,3073.40589233967,3086.09024,196697.9771097389,61,17847,17847,17847,100.0,297.45,5.379055303412338,96,17847,17847,17847,96,0,178446,0,196301,178446,0,0
phase_mulshift4g_rot_move16g3s,adaptive_cgroup,3,mulshift-hotset-4g-off24g,friendly_mulshift4g,3408.078327786009,3511.222272,218117.01297830458,61,104860,104860,104860,100.0,1747.6666666666667,6.484836925424375,680,104860,104860,104860,680,0,1048576,0,1153436,1048576,0,0
phase_mulshift4g_rot_move16g3s,adaptive_cgroup,4,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,3113.2975239724638,3112.796323676324,199251.04153423768,61,49960,49961,49961,99.99799843878225,832.6666666666666,4.563650920736589,228,49961,49961,49960,228,0,499690,0,549666,499690,0,0
phase_mulshift4g_rot_move16g3s,adaptive_cgroup,5,mulshift-hotset-4g-off48g,friendly_mulshift4g,3301.2664548722187,3380.67456,211281.053111822,61,104859,104859,104859,100.0,1747.65,14.190484364718335,1488,104859,104859,104859,1488,0,1048576,0,1153435,1048576,0,0
phase_mulshift4g_rot_move16g3s,adaptive_cgroup,6,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,3128.914091294405,3138.19136,200250.5018428419,61,27010,27010,27010,100.0,450.1666666666667,7.552758237689744,204,27010,27010,27010,204,0,270067,0,921722,270067,34,0
phase_mulshift4g_rot_move16g3s,off,1,mulshift-hotset-4g-off0g,friendly_mulshift4g,3493.0631084808406,3572.727808,223556.0389427738,60,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
phase_mulshift4g_rot_move16g3s,off,2,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,3187.016373883643,3231.1412852852854,203969.04792855316,61,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
phase_mulshift4g_rot_move16g3s,off,3,mulshift-hotset-4g-off24g,friendly_mulshift4g,3363.719729575873,3371.433984,215278.06269285586,61,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
phase_mulshift4g_rot_move16g3s,off,4,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,3277.7925300143957,3274.50624,209778.72192092132,61,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
phase_mulshift4g_rot_move16g3s,off,5,mulshift-hotset-4g-off48g,friendly_mulshift4g,3519.5218844722735,3526.610898898899,225249.4006062255,61,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
phase_mulshift4g_rot_move16g3s,off,6,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,3281.406471095173,3271.294976,210010.01415009107,61,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
phase_mulshift4g_rot_move16g3s,on,1,mulshift-hotset-4g-off0g,friendly_mulshift4g,3480.7998321773816,3567.747072,222771.18925935242,60,66159,66159,66159,100.0,1102.65,4.413609637388715,292,66159,66159,66159,292,0,661520,0,727681,661520,0,0
phase_mulshift4g_rot_move16g3s,on,2,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,2807.614244404539,3168.5573573573574,179687.3116418905,61,573410,573410,573410,100.0,9556.833333333334,8.61512704696465,4940,573410,573410,573410,4940,0,5734096,0,26074712,5734096,567736,0
phase_mulshift4g_rot_move16g3s,on,3,mulshift-hotset-4g-off24g,friendly_mulshift4g,3405.334917795952,3483.631616,217941.43473894094,61,93560,93560,93560,100.0,1559.3333333333333,4.0188114578879865,376,93560,93560,93560,376,0,935666,0,2993836,935666,78203,0
phase_mulshift4g_rot_move16g3s,on,4,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,2766.8828487071514,2955.214848,177080.5023172577,61,323130,323130,323130,100.0,5385.5,2.661467520812057,860,323130,323130,323130,860,0,3231242,0,25602266,3231290,367746,0
phase_mulshift4g_rot_move16g3s,on,5,mulshift-hotset-4g-off48g,friendly_mulshift4g,3254.441546185516,3333.947392,208284.25895587303,61,98250,98250,98250,100.0,1637.5,3.2569974554707377,320,98250,98250,98250,320,0,982560,0,4020637,982512,91874,0
phase_mulshift4g_rot_move16g3s,on,6,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,2380.658033675877,2411.974086086086,152362.11415525613,61,504650,504650,504650,100.0,8410.833333333334,6.348954721093827,3204,504650,504650,504650,3204,0,5046485,0,38958723,5046485,445435,0
phase_mulshift4g_rot_sparse64,adaptive_cgroup,1,mulshift-hotset-4g-off40g,friendly_mulshift4g,3382.865481829589,3549.462528,216503.3908370937,60,104859,104859,104859,100.0,1747.65,2.8228382876052605,296,104859,104859,104859,296,0,1048582,0,1153441,1048582,0,0
phase_mulshift4g_rot_sparse64,adaptive_cgroup,2,sparse-stride-read-64g,unfriendly_sparse64,152.13882823115162,150.994944,1217.110625849213,61,10780,10780,10780,100.0,179.66666666666666,2.968460111317254,32,10780,10780,10780,32,0,107768,0,118553,107768,0,0
phase_mulshift4g_rot_sparse64,adaptive_cgroup,3,mulshift-hotset-4g-off48g,friendly_mulshift4g,3104.249767686854,3466.133504,198671.98513195865,61,104110,104110,104110,100.0,1735.1666666666667,4.725770819325713,492,104110,104110,104110,492,0,1041153,0,1145263,1041153,0,0
