run,candidate,primary,metric,off,on,on_off_ratio,delta_pct,off_mops_s,on_mops_s,off_MB_s,on_MB_s,promote_gib_on,hint_faults_on_m,blocked_on_m,vm_pgmigrate_success_on_m,vm_pgmigrate_fail_on_m
quick30b_20260507T080015Z,sparse_stride_read_64g_block2m_remoteft,bytes,mean_MB_s,437.45037274074076,109.36259318518518,0.24999999999999997,-75.0,54.681296592592595,13.670324148148147,437.45037274074076,109.36259318518518,14.185977935791016,16.248009,0.0,3.718769,0.0
quick30b_20260507T080015Z,sparse_stride_write_64g_remoteft,bytes,mean_MB_s,462.30550755555555,387.16652307692306,0.8374689826302729,-16.25310173697271,57.788188444444444,48.39581538461538,462.30550755555555,387.16652307692306,14.184928894042969,6.810221,0.0,3.718494,0.0
quick30_20260507T072817Z,pc_64g_stride_remoteft,ops,mean_mops_s,119.42843733333333,101.33807407407407,0.8485254964128204,-15.147450358717961,119.42843733333333,101.33807407407407,7643.419989333333,6485.636740740741,18.529266357421875,109.46574,0.523286,6.041873,0.523426
quick30_20260507T072817Z,sparse_stride_read_64g_remoteft,bytes,mean_MB_s,735.7119905185185,666.117613037037,0.9054054054054054,-9.459459459459463,91.96399881481481,83.26470162962963,735.7119905185185,666.117613037037,14.170539855957031,9.429477,0.0,3.714722,0.0
quick30b_20260507T080015Z,pc_64g_stride_remoteft,ops,mean_mops_s,118.01334518518519,107.79458370370371,0.9134101192924723,-8.658988070752772,118.01334518518519,107.79458370370371,7552.854091851852,6898.853357037037,17.585018157958984,92.183401,0.371383,5.534713,0.371412
quick30b_20260507T080015Z,irregular_uniform_sweep_32g_remoteft,ops,mean_mops_s,147.11132918518518,152.78140681481483,1.038542766631468,3.854276663146794,147.11132918518518,152.78140681481483,9415.125067851852,9778.010036148149,3.190887451171875,0.920121,0.0,0.942456,0.0
quick30b_20260507T080015Z,pc_48g_stride_remoteft,ops,mean_mops_s,91.78923614814815,97.92777481481481,1.0668764544108313,6.687645441083134,91.78923614814815,97.92777481481481,5874.5111134814815,6267.377588148148,14.919109344482422,70.964217,0.351637,4.107156,0.351638
quick30_20260507T072817Z,index_rf_segmented_64g_span4k,ops,mean_mops_s,168.85957214814815,180.5104165925926,1.0689972401103958,6.899724011039576,168.85957214814815,180.5104165925926,10807.012617481481,11552.666661925927,0.2544708251953125,0.073386,0.0,0.066708,0.0
quick30b_20260507T080015Z,irregular_uniform_sweep_64g_remoteft,ops,mean_mops_s,119.30464711111111,127.76495261538462,1.0709134615384615,7.091346153846145,119.30464711111111,127.76495261538462,7635.497415111111,8176.956967384615,1.0046539306640625,0.289703,0.0,0.263364,0.0
quick30_20260507T072817Z,index_rf_segmented_64g_span256k,ops,mean_mops_s,228.90025718518518,259.50314192592595,1.1336952833389888,13.369528333898884,228.90025718518518,259.50314192592595,14649.616459851852,16608.20108325926,0.06250762939453125,0.018025,0.0,0.016386,0.0
quick30_20260507T072817Z,index_rf_segmented_64g_span64k,ops,mean_mops_s,218.88053096296295,271.23165866666665,1.2391767210787792,23.91767210787792,218.88053096296295,271.23165866666665,14008.353981629629,17358.826154666665,0.06250381469726562,0.018024,0.0,0.016385,0.0
quick30b_20260507T080015Z,pc_32g_stride_remoteft,ops,mean_mops_s,127.41654755555555,171.8766554074074,1.3489351163942547,34.89351163942547,127.41654755555555,171.8766554074074,8154.659043555555,11000.105946074074,14.521980285644531,47.090024,0.338383,3.890859,0.338391
quick30_20260507T072817Z,skew_rf_read_8g_move_1s_mulshift_persistent,ops,mean_mops_s,441.8971117037037,1006.043136,2.2766456474930794,127.66456474930794,441.8971117037037,1006.043136,28281.415149037035,64386.760704,19.484851837158203,28.812455,0.332004,7.156744,0.33203
quick30_20260507T072817Z,skew_rf_read_16g_move_250ms_mulshift_persistent,ops,mean_mops_s,303.46080711111114,740.1344568888888,2.4389787397418052,143.89787397418053,303.46080711111114,740.1344568888888,19421.491655111113,47368.605240888886,21.47460174560547,37.830938,0.350585,7.944146,0.350585
quick30_20260507T072817Z,skew_rf_read_12g_move_250ms_mulshift_persistent,ops,mean_mops_s,228.28858785185184,613.1522953846154,2.68586485708397,168.586485708397,228.28858785185184,613.1522953846154,14610.469622518518,39241.746904615386,30.424903869628906,31.744341,0.330514,12.790868,0.330595
quick30_20260507T072817Z,skew_rf_read_12g_move_500ms_mulshift_persistent,ops,mean_mops_s,230.99255466666668,636.3351419259259,2.7547863732845763,175.47863732845764,230.99255466666668,636.3351419259259,14783.523498666667,40725.44908325926,27.912818908691406,31.964438,0.33758,11.101109,0.337604
quick30_20260507T072817Z,skew_rf_read_16g_move_500ms_mulshift_persistent,ops,mean_mops_s,325.255168,947.401019076923,2.9127931307056834,191.27931307056832,325.255168,947.401019076923,20816.330752,60633.665220923074,22.120582580566406,33.00549,0.310068,8.392695,0.310076
