run,candidate,policy,primary,returncode,mean_mops_s,mean_MB_s,promote_gib,hint_faults,blocked,pgpromote_success,vm_pgmigrate_success,vm_pgmigrate_fail
quick30_20260507T072817Z,index_rf_segmented_64g_span256k,off,ops,0,228.90025718518518,14649.616459851852,0.0,0,0,0,0,0
quick30_20260507T072817Z,index_rf_segmented_64g_span256k,on,ops,0,259.50314192592595,16608.20108325926,0.06250762939453125,18025,0,16386,16386,0
quick30_20260507T072817Z,index_rf_segmented_64g_span4k,off,ops,0,168.85957214814815,10807.012617481481,0.0,0,0,0,217693,0
quick30_20260507T072817Z,index_rf_segmented_64g_span4k,on,ops,0,180.5104165925926,11552.666661925927,0.2544708251953125,73386,0,66708,66708,0
quick30_20260507T072817Z,index_rf_segmented_64g_span64k,off,ops,0,218.88053096296295,14008.353981629629,0.0,0,0,0,0,0
quick30_20260507T072817Z,index_rf_segmented_64g_span64k,on,ops,0,271.23165866666665,17358.826154666665,0.06250381469726562,18024,0,16385,16385,0
quick30_20260507T072817Z,pc_64g_stride_remoteft,off,ops,0,119.42843733333333,7643.419989333333,0.0,0,0,0,0,0
quick30_20260507T072817Z,pc_64g_stride_remoteft,on,ops,0,101.33807407407407,6485.636740740741,18.529266357421875,109465740,523286,4857336,6041873,523426
quick30_20260507T072817Z,skew_rf_read_12g_move_250ms_mulshift_persistent,off,ops,0,228.28858785185184,14610.469622518518,0.0,0,0,0,174080,0
quick30_20260507T072817Z,skew_rf_read_12g_move_250ms_mulshift_persistent,on,ops,0,613.1522953846154,39241.746904615386,30.424903869628906,31744341,330514,7975706,12790868,330595
quick30_20260507T072817Z,skew_rf_read_12g_move_500ms_mulshift_persistent,off,ops,0,230.99255466666668,14783.523498666667,0.0,0,0,0,306152,0
quick30_20260507T072817Z,skew_rf_read_12g_move_500ms_mulshift_persistent,on,ops,0,636.3351419259259,40725.44908325926,27.912818908691406,31964438,337580,7317178,11101109,337604
quick30_20260507T072817Z,skew_rf_read_16g_move_250ms_mulshift_persistent,off,ops,0,303.46080711111114,19421.491655111113,0.0,0,0,0,0,0
quick30_20260507T072817Z,skew_rf_read_16g_move_250ms_mulshift_persistent,on,ops,0,740.1344568888888,47368.605240888886,21.47460174560547,37830938,350585,5629438,7944146,350585
quick30_20260507T072817Z,skew_rf_read_16g_move_500ms_mulshift_persistent,off,ops,0,325.255168,20816.330752,0.0,0,0,0,254976,0
quick30_20260507T072817Z,skew_rf_read_16g_move_500ms_mulshift_persistent,on,ops,0,947.401019076923,60633.665220923074,22.120582580566406,33005490,310068,5798778,8392695,310076
quick30_20260507T072817Z,skew_rf_read_8g_move_1s_mulshift_persistent,off,ops,0,441.8971117037037,28281.415149037035,0.0,0,0,0,335407,0
quick30_20260507T072817Z,skew_rf_read_8g_move_1s_mulshift_persistent,on,ops,0,1006.043136,64386.760704,19.484851837158203,28812455,332004,5107837,7156744,332030
quick30_20260507T072817Z,sparse_stride_read_64g_remoteft,off,bytes,0,91.96399881481481,735.7119905185185,0.0,0,0,0,0,0
quick30_20260507T072817Z,sparse_stride_read_64g_remoteft,on,bytes,0,83.26470162962963,666.117613037037,14.170539855957031,9429477,0,3714722,3714722,0
quick30b_20260507T080015Z,irregular_uniform_sweep_32g_remoteft,off,ops,0,147.11132918518518,9415.125067851852,0.0,0,0,0,0,0
quick30b_20260507T080015Z,irregular_uniform_sweep_32g_remoteft,on,ops,0,152.78140681481483,9778.010036148149,3.190887451171875,920121,0,836472,942456,0
quick30b_20260507T080015Z,irregular_uniform_sweep_64g_remoteft,off,ops,0,119.30464711111111,7635.497415111111,0.0,0,0,0,0,0
quick30b_20260507T080015Z,irregular_uniform_sweep_64g_remoteft,on,ops,0,127.76495261538462,8176.956967384615,1.0046539306640625,289703,0,263364,263364,0
quick30b_20260507T080015Z,pc_32g_stride_remoteft,off,ops,0,127.41654755555555,8154.659043555555,0.0,0,0,0,0,0
quick30b_20260507T080015Z,pc_32g_stride_remoteft,on,ops,0,171.8766554074074,11000.105946074074,14.521980285644531,47090024,338383,3806850,3890859,338391
quick30b_20260507T080015Z,pc_48g_stride_remoteft,off,ops,0,91.78923614814815,5874.5111134814815,0.0,0,0,0,11264,0
quick30b_20260507T080015Z,pc_48g_stride_remoteft,on,ops,0,97.92777481481481,6267.377588148148,14.919109344482422,70964217,351637,3910955,4107156,351638
quick30b_20260507T080015Z,pc_64g_stride_remoteft,off,ops,0,118.01334518518519,7552.854091851852,0.0,0,0,0,309280,0
quick30b_20260507T080015Z,pc_64g_stride_remoteft,on,ops,0,107.79458370370371,6898.853357037037,17.585018157958984,92183401,371383,4609807,5534713,371412
quick30b_20260507T080015Z,sparse_stride_read_64g_block2m_remoteft,off,bytes,0,54.681296592592595,437.45037274074076,0.0,0,0,0,240947,0
quick30b_20260507T080015Z,sparse_stride_read_64g_block2m_remoteft,on,bytes,0,13.670324148148147,109.36259318518518,14.185977935791016,16248009,0,3718769,3718769,0
quick30b_20260507T080015Z,sparse_stride_write_64g_remoteft,off,bytes,0,57.788188444444444,462.30550755555555,0.0,0,0,0,0,0
quick30b_20260507T080015Z,sparse_stride_write_64g_remoteft,on,bytes,0,48.39581538461538,387.16652307692306,14.184928894042969,6810221,0,3718494,3718494,0
