candidate,policy,rep,primary,returncode,mean_mops_s,median_mops_s,mean_MB_s,median_MB_s,steady_mean_rate_raw,steady_cv,promote_gib,hint_faults,pgpromote_success,promotion_blocked,vm_pgmigrate_success,vm_pgmigrate_fail
index_rf_segmented_64g_span256k,off,1,ops,0,228.90025718518518,228.589568,14649.616459851852,14629.732352,228434240.18464017,0.022478636292168383,0.0,0,0,0,0,0
index_rf_segmented_64g_span256k,on,1,ops,0,259.50314192592595,253.755392,16608.20108325926,16240.345088,260979553.95893514,0.06862522124193396,0.06250762939453125,18025,16386,0,16386,0
index_rf_segmented_64g_span4k,off,1,ops,0,168.85957214814815,167.77216,10807.012617481481,10737.41824,168829020.26365712,0.011767461587652014,0.0,0,0,0,217693,0
index_rf_segmented_64g_span4k,on,1,ops,0,180.5104165925926,186.646528,11552.666661925927,11945.377792,181056263.74433067,0.06567794839698701,0.2544708251953125,73386,66708,0,66708,0
index_rf_segmented_64g_span64k,off,1,ops,0,218.88053096296295,218.103808,14008.353981629629,13958.643712,218802916.1633772,0.010836285860541247,0.0,0,0,0,0,0
index_rf_segmented_64g_span64k,on,1,ops,0,271.23165866666665,264.241152,17358.826154666665,16911.433728,272173172.42370486,0.05212794387323632,0.06250381469726562,18024,16385,0,16385,0
pc_64g_stride_remoteft,off,1,ops,0,119.42843733333333,119.406592,7643.419989333333,7642.021888,119426023.77353904,0.0013335964353662275,0.0,0,0,0,0,0
pc_64g_stride_remoteft,on,1,ops,0,101.33807407407407,92.864512,6485.636740740741,5943.328768,100155626.65734398,0.1807219819557101,18.529266357421875,109465740,4857336,523286,6041873,523426
skew_rf_read_12g_move_250ms_mulshift_persistent,off,1,ops,0,228.28858785185184,214.30272,14610.469622518518,13715.37408,228274112.7675575,0.11124116658243569,0.0,0,0,0,174080,0
skew_rf_read_12g_move_250ms_mulshift_persistent,on,1,ops,0,613.1522953846154,616.333312,39241.746904615386,39445.331968,618799198.8070627,0.21203592849626524,30.424903869628906,31744341,7975706,330514,12790868,330595
skew_rf_read_12g_move_500ms_mulshift_persistent,off,1,ops,0,230.99255466666668,218.169344,14783.523498666667,13962.838016,230965854.8148148,0.15867656429172924,0.0,0,0,0,306152,0
skew_rf_read_12g_move_500ms_mulshift_persistent,on,1,ops,0,636.3351419259259,645.85728,40725.44908325926,41334.86592,639650454.0200753,0.3412076486137501,27.912818908691406,31964438,7317178,337580,11101109,337604
skew_rf_read_16g_move_250ms_mulshift_persistent,off,1,ops,0,303.46080711111114,293.797888,19421.491655111113,18803.064832,304799529.1621579,0.06477026978234678,0.0,0,0,0,0,0
skew_rf_read_16g_move_250ms_mulshift_persistent,on,1,ops,0,740.1344568888888,619.184128,47368.605240888886,39627.784192,748979944.8255144,0.47260803860731065,21.47460174560547,37830938,5629438,350585,7944146,350585
skew_rf_read_16g_move_500ms_mulshift_persistent,off,1,ops,0,325.255168,301.400064,20816.330752,19289.604096,321740497.05134505,0.11893233477849063,0.0,0,0,0,254976,0
skew_rf_read_16g_move_500ms_mulshift_persistent,on,1,ops,0,947.401019076923,595.656704,60633.665220923074,38122.029056,926007451.0345339,0.6455659345535275,22.120582580566406,33005490,5798778,310068,8392695,310076
skew_rf_read_8g_move_1s_mulshift_persistent,off,1,ops,0,441.8971117037037,382.73024,28281.415149037035,24494.73536,441652396.20477307,0.39114440405780443,0.0,0,0,0,335407,0
skew_rf_read_8g_move_1s_mulshift_persistent,on,1,ops,0,1006.043136,502.857728,64386.760704,32182.894592,1009706477.3054786,0.9884476572952126,19.484851837158203,28812455,5107837,332004,7156744,332030
sparse_stride_read_64g_remoteft,off,1,bytes,0,91.96399881481481,83.88608,735.7119905185185,671.08864,740645368.1954483,0.09209690547557024,0.0,0,0,0,0,0
sparse_stride_read_64g_remoteft,on,1,bytes,0,83.26470162962963,100.663296,666.117613037037,805.306368,646219541.3503828,0.37799905206265055,14.170539855957031,9429477,3714722,0,3714722,0
