candidate,policy,rep,returncode,primary,steady_mean_rate_raw,steady_median_rate_raw,csv_mean_mops_s,csv_median_mops_s,csv_sd_mops_s,csv_mean_MB_s,csv_median_MB_s,csv_sd_MB_s,steady_samples,steady_cv,promote_gib,migrate_gib,hint_faults,promotion_blocked,pgpromote_success,sampled,sampled_refault,sampled_refault_avg_us,sampled_refault_total_ms,vm_pgmigrate_success,vm_pgmigrate_fail
pc_64g_stride_remoteft,off,1,0,ops,119379006.99965094,119341056.0,119.37554863157895,119.341056,0.15671252903469735,7640.035112421053,7637.827584,10.02960185822063,57,0.0013423332164693113,0.0,0.0,0,0,0,0,0,0.0,0,0,0
pc_64g_stride_remoteft,off,2,0,ops,118321247.35835277,118292480.0,118.32237361403509,118.29248,0.15669535599984938,7572.6319112982455,7570.71872,10.02850278399036,57,0.0014270679707372562,0.0,0.0,0,0,0,0,0,0.0,0,0,0
pc_64g_stride_remoteft,off,3,0,ops,117918804.98294084,117899264.0,117.91995957894737,117.899264,0.1502424641850341,7546.877413052632,7545.552896,9.615517707842182,57,0.0011961625391190213,0.0,0.0,0,0,0,0,0,0.0,0,0,0
pc_64g_stride_remoteft,on,1,0,ops,104885161.3923285,100401152.0,105.36694119298245,100.92544,14.72070139639793,6743.484236350877,6459.22816,942.1248893694675,57,0.13233096249461332,20.394004821777344,20.394004821777344,209923238,876174,5346166,534619,534619,1.0,964,6978276,876177
pc_64g_stride_remoteft,on,2,0,ops,106893749.33086036,103443436.56343657,107.25828715789474,103.54688,14.435812309646012,6864.5303781052635,6627.00032,923.8919878173448,57,0.13274803718693773,19.836631774902344,19.836631774902344,182295927,768908,5200054,520009,520009,1.0,924,6735412,768932
pc_64g_stride_remoteft,on,3,0,ops,95151228.22276787,89653248.0,95.76304280701754,90.046464,13.946008541496676,6128.834739649123,5762.973696,892.5445466557873,57,0.141346057971157,20.892269134521484,20.892269134521484,249796152,1145305,5476783,547679,547679,2.0,1268,7258513,1145451
sparse_stride_read_64g_remoteft,off,1,0,bytes,730009229.1664287,671760400.4004004,91.37590857142858,83.88608,8.415799669367226,731.0072685714287,671.08864,67.32639735493781,57,0.09285337826307231,0.0,0.0,0,0,0,0,0,0.0,0,0,0
sparse_stride_read_64g_remoteft,off,2,0,bytes,727620746.9019929,671088640.0,91.37590857142858,83.88608,8.415799669367226,731.0072685714287,671.08864,67.32639735493781,57,0.09218217687932342,0.0,0.0,0,0,0,0,0,0.0,0,321020,0
sparse_stride_read_64g_remoteft,off,3,0,bytes,729970445.1572621,672433507.0140281,91.24450807017544,83.88608,8.399113461849801,729.9560645614035,671.08864,67.19290769479841,57,0.092643480707598,0.0,0.0,0,0,0,0,0,0.0,0,289151,55
sparse_stride_read_64g_remoteft,on,1,0,bytes,675809544.0053498,802897674.9750749,85.35776561403509,100.663296,25.22182590291149,682.8621249122807,805.306368,201.77460722329192,57,0.3025773367619556,14.18630599975586,14.18630599975586,12055477,0,3718855,371889,371889,2.0,876,3718855,0
sparse_stride_read_64g_remoteft,on,2,0,bytes,685176410.4327884,802897674.9750749,85.65210273684211,100.663296,26.467204460692745,685.2168218947369,805.306368,211.73763568554196,57,0.30907702163419354,14.117210388183594,14.117210388183594,10460731,0,3700742,370079,370079,1.0,520,3700742,0
sparse_stride_read_64g_remoteft,on,3,0,bytes,685300958.3481364,805306368.0,85.65210273684211,100.663296,27.216238221377676,685.2168218947369,805.306368,217.7299057710214,57,0.3181214162643007,14.170486450195312,14.170486450195312,11000391,0,3714708,371478,371478,1.0,660,3714708,0
