sample,actual_end_s,ops_mops_s,hint_faults_gib,promoted_gib,over_high_gib,ref_activate_gib,ref_keep_gib,ref_reclaim_gib,demote_selected_gib,demote_success_gib,demote_fail_gib,demote_success_pct
0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.0,100.0
1,38.274,32.03,17.36,0.0,0.0,1.4,0.23,58.32,58.35,7.35,51.0,12.6
2,48.312,88.98,7.58,0.0,3.37,0.55,0.74,8.03,8.61,7.94,0.67,92.2
3,58.335,141.17,4.88,1.92,1.23,0.02,0.0,3.31,3.37,3.28,0.09,97.3
4,68.356,159.74,11.93,1.17,1.16,0.02,0.02,1.81,1.84,1.81,0.04,98.0
5,78.381,159.58,0.58,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,88.403,159.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,98.425,159.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,108.449,159.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,118.473,159.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,128.493,131.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,138.513,96.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,148.531,95.37,3.95,1.44,2.02,0.39,0.03,0.07,0.07,0.07,0.0,99.8
13,158.553,99.25,4.36,0.05,4.29,0.65,0.0,0.05,0.05,0.05,0.0,99.9
14,168.571,100.52,6.66,0.11,6.41,0.48,0.0,0.12,0.12,0.12,0.0,100.0
15,178.597,100.62,2.76,0.02,2.73,0.3,0.0,0.03,0.03,0.03,0.0,99.8
16,188.621,100.4,0.0,0.0,0.0,0.34,0.0,0.02,0.02,0.02,0.0,99.7
17,198.645,100.67,0.0,0.0,0.0,0.26,0.0,0.01,0.01,0.01,0.0,99.4
18,208.663,98.63,0.0,0.0,0.0,0.25,0.0,0.01,0.01,0.01,0.0,99.4
19,218.689,97.92,0.0,0.0,0.0,0.2,0.0,0.01,0.01,0.01,0.0,99.4
20,228.708,98.35,2.61,0.08,2.53,0.36,0.01,0.02,0.02,0.02,0.0,99.7
21,238.727,100.22,4.43,0.04,4.38,0.36,0.0,0.04,0.04,0.04,0.0,99.8
22,248.75,99.45,6.71,0.05,6.65,0.35,0.0,0.05,0.05,0.05,0.0,99.7
23,258.769,99.89,2.65,0.05,2.6,0.37,0.0,0.05,0.05,0.05,0.0,99.6
24,268.79,101.79,0.0,0.0,0.0,0.22,0.0,0.02,0.02,0.02,0.0,98.5
25,278.817,99.69,0.0,0.0,0.0,0.26,0.0,0.02,0.02,0.02,0.0,97.7
26,288.841,100.49,0.0,0.0,0.0,0.32,0.0,0.01,0.01,0.01,0.0,95.1
27,298.865,99.34,0.0,0.0,0.0,0.23,0.0,0.01,0.01,0.01,0.0,96.3
28,308.885,99.96,0.0,0.0,0.0,0.28,0.0,0.01,0.01,0.01,0.0,97.1
29,318.913,100.76,0.0,0.0,0.0,0.25,0.0,0.01,0.01,0.01,0.0,97.3
30,328.933,99.31,0.0,0.0,0.0,0.25,0.0,0.01,0.01,0.01,0.0,96.2
31,338.951,100.58,0.0,0.0,0.0,0.4,0.0,0.02,0.02,0.02,0.0,99.6
32,348.977,100.04,0.0,0.0,0.0,0.24,0.0,0.01,0.01,0.01,0.0,99.5
33,359.001,99.73,0.0,0.0,0.0,0.26,0.0,0.02,0.02,0.02,0.0,99.6
34,369.025,100.96,0.0,0.0,0.0,0.23,0.0,0.01,0.01,0.01,0.0,99.3
35,379.05,100.93,0.0,0.0,0.0,0.23,0.0,0.01,0.01,0.01,0.0,99.4
36,389.07,99.68,0.0,0.0,0.0,0.25,0.0,0.01,0.01,0.01,0.0,99.3
37,399.097,100.6,0.0,0.0,0.0,0.25,0.0,0.01,0.01,0.01,0.0,99.1
38,409.121,10.15,0.0,0.0,0.0,0.23,0.0,0.01,0.01,0.01,0.0,99.2
39,419.149,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.01,0.01,0.0,98.8
40,429.206,0.0,0.0,0.0,0.0,0.45,0.0,0.63,0.65,0.63,0.02,97.0
