elapsed_start_s,elapsed_end_s,ops_mops_s,hint_fault_pages,candidate_pages,promoted_pages,demoted_pages,over_high_pages,hint_fault_gib,candidate_gib,promoted_gib,demoted_gib,over_high_gib,anon_n0_gib_end,anon_n1_gib_end,node0_usage_exact_pages_end,node0_over_high_end
0.047,28.745,30.22,2059054,362934,0,1861358,0,7.855,1.384,0.000,7.101,0.000,30.606,62.458,8027557,1
28.745,38.783,66.99,2020785,1351674,0,2921972,1351681,7.709,5.156,0.000,11.146,5.156,24.531,62.470,6430648,1
38.783,48.811,56.90,540429,344964,0,2236623,345142,2.062,1.316,0.000,8.532,1.317,20.636,61.362,5409833,1
48.811,58.837,135.73,4283534,932363,0,2773501,932176,16.340,3.557,0.000,10.580,3.556,16.520,62.480,4330906,1
58.837,68.860,98.16,147907,13391,0,3109722,13391,0.564,0.051,0.000,11.863,0.051,16.492,62.493,4326748,1
68.860,78.879,101.15,1041388,453479,766567,185659,65497,3.973,1.730,2.924,0.708,0.250,15.600,48.401,4089447,0
78.879,88.899,96.03,910883,873317,79062,58092,794316,3.475,3.331,0.302,0.222,3.030,15.680,48.321,4110417,1
88.899,98.921,100.13,2120363,1791439,36989,39289,1754386,8.089,6.834,0.141,0.150,6.692,15.671,48.329,4108117,0
98.921,108.941,98.59,1052675,918616,15011,21876,903605,4.016,3.504,0.057,0.083,3.447,15.645,48.356,4101253,0
108.941,118.960,100.98,2,2,2,26925,0,0.000,0.000,0.000,0.103,0.000,15.542,48.458,4074330,0
118.960,128.981,99.63,0,0,0,9043,0,0.000,0.000,0.000,0.034,0.000,15.508,48.493,4065287,0
128.981,139.005,100.63,2,2,2,8193,0,0.000,0.000,0.000,0.031,0.000,15.477,48.524,4057096,0
139.005,149.030,100.37,0,0,0,6787,0,0.000,0.000,0.000,0.026,0.000,15.451,48.550,4050309,0
149.030,159.057,99.76,0,0,0,13532,0,0.000,0.000,0.000,0.052,0.000,15.399,48.602,4036777,0
159.057,169.076,100.97,3,3,3,16813,0,0.000,0.000,0.000,0.064,0.000,15.335,48.666,4019967,0
169.076,179.099,101.01,3,3,3,8810,0,0.000,0.000,0.000,0.034,0.000,15.301,48.699,4011160,0
179.099,189.117,101.89,2,2,2,5084,0,0.000,0.000,0.000,0.019,0.000,15.282,48.719,4006079,0
189.117,199.135,100.76,2,2,2,4626,0,0.000,0.000,0.000,0.018,0.000,15.264,48.736,4001455,0
199.135,209.154,100.60,3,3,3,5708,0,0.000,0.000,0.000,0.022,0.000,15.243,48.758,3995750,0
209.154,219.177,100.92,2,2,2,6006,0,0.000,0.000,0.000,0.023,0.000,15.220,48.781,3989746,0
219.177,229.196,96.05,329460,329205,125865,5194,203509,1.257,1.256,0.480,0.020,0.776,15.680,48.321,4110417,1
229.196,239.221,102.02,975856,975191,9539,9974,965480,3.723,3.720,0.036,0.038,3.683,15.678,48.322,4109982,0
239.221,249.243,101.60,3095923,3053875,6932,6496,3046943,11.810,11.650,0.026,0.025,11.623,15.680,48.321,4110418,1
249.243,259.261,104.05,2533,232,232,3114,0,0.010,0.001,0.001,0.012,0.000,15.669,48.332,4107537,0
259.261,269.280,102.68,3,3,3,1983,0,0.000,0.000,0.000,0.008,0.000,15.661,48.339,4105557,0
269.280,279.303,102.27,0,0,0,1691,0,0.000,0.000,0.000,0.006,0.000,15.655,48.346,4103866,0
279.303,289.326,103.13,0,0,0,2317,0,0.000,0.000,0.000,0.009,0.000,15.646,48.354,4101549,0
289.326,299.349,102.13,0,0,0,2075,0,0.000,0.000,0.000,0.008,0.000,15.638,48.362,4099474,0
299.349,309.368,98.79,36409,36409,13633,3110,22773,0.139,0.139,0.052,0.012,0.087,15.678,48.322,4109997,0
309.368,319.389,98.75,717473,717430,3004,2596,714421,2.737,2.737,0.011,0.010,2.725,15.680,48.321,4110405,0
319.389,329.409,103.63,1766682,1760975,4132,4120,1757107,6.739,6.718,0.016,0.016,6.703,15.680,48.321,4110417,1
329.409,339.429,103.90,1772741,1764785,3735,4362,1760773,6.762,6.732,0.014,0.017,6.717,15.678,48.323,4109791,0
339.429,349.447,102.48,4,2,4,2028,0,0.000,0.000,0.000,0.008,0.000,15.670,48.331,4107767,0
349.447,359.474,103.96,0,2,0,2873,0,0.000,0.000,0.000,0.011,0.000,15.659,48.342,4104894,0
359.474,369.493,102.51,0,0,0,1105,0,0.000,0.000,0.000,0.004,0.000,15.655,48.346,4103789,0
369.493,379.511,104.38,0,0,0,980,0,0.000,0.000,0.000,0.004,0.000,15.651,48.350,4102809,0
379.511,389.529,103.10,0,0,0,1308,0,0.000,0.000,0.000,0.005,0.000,15.646,48.355,4101501,0
389.529,399.549,103.00,0,0,0,2225,0,0.000,0.000,0.000,0.008,0.000,15.637,48.363,4099276,0
399.549,400.000,275.51,0,0,0,2972,0,0.000,0.000,0.000,0.011,0.000,15.626,48.374,4096305,0
