phase,interval_s,hint_faults,hint_faults_local,hint_faults_remoteish,remoteish_pct,promotion_candidates,over_high,promoted_pages,demoted_pages,reclaimd_run_delta,reclaimd_wake_delta,node0_usage_exact_end,node0_high_wmark_end,node0_over_high_end
1,0-60,12660554,204489,12456065,98.38,4596713,2551596,2044872,2334656,1,1,3820635,4110417,0
2,60-120,5597512,121010,5476502,97.84,3978375,2768247,1210118,922296,3,3,4108457,4110417,0
3,120-180,6884046,970,6883076,99.99,6883069,6873211,9691,7731,0,0,4110417,4110417,1
4,180-240,5963273,710,5962563,99.99,5962557,5955302,7069,7697,0,0,4109789,4110417,0
5,240-300,6504503,550,6503953,99.99,6503941,6498269,5484,4861,0,0,4110412,4110417,1
6,300-360,6338036,420,6337616,99.99,6337610,6333192,4237,4857,0,0,4109792,4110417,0
7,360-420,6501075,410,6500665,99.99,6500653,6496431,4080,3456,0,0,4110416,4110417,1
8,420-480,6339650,310,6339340,100.00,6339334,6336041,3121,3687,0,0,4109850,4110417,0
9,480-540,6498541,550,6497991,99.99,6497979,6492353,5488,4949,0,0,4110389,4110417,1
10,540-600,6343876,370,6343506,99.99,6343490,6339722,3702,16027,0,0,2576663,4110417,0
