phase,interval_s,ops_mops_s,promote_delta_pages,promote_delta_gib,demote_delta_pages,demote_delta_gib,candidate_delta,over_high_delta,hint_faults_delta,promote_total_pages,candidate_total,over_high_total
1,0-60,273.61,1842110,7.03,1890304,7.21,4254333,2411978,11794601,2709410,6389121,3679687
2,60-120,397.67,1210113,4.62,921724,3.52,3978370,2768247,5597507,4122285,10709871,6587552
3,120-180,480.81,9691,0.04,7731,0.03,6883069,6873211,6884046,4131981,17592945,13460763
4,180-240,478.85,7069,0.03,7697,0.03,5962557,5955302,5963273,4139050,23555502,19416065
5,240-300,476.63,5484,0.02,4861,0.02,6503941,6498269,6504503,4144534,30059443,25914334
6,300-360,475.78,4237,0.02,4857,0.02,6337610,6333192,6338036,4148771,36397053,32247526
7,360-420,475.62,4080,0.02,3456,0.01,6500653,6496431,6501075,4152851,42897706,38743957
8,420-480,475.28,3121,0.01,3687,0.01,6339334,6336041,6339650,4155972,49237040,45079998
9,480-540,473.97,5488,0.02,4949,0.02,6497979,6492353,6498541,4161460,55735019,51572351
10,540-600,474.15,3702,0.01,16027,0.06,6343490,6339722,6343876,4165162,62078509,57912073
