measured_start_ms,measured_end_ms,ops_per_s,ops_delta,promote_delta,demote_delta,candidate_delta,over_high_delta,hint_faults_delta,promote_total,demote_total,candidate_total,over_high_total,anon_n0_gib,anon_n1_gib,live_elapsed_ms
0,10003,246839381.785,2469134336,441344,441344,1276785,835390,3858098,1308644,2862283,3411573,2103099,15.68,48.32,30160
10003,20000,261894888.467,2618163200,135529,319616,536990,401269,1711350,1444173,3181899,3948563,2504368,14.98,49.02,40204
20000,30000,267576934.400,2675769344,369046,204544,667213,298168,1890805,1813219,3386443,4615776,2802536,15.61,48.40,50236
30000,40001,285275894.811,2853044224,425285,456320,814645,389506,2008022,2238504,3842763,5430421,3192042,15.49,48.51,60269
40001,50004,306465807.458,3065577472,470906,468480,958700,487645,2326326,2709410,4311243,6389121,3679687,15.50,48.50,70299
50004,60003,331291394.739,3312582656,202762,444352,342380,139618,866091,2912172,4755595,6731501,3819305,14.57,49.43,80328
60003,70003,337628364.800,3376283648,0,0,0,0,0,2912172,4755595,6731501,3819305,14.57,49.43,90363
70003,80001,348078882.977,3480092672,465032,191296,755345,290311,1531354,3377204,4946891,7486846,4109616,15.62,48.38,100385
80001,90001,386197094.400,3861970944,332143,389184,1000556,668405,1573423,3709347,5336075,8487402,4778021,15.40,48.60,110414
90001,100001,431534899.200,4315348992,412612,339524,1489298,1076790,1758241,4121959,5675599,9976700,5854811,15.68,48.32,120439
100001,110000,484916587.659,4848680960,326,1720,733171,732741,734489,4122285,5677319,10709871,6587552,15.67,48.33,130458
110000,120001,477362362.964,4774100992,5,572,5,0,5,4122290,5677891,10709876,6587552,15.67,48.33,140478
120001,130000,480623550.355,4805754880,3644,2159,1020062,1016384,1020433,4125934,5680050,11729938,7603936,15.68,48.32,150496
130000,140000,482436710.400,4824367104,1527,1104,1582824,1581244,1582974,4127461,5681154,13312762,9185180,15.68,48.32,160516
140000,150000,481519206.400,4815192064,1425,1373,1579931,1578778,1580224,4128886,5682527,14892693,10763958,15.68,48.32,170540
150000,160000,478301388.800,4783013888,10,285,100199,99917,100051,4128896,5682812,14992892,10863875,15.68,48.32,180569
160000,170000,479369625.600,4793696256,1088,1160,1017522,1016434,1017633,4129984,5683972,16010414,11880309,15.68,48.32,190591
170000,180000,482620211.200,4826202112,1997,1650,1582531,1580454,1582731,4131981,5685622,17592945,13460763,15.68,48.32,200616
180000,190000,478760140.800,4787601408,922,1210,1036199,1035262,1036293,4132903,5686832,18629144,14496025,15.68,48.32,210648
190000,200000,478714265.600,4787142656,505,1212,644528,644019,644583,4133408,5688044,19273672,15140044,15.68,48.32,220670
200000,210000,476774400.000,4767744000,1652,1060,1017391,1015692,1017558,4135060,5689104,20291063,16155736,15.68,48.32,230693
210000,220000,481827225.600,4818272256,1925,1613,1208677,1206737,1208867,4136985,5690717,21499740,17362473,15.68,48.32,240713
220000,230000,473097830.400,4730978304,1261,1170,1261315,1260108,1261499,4138246,5691887,22761055,18622581,15.68,48.32,250743
230000,240000,483944038.400,4839440384,804,1432,794447,793484,794473,4139050,5693319,23555502,19416065,15.68,48.32,260765
240000,250000,473327206.400,4733272064,1551,923,1017057,1015506,1017215,4140601,5694242,24572559,20431571,15.68,48.32,270786
250000,260000,481289830.400,4812898304,788,1096,1207286,1206435,1207364,4141389,5695338,25779845,21638006,15.68,48.32,280811
260000,270000,475116339.200,4751163392,613,305,1411153,1410496,1411216,4142002,5695643,27190998,23048502,15.68,48.32,290834
270000,280000,477193830.400,4771938304,276,766,645136,644836,645163,4142278,5696409,27836134,23693338,15.68,48.32,300854
280000,290000,473425510.400,4734255104,1233,977,1016348,1015100,1016484,4143511,5697386,28852482,24708438,15.68,48.32,310877
290000,300000,479454822.400,4794548224,1023,794,1206961,1205896,1207061,4144534,5698180,30059443,25914334,15.68,48.32,320899
300000,310000,473399296.000,4733992960,703,698,1411931,1411336,1412168,4145237,5698878,31471374,27325670,15.68,48.32,330917
310000,320000,480149504.000,4801495040,495,1013,645433,644754,645316,4145732,5699891,32116807,27970424,15.68,48.32,340941
320000,330000,471793664.000,4717936640,1093,624,1015612,1014449,1015728,4146825,5700515,33132419,28984873,15.68,48.32,350963
330000,340000,478629068.800,4786290688,759,749,1206528,1205735,1206598,4147584,5701264,34338947,30190608,15.68,48.32,360981
340000,350000,475987968.000,4759879680,903,864,1412784,1411880,1412874,4148487,5702128,35751731,31602488,15.68,48.32,371003
350000,360000,474729676.800,4747296768,284,909,645322,645038,645352,4148771,5703037,36397053,32247526,15.68,48.32,381023
360000,370000,472475238.400,4724752384,1088,781,1015138,1014029,1015254,4149859,5703818,37412191,33261555,15.68,48.32,391042
370000,380000,478150656.000,4781506560,865,565,1206383,1205502,1206473,4150724,5704383,38618574,34467057,15.68,48.32,401062
380000,390000,471026892.800,4710268928,519,499,1413211,1412670,1413261,4151243,5704882,40031785,35879727,15.68,48.32,411083
390000,400001,480035964.404,4800839680,330,739,645579,645219,645609,4151573,5705621,40677364,36524946,15.68,48.32,421110
400001,410000,474895131.113,4748476416,735,462,1014460,1013688,1014545,4152308,5706083,41691824,37538634,15.68,48.32,431148
410000,420000,477121740.800,4771217408,543,410,1205882,1205323,1205933,4152851,5706493,42897706,38743957,15.68,48.32,441172
420000,430000,473228902.400,4732289024,319,353,1413578,1413194,1413608,4153170,5706846,44311284,40157151,15.68,48.32,451196
430000,440000,475607859.200,4756078592,52,118,645534,645480,645544,4153222,5706964,44956818,40802631,15.68,48.32,461218
440000,450000,474133299.200,4741332992,1004,1002,1013847,1012822,1013953,4154226,5707966,45970665,41815453,15.68,48.32,471244
450000,460000,477750886.400,4777508864,675,815,1205684,1204979,1205746,4154901,5708781,47176349,43020432,15.68,48.32,481268
460000,470000,473405849.600,4734058496,771,531,1414764,1413959,1414842,4155672,5709312,48591113,44434391,15.68,48.32,491294
470000,480000,477567385.600,4775673856,300,868,645927,645607,645957,4155972,5710180,49237040,45079998,15.68,48.32,501324
480000,490000,473222348.800,4732223488,782,274,1013407,1012568,1013493,4156754,5710454,50250447,46092566,15.68,48.32,511346
490000,500002,476561122.975,4766564352,728,669,1359619,1359021,1359756,4157482,5711123,51610066,47451587,15.68,48.32,521367
500002,510000,473146584.517,4730519552,721,726,1260712,1259829,1260719,4158203,5711849,52870778,48711416,15.68,48.32,531389
510000,520000,472422809.600,4724228096,154,1199,646026,645850,646042,4158357,5713048,53516804,49357266,15.68,48.32,541410
520000,530000,472612864.000,4726128640,1720,1489,1013089,1011369,1013265,4160077,5714537,54529893,50368635,15.68,48.32,551432
530000,540000,475870003.200,4758700032,1383,592,1205126,1203716,1205266,4161460,5715129,55735019,51572351,15.68,48.32,561455
540000,550000,469657190.400,4696571904,565,537,1416729,1416156,1416789,4162025,5715666,57151748,52988507,15.68,48.32,571475
550000,560000,478812569.600,4788125696,10,681,646584,646574,646584,4162035,5716347,57798332,53635081,15.68,48.32,581498
560000,570000,469657190.400,4696571904,945,334,1011609,1010664,1011705,4162980,5716681,58809941,54645745,15.68,48.32,591522
570000,580000,477691904.000,4776919040,866,806,1391123,1390442,1391329,4163846,5717487,60201064,56036187,15.68,48.32,601545
580000,590000,473956352.000,4739563520,1012,1011,1230432,1229177,1230416,4164858,5718498,61431496,57265364,15.68,48.32,611563
590000,600000,475096678.400,4750966784,304,12658,647013,646709,647053,4165162,5731156,62078509,57912073,9.82,42.04,621620
