sample,elapsed_ms,promote_total,demote_total,candidate_total,over_high_total,hint_faults_total,promote_delta,demote_delta,candidate_delta,over_high_delta,hint_faults_delta,anon_n0_gib,anon_n1_gib,node0_usage_exact_pages,node0_over_high
0,58,0,1666314,0,0,237631,0,0,0,0,0,15.25,48.75,3997717,0
1,10098,529752,2228939,1237830,708078,8441587,529752,562625,1237830,708078,8203956,15.12,48.88,3964871,0
2,20133,867300,2420939,2134788,1267709,10822441,337548,192000,896958,559631,2380854,15.68,48.32,4110419,1
3,30160,1308644,2862283,3411573,2103099,14680539,441344,441344,1276785,835390,3858098,15.68,48.32,4110395,0
4,40204,1444173,3181899,3948563,2504368,16391889,135529,319616,536990,401269,1711350,14.98,49.02,3926337,0
5,50236,1813219,3386443,4615776,2802536,18282694,369046,204544,667213,298168,1890805,15.61,48.40,4090834,0
6,60269,2238504,3842763,5430421,3192042,20290716,425285,456320,814645,389506,2008022,15.49,48.51,4059855,0
7,70299,2709410,4311243,6389121,3679687,22617042,470906,468480,958700,487645,2326326,15.50,48.50,4062225,0
8,80328,2912172,4755595,6731501,3819305,23483133,202762,444352,342380,139618,866091,14.57,49.43,3820635,0
9,90363,2912172,4755595,6731501,3819305,23483133,0,0,0,0,0,14.57,49.43,3820635,0
10,100385,3377204,4946891,7486846,4109616,25014487,465032,191296,755345,290311,1531354,15.62,48.38,4094371,0
11,110414,3709347,5336075,8487402,4778021,26587910,332143,389184,1000556,668405,1573423,15.40,48.60,4037330,0
12,120439,4121959,5675599,9976700,5854811,28346151,412612,339524,1489298,1076790,1758241,15.68,48.32,4110418,1
13,130458,4122285,5677319,10709871,6587552,29080640,326,1720,733171,732741,734489,15.67,48.33,4109024,0
14,140478,4122290,5677891,10709876,6587552,29080645,5,572,5,0,5,15.67,48.33,4108457,0
15,150496,4125934,5680050,11729938,7603936,30101078,3644,2159,1020062,1016384,1020433,15.68,48.32,4109942,0
16,160516,4127461,5681154,13312762,9185180,31684052,1527,1104,1582824,1581244,1582974,15.68,48.32,4110365,1
17,170540,4128886,5682527,14892693,10763958,33264276,1425,1373,1579931,1578778,1580224,15.68,48.32,4110417,1
18,180569,4128896,5682812,14992892,10863875,33364327,10,285,100199,99917,100051,15.68,48.32,4110142,0
19,190591,4129984,5683972,16010414,11880309,34381960,1088,1160,1017522,1016434,1017633,15.68,48.32,4110070,0
20,200616,4131981,5685622,17592945,13460763,35964691,1997,1650,1582531,1580454,1582731,15.68,48.32,4110417,1
21,210648,4132903,5686832,18629144,14496025,37000984,922,1210,1036199,1035262,1036293,15.68,48.32,4110129,1
22,220670,4133408,5688044,19273672,15140044,37645567,505,1212,644528,644019,644583,15.68,48.32,4109422,0
23,230693,4135060,5689104,20291063,16155736,38663125,1652,1060,1017391,1015692,1017558,15.68,48.32,4110014,0
24,240713,4136985,5690717,21499740,17362473,39871992,1925,1613,1208677,1206737,1208867,15.68,48.32,4110326,1
