start_s,end_s,ops_mops_s,ops_delta,promote_delta,promote_delta_gib,promote_total,demote_delta,demote_delta_gib,demote_total,over_high_delta,over_high_total,candidate_delta,candidate_total,pgmigrate_fail_delta,pgmigrate_fail_total,anon_n0_gib,anon_n1_gib,reclaimd_run_count,reclaimd_wake_count,live_sample,live_elapsed_s
0,10,565.81,5658116096,772182,2.946,1496664,756544,2.886,3245449,213317,1206656,985512,2703341,213317,1206656,15.43,48.57,3,3,3,30.135
10,20,903.03,9030336512,419,0.002,1497083,178816,0.682,3424265,0,1206656,423,2703764,0,1206656,14.75,49.26,3,3,4,40.154
20,30,1073.51,10735124480,245020,0.935,1742103,185921,0.709,3610186,3177,1209833,248194,2951958,3177,1209833,14.97,49.03,4,4,5,50.174
30,40,1578.81,15788081152,207552,0.792,1949655,185984,0.709,3796170,84083,1293916,291662,3243620,84085,1293918,15.05,48.95,5,5,6,60.200
40,50,1685.92,16859201536,60197,0.230,2009852,0,0.000,3796170,0,1293916,60215,3303835,0,1293918,15.28,48.72,5,5,7,70.222
50,60,1695.53,16955342848,0,0.000,2009852,0,0.000,3796170,0,1293916,0,3303835,0,1293918,15.28,48.72,5,5,8,80.245
60,70,1694.86,16948592640,3177,0.012,2013029,0,0.000,3796170,0,1293916,3177,3307012,0,1293918,15.29,48.71,5,5,9,90.272
70,80,1696.16,16961634304,84083,0.321,2097112,0,0.000,3796170,0,1293916,84110,3391122,0,1293918,15.62,48.38,5,5,10,100.294
80,90,1702.15,17021468672,18,0.000,2097130,0,0.000,3796170,0,1293916,18,3391140,0,1293918,15.62,48.38,5,5,11,110.317
90,100,1701.12,17011179520,4,0.000,2097134,0,0.000,3796170,0,1293916,27,3391167,0,1293918,15.62,48.38,5,5,12,120.341
100,110,1701.77,17017733120,0,0.000,2097134,0,0.000,3796170,0,1293916,9,3391176,0,1293918,15.62,48.38,5,5,13,130.363
110,120,1702.69,17026908160,0,0.000,2097134,0,0.000,3796170,0,1293916,14,3391190,0,1293918,15.62,48.38,5,5,14,140.388
120,130,1702.57,17025728512,0,0.000,2097134,0,0.000,3796170,0,1293916,23,3391213,0,1293918,15.62,48.38,5,5,15,150.413
130,140,1701.56,17015570432,0,0.000,2097134,0,0.000,3796170,0,1293916,9,3391222,0,1293918,15.62,48.38,5,5,16,160.437
140,150,1702.74,17027366912,1,0.000,2097135,0,0.000,3796170,0,1293916,15,3391237,0,1293918,15.62,48.38,5,5,17,170.464
150,160,1699.18,16991780864,14,0.000,2097149,0,0.000,3796170,0,1293916,23,3391260,0,1293918,15.62,48.38,5,5,18,180.488
160,170,1699.11,16991125504,0,0.000,2097149,0,0.000,3796170,0,1293916,9,3391269,0,1293918,15.62,48.38,5,5,19,190.512
170,180,1701.91,17019109376,0,0.000,2097149,0,0.000,3796170,0,1293916,9,3391278,0,1293918,15.62,48.38,5,5,20,200.535
180,190,1701.74,17017405440,0,0.000,2097149,0,0.000,3796170,0,1293916,0,3391278,0,1293918,15.62,48.38,5,5,21,210.593
190,200,1699.29,16992894976,0,0.000,2097149,0,0.000,3796170,0,1293916,9,3391287,0,1293918,15.62,48.38,5,5,22,220.625
200,210,1700.59,17005936640,0,0.000,2097149,0,0.000,3796170,0,1293916,9,3391296,0,1293918,15.62,48.38,5,5,23,230.648
210,220,1701.79,17017929728,9,0.000,2097158,0,0.000,3796170,0,1293916,9,3391305,0,1293918,15.62,48.38,5,5,24,240.676
220,230,1701.40,17013997568,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,25,250.700
230,240,1700.69,17006854144,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,26,260.722
240,250,1701.11,17011113984,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,27,270.749
250,260,1699.98,16999841792,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,28,280.772
260,270,1702.74,17027432448,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,29,290.798
270,280,1704.14,17043095552,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,30,300.826
280,290,1704.12,17041195008,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,31,310.851
290,300,1703.76,17037590528,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,32,320.874
300,310,1704.32,17043161088,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,33,330.901
310,320,1703.94,17039360000,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,34,340.924
320,330,1704.03,17040343040,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,35,350.950
330,340,1704.36,17043619840,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,36,360.973
340,350,1703.69,17036935168,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,37,371.000
350,360,1704.11,17041063936,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,38,381.026
360,370,1703.48,17034838016,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,39,391.053
370,380,1703.78,17037787136,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,40,401.076
380,390,1700.81,17008099328,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,41,411.102
390,400,1703.60,17035952128,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,42,421.129
400,410,1702.97,17029726208,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,43,431.151
410,420,1703.52,17035231232,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,44,441.177
420,430,1703.97,17039687680,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,45,451.203
430,440,1703.86,17040343040,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,46,461.228
