sample,live_elapsed_s,approx_measured_s,memory_current_gib,anon_n0_gib,anon_n1_gib,cg_promote_total_pages,cg_promote_delta_pages,cg_promote_delta_gib,cg_demote_total_pages,cg_demote_delta_pages,cg_demote_delta_gib,cg_over_high_total_pages,cg_over_high_delta_pages,vm_candidate_total_pages,vm_candidate_delta_pages,vm_pgmigrate_fail_total,vm_pgmigrate_fail_delta,reclaimd_run_count,reclaimd_wake_count
0,0.047,-20.059,64.134,15.390,48.610,23007,0,0.000,1781129,0,0.000,0,0,23095,0,0,0,1,1
1,10.082,-10.024,64.134,14.983,49.017,309528,286521,1.093,2174345,393216,1.500,606607,606607,916135,893040,606607,606607,1,1
2,20.106,0.000,64.134,15.366,48.634,724482,414954,1.583,2488905,314560,1.200,993339,386732,1717829,801694,993339,386732,2,2
3,30.135,10.029,64.134,15.426,48.575,1496664,772182,2.946,3245449,756544,2.886,1206656,213317,2703341,985512,1206656,213317,3,3
4,40.154,20.048,64.134,14.745,49.255,1497083,419,0.002,3424265,178816,0.682,1206656,0,2703764,423,1206656,0,3,3
5,50.174,30.068,64.134,14.971,49.030,1742103,245020,0.935,3610186,185921,0.709,1209833,3177,2951958,248194,1209833,3177,4,4
6,60.200,40.094,64.134,15.053,48.947,1949655,207552,0.792,3796170,185984,0.709,1293916,84083,3243620,291662,1293918,84085,5,5
7,70.222,50.116,64.134,15.283,48.718,2009852,60197,0.230,3796170,0,0.000,1293916,0,3303835,60215,1293918,0,5,5
8,80.245,60.139,64.134,15.283,48.718,2009852,0,0.000,3796170,0,0.000,1293916,0,3303835,0,1293918,0,5,5
9,90.272,70.166,64.134,15.295,48.706,2013029,3177,0.012,3796170,0,0.000,1293916,0,3307012,3177,1293918,0,5,5
10,100.294,80.188,64.134,15.616,48.385,2097112,84083,0.321,3796170,0,0.000,1293916,0,3391122,84110,1293918,0,5,5
11,110.317,90.211,64.134,15.616,48.385,2097130,18,0.000,3796170,0,0.000,1293916,0,3391140,18,1293918,0,5,5
12,120.341,100.235,64.134,15.616,48.385,2097134,4,0.000,3796170,0,0.000,1293916,0,3391167,27,1293918,0,5,5
13,130.363,110.257,64.134,15.616,48.385,2097134,0,0.000,3796170,0,0.000,1293916,0,3391176,9,1293918,0,5,5
14,140.388,120.282,64.134,15.616,48.385,2097134,0,0.000,3796170,0,0.000,1293916,0,3391190,14,1293918,0,5,5
15,150.413,130.307,64.134,15.616,48.385,2097134,0,0.000,3796170,0,0.000,1293916,0,3391213,23,1293918,0,5,5
16,160.437,140.331,64.134,15.616,48.385,2097134,0,0.000,3796170,0,0.000,1293916,0,3391222,9,1293918,0,5,5
17,170.464,150.358,64.134,15.616,48.385,2097135,1,0.000,3796170,0,0.000,1293916,0,3391237,15,1293918,0,5,5
18,180.488,160.382,64.133,15.616,48.385,2097149,14,0.000,3796170,0,0.000,1293916,0,3391260,23,1293918,0,5,5
19,190.512,170.406,64.133,15.616,48.385,2097149,0,0.000,3796170,0,0.000,1293916,0,3391269,9,1293918,0,5,5
20,200.535,180.429,64.133,15.616,48.385,2097149,0,0.000,3796170,0,0.000,1293916,0,3391278,9,1293918,0,5,5
21,210.593,190.487,64.133,15.616,48.385,2097149,0,0.000,3796170,0,0.000,1293916,0,3391278,0,1293918,0,5,5
22,220.625,200.519,64.133,15.616,48.385,2097149,0,0.000,3796170,0,0.000,1293916,0,3391287,9,1293918,0,5,5
23,230.648,210.542,64.133,15.616,48.385,2097149,0,0.000,3796170,0,0.000,1293916,0,3391296,9,1293918,0,5,5
24,240.676,220.570,64.133,15.616,48.385,2097158,9,0.000,3796170,0,0.000,1293916,0,3391305,9,1293918,0,5,5
25,250.700,230.594,64.133,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
26,260.722,240.616,64.133,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
27,270.749,250.643,64.133,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
28,280.772,260.666,64.133,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
29,290.798,270.692,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
30,300.826,280.720,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
31,310.851,290.745,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
32,320.874,300.768,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
33,330.901,310.795,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
34,340.924,320.818,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
35,350.950,330.844,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
36,360.973,340.867,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
37,371.000,350.894,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
38,381.026,360.920,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
39,391.053,370.947,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
40,401.076,380.970,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
41,411.102,390.996,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
42,421.129,401.023,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
43,431.151,411.045,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
44,441.177,421.071,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
