window_s,ops_mops,promote,demote,candidate,fail,scan,steal,cold,protected,isolated,ret_zero,wake_sent,evict_zero,proc_n0_gib,proc_n1_gib
0.0-11.0,212.24652575909545,368338,358589,2795690,113,359622,358513,359528,3407,359528,155,5,115,15.014724731445312,48.98775863647461
11.0-23.9,242.8544443930636,380715,380540,2960252,13,380683,380540,380683,554,380683,2,6,0,14.871131896972656,49.13111114501953
23.9-37.0,248.41427851214263,230149,239157,1968656,1,239118,239157,239118,235,239118,0,4,0,14.92983627319336,49.07265090942383
37.0-50.2,271.18871720818294,232162,227892,1953760,0,228067,227892,228067,78,228067,1,3,0,14.813114166259766,49.189369201660156
50.2-63.6,257.4484428088622,242438,237971,1994840,0,238230,237971,238230,43,238230,0,4,0,14.984920501708984,49.0175666809082
63.6-77.1,279.43822222222224,70124,86659,643662,0,86663,86659,86663,71,86663,0,0,0,14.953018188476562,49.049468994140625
77.1-90.9,264.67244621053396,265764,253831,2112125,1,253880,253831,253880,84,253880,1,8,1,14.845989227294922,49.156497955322266
90.9-104.5,301.2265160341277,343090,360160,3033304,0,360329,360160,360329,21,360329,0,4,1,14.786014556884766,49.21622848510742
104.5-118.3,308.811560452305,133617,107951,1009982,0,108329,107951,108329,6,108329,0,3,0,15.017513275146484,48.9849739074707
118.3-132.0,301.71516953496894,305701,315165,2794437,0,315637,315165,315637,236,315637,0,6,0,14.80636215209961,49.196075439453125
132.0-145.9,330.50300236915785,276383,274179,2189991,0,274407,274179,274471,79,274471,2,5,0,14.982864379882812,49.019622802734375
145.9-159.8,345.0670054865723,66572,80339,650815,0,80278,80339,80214,0,80214,0,0,0,14.98434829711914,49.01813888549805
159.8-174.2,374.97654458664823,362846,341972,2912489,0,341986,341972,341986,0,341986,0,7,0,14.884143829345703,49.11810302734375
174.2-180.0,392.5918476190476,248437,254382,1960364,0,257540,254382,257604,6,257604,0,6,2,15.020511627197266,48.98197555541992
