window_s,ops_mops,promote_GB,promote_GiB,demote_GB,demote_GiB,candidate_event_GB,candidate_event_GiB,pgscan_kswapd_GB,pgsteal_kswapd_GB,hook_cold_GB,hook_protected_GB,proc_n0_GiB,proc_n1_GiB
0.0-11.0,212.247,1.509,1.405,1.469,1.368,11.451,10.665,1.473,1.468,1.473,0.014,15.015,48.988
11.0-23.9,242.854,1.559,1.452,1.559,1.452,12.125,11.292,1.559,1.559,1.559,0.002,14.871,49.131
23.9-37.0,248.414,0.943,0.878,0.980,0.912,8.064,7.510,0.979,0.980,0.979,0.001,14.930,49.073
37.0-50.2,271.189,0.951,0.886,0.933,0.869,8.003,7.453,0.934,0.933,0.934,0.000,14.813,49.189
50.2-63.6,257.448,0.993,0.925,0.975,0.908,8.171,7.610,0.976,0.975,0.976,0.000,14.985,49.018
63.6-77.1,279.438,0.287,0.268,0.355,0.331,2.636,2.455,0.355,0.355,0.355,0.000,14.953,49.049
77.1-90.9,264.672,1.089,1.014,1.040,0.968,8.651,8.057,1.040,1.040,1.040,0.000,14.846,49.156
90.9-104.5,301.227,1.405,1.309,1.475,1.374,12.424,11.571,1.476,1.475,1.476,0.000,14.786,49.216
104.5-118.3,308.812,0.547,0.510,0.442,0.412,4.137,3.853,0.444,0.442,0.444,0.000,15.018,48.985
118.3-132.0,301.715,1.252,1.166,1.291,1.202,11.446,10.660,1.293,1.291,1.293,0.001,14.806,49.196
132.0-145.9,330.503,1.132,1.054,1.123,1.046,8.970,8.354,1.124,1.123,1.124,0.000,14.983,49.020
145.9-159.8,345.067,0.273,0.254,0.329,0.306,2.666,2.483,0.329,0.329,0.329,0.000,14.984,49.018
159.8-174.2,374.977,1.486,1.384,1.401,1.305,11.930,11.110,1.401,1.401,1.401,0.000,14.884,49.118
174.2-180.0,392.592,1.018,0.948,1.042,0.970,8.030,7.478,1.055,1.042,1.055,0.000,15.021,48.982
