phase,window_s,promote_GB,demote_GB,candidate_event_GB,pgscan_kswapd_GB,pgsteal_kswapd_GB,hook_cold_GB,hook_protected_GB,ops_mops,proc_n0_GiB,proc_n1_GiB
1,0.0-11.0,1.509,1.469,11.451,1.473,1.468,1.473,0.014,212.2,15.01,48.99
2,11.0-23.9,1.559,1.559,12.125,1.559,1.559,1.559,0.002,242.9,14.87,49.13
3,23.9-37.0,0.943,0.980,8.064,0.979,0.980,0.979,0.001,248.4,14.93,49.07
4,37.0-50.2,0.951,0.933,8.003,0.934,0.933,0.934,0.000,271.2,14.81,49.19
5,50.2-63.6,0.993,0.975,8.171,0.976,0.975,0.976,0.000,257.4,14.98,49.02
6,63.6-77.1,0.287,0.355,2.636,0.355,0.355,0.355,0.000,279.4,14.95,49.05
7,77.1-90.9,1.089,1.040,8.651,1.040,1.040,1.040,0.000,264.7,14.85,49.16
8,90.9-104.5,1.405,1.475,12.424,1.476,1.475,1.476,0.000,301.2,14.79,49.22
9,104.5-118.3,0.547,0.442,4.137,0.444,0.442,0.444,0.000,308.8,15.02,48.98
10,118.3-132.0,1.252,1.291,11.446,1.293,1.291,1.293,0.001,301.7,14.81,49.20
11,132.0-145.9,1.132,1.123,8.970,1.124,1.123,1.124,0.000,330.5,14.98,49.02
12,145.9-159.8,0.273,0.329,2.666,0.329,0.329,0.329,0.000,345.1,14.98,49.02
13,159.8-174.2,1.486,1.401,11.930,1.401,1.401,1.401,0.000,375.0,14.88,49.12
14,174.2-180.0,1.018,1.042,8.030,1.055,1.042,1.055,0.000,392.6,15.02,48.98
