window_s,promote_GB,demote_GB,candidate_event_GB,fail_pages,pgscan_GB,pgsteal_GB,cold_GB,sort_promoted_event_GB,ops_mops,promote_total_GB,demote_total_GB,proc_n0_GiB
0.0-10.7,1.592004608,1.589772288,10.85089792,674,1.59778816,1.590034432,1.59778816,0.00403456,216.02200149142433,1.592004608,1.589772288,14.75265884399414
10.7-24.0,1.51494656,1.538818048,11.637202944,6,1.538490368,1.538555904,1.538490368,0.003330048,233.49551888788153,3.106951168,3.128590336,14.870059967041016
24.0-37.2,0.645296128,0.602697728,5.347160064,3,0.602759168,0.602697728,0.602759168,0.001396736,261.86603165947133,3.752247296,3.731288064,14.791751861572266
37.2-50.8,1.317797888,1.39061248,12.064841728,0,1.390665728,1.39061248,1.390665728,0.002310144,246.70901067196587,5.070045184,5.121900544,14.7359619140625
50.8-64.0,1.196486656,1.063047168,8.986353664,2,1.06309632,1.063047168,1.06309632,0.002064384,257.1633234116492,6.26653184,6.184947712,14.92812728881836
64.0-77.4,0.350601216,0.363249664,2.770317312,0,0.363249664,0.363249664,0.363249664,0.000221184,280.8825356104109,6.617133056,6.548197376,14.745887756347656
77.4-90.9,1.160777728,1.246314496,9.29798144,0,1.251733504,1.246314496,1.251733504,0.00395264,272.6885681176645,7.777910784,7.794511872,14.870048522949219
90.9-104.5,1.236451328,1.267810304,11.16289024,0,1.268240384,1.267810304,1.268240384,0.002830336,297.25704276267453,9.014362112,9.062322176,14.711162567138672
104.5-118.4,0.366399488,0.31176704,3.030802432,0,0.312541184,0.31176704,0.312541184,0.000487424,302.3515774971297,9.3807616,9.374089216,14.895111083984375
118.4-132.2,1.078915072,1.14223104,8.910123008,0,1.143037952,1.14223104,1.143037952,0.00100352,318.68328020863515,10.459676672,10.516320256,14.70425796508789
132.2-146.1,1.384251392,1.363103744,11.707809792,0,1.363861504,1.363103744,1.364123648,0.001265664,326.7582227351413,11.843928064,11.879424,14.874004364013672
146.1-160.4,0.144687104,0.13461504,0.673591296,0,0.134930432,0.134877184,0.134930432,0.000479232,331.4537717688266,11.988615168,12.01403904,14.933238983154297
160.4-174.1,1.303134208,1.344876544,11.115098112,0,1.344638976,1.3446144,1.344376832,0.001593344,361.08706271297035,13.291749376,13.358915584,14.562698364257812
174.1-188.3,1.313632256,1.154371584,10.699964416,1,1.19222272,1.154371584,1.19226368,0.025317376,359.6306471251409,14.605381632,14.513287168,14.99081039428711
188.3-202.3,0.005275648,0.035913728,0.021794816,1,0.035651584,0.035913728,0.035610624,0.0,378.7077081692561,14.61065728,14.549200896,15.060279846191406
202.3-216.8,0.972500992,0.986062848,7.806050304,0,0.986365952,0.986062848,0.986365952,0.000577536,385.34843564356436,15.583158272,15.535263744,14.744621276855469
216.8-231.1,0.821936128,0.89163776,9.836122112,12,1.84246272,0.89163776,1.84246272,0.82307072,415.3974153846154,16.4050944,16.426901504,15.04018783569336
231.1-245.1,0.10090496,0.096247808,2.206490624,20,0.564359168,0.096247808,0.564359168,5.551263744,407.2995870746354,16.50599936,16.523149312,15.036701202392578
245.1-259.8,0.101285888,0.027070464,2.293895168,6,0.117792768,0.027070464,0.117792768,14.4937984,436.05649727371866,16.607285248,16.550219776,15.099945068359375
259.8-272.9,0.039600128,0.025100288,6.985146368,316,0.053620736,0.025100288,0.053620736,188.891025408,455.1549301648141,16.646885376,16.575320064,15.16037368774414
272.9-285.1,0.008802304,0.00401408,8.911085568,301,0.019820544,0.00401408,0.019820544,202.011865088,468.52997975840674,16.65568768,16.579334144,15.166862487792969
285.1-297.3,0.008900608,0.005976064,2.228969472,56,0.033202176,0.006160384,0.033202176,188.826959872,442.5033163790989,16.664588288,16.585310208,15.161266326904297
297.3-310.0,0.016211968,0.004591616,6.89260544,48,0.01828864,0.004407296,0.01828864,146.58820096,431.8166261970716,16.680800256,16.589901824,15.180900573730469
310.0-322.3,0.008609792,0.005902336,6.890467328,64,0.021684224,0.005902336,0.021684224,195.561054208,477.4591341809053,16.689410048,16.59580416,15.18343734741211
322.3-334.7,0.003100672,0.006725632,2.115182592,67,0.04096,0.006725632,0.04096,186.36152832,441.5341076102763,16.69251072,16.602529792,15.17972183227539
334.7-347.0,0.012296192,0.0067584,7.45558016,53,0.025260032,0.0067584,0.025260032,195.660750848,442.459932666504,16.704806912,16.609288192,15.185054779052734
347.0-359.3,0.00565248,0.006160384,8.501407744,58,0.021905408,0.006520832,0.021905408,188.486406144,475.4439300064809,16.710459392,16.615448576,15.181221008300781
359.3-371.6,0.000536576,0.006930432,2.118877184,71,0.018690048,0.006569984,0.018690048,186.372558848,445.30266786678663,16.710995968,16.622379008,15.17800521850586
371.6-383.9,0.010878976,0.005206016,6.725582848,39,0.038162432,0.005206016,0.038162432,188.08528896,440.05167338350736,16.721874944,16.627585024,15.18307876586914
383.9-396.1,0.00131072,0.004882432,7.072436224,31,0.015208448,0.00499712,0.015208448,186.819239936,467.0486472322306,16.723185664,16.632467456,15.180107116699219
396.1-400.0,0.012660736,0.004780032,4.277870592,54,0.022634496,0.00466944,0.022634496,188.289712128,468.0732018585441,16.7358464,16.637247488,15.187427520751953
