ts_ms,running,wake_count,run_count,pending,inflight,node0_usage_exact,node0_usage_lru,node0_high,node0_low,node0_over,pgdemote,pgpromote,over_high,tmp_wake_attempts,tmp_wake_queued,tmp_wake_inflight,tmp_balance_pages,tmp_balance_target,tmp_loop_before,tmp_loop_after,tmp_loop_scanned,tmp_loop_reclaimed,tmp_loop_balanced_last,tmp_requeue_usage,tmp_requeue_high,tmp_requeue_true,tmp_requeue_false,tmp_wait_before,tmp_wait_after,tmp_wait_above,tmp_wait_not_above
1778225287101,1,1,1,0,0,4110417,4110332,4110417,3984588,1,N0=80650,N0=0,0,368154,1,368054,4110417,3984588,4110417,4110417,1,1,0,0,0,0,0,0,0,0,0
1778225289443,1,1,1,0,0,4110417,4110331,4110417,3984588,1,N0=606793,N0=0,0,1268726,1,1268626,4110402,3984588,4110402,4110402,128448,128448,0,0,0,0,0,0,0,0,0
1778225291805,1,1,1,0,0,4110399,4110417,4110417,3984588,0,N0=1128521,N0=0,0,2176303,1,2176203,4110407,3984588,4110407,4110407,128448,128448,0,0,0,0,0,0,0,0,0
1778225294162,1,1,1,0,0,3995004,4007929,4110417,3984588,0,N0=1737481,N0=68638,0,2730275,1,2730175,3997976,3984588,3997976,3997976,124992,124992,0,0,0,0,0,0,0,0,0
1778225296570,1,2,2,0,0,4110417,4005538,4110417,3984588,1,N0=1909066,N0=355636,0,4111253,2,4110663,4110418,3984588,4110418,3839412,240000,240000,1,3852441,4110417,0,1,3839412,3852441,0,1
1778225298866,1,2,2,0,0,4058897,4110279,4110417,3984588,0,N0=2061130,N0=456118,0,7877573,2,7876983,4110392,3984588,4110392,4110392,64257,64257,1,3852441,4110417,0,1,3839412,3852441,0,1
1778225301294,1,2,2,0,0,3970786,4024089,4110417,3984588,0,N0=2149194,N0=456118,0,7877573,2,7876983,4024147,3984588,4024147,4024147,125760,125760,1,3852441,4110417,0,1,3839412,3852441,0,1
1778225303609,1,2,2,0,0,3853075,3948719,4110417,3984588,0,N0=2266890,N0=456118,0,7877573,2,7876983,4024147,3984588,4024147,4024147,125760,125760,1,3852441,4110417,0,1,3839412,3852441,0,1
1778225305886,0,2,2,0,0,3787413,3787411,4110417,3984588,0,N0=2332554,N0=456120,0,7877573,2,7876983,3787413,3984588,4024147,3787413,236736,236736,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225308191,0,2,2,0,0,3975406,3884195,4110417,3984588,0,N0=2332554,N0=644133,0,7877573,2,7876983,3787413,3984588,4024147,3787413,236736,236736,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225310600,1,3,3,0,0,4110420,4036271,4110417,3984588,1,N0=2332554,N0=779127,0,9869703,3,9847644,4110420,3984588,4110420,3787413,236736,236736,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225312883,1,3,3,0,0,4110418,4061164,4110417,3984588,1,N0=2434442,N0=881013,0,12165567,3,12143506,4057808,3984588,4057808,4057808,63424,63424,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225315207,1,3,3,0,0,4110419,4063912,4110417,3984588,1,N0=2535818,N0=982389,0,13620571,3,13598510,4040499,3984588,4040499,4040499,126272,126272,1,3787413,4110417,0,2,3787413,3787413,0,2
