policy,phase,bucket_start_s,bucket_end_s,mean_mops,mean_mb_s
off,1,0,10,231.90568960000002,14841.964134400001
off,1,10,20,228.2487808,14607.9219712
off,1,20,30,228.28810239999999,14610.438553599999
off,1,30,40,228.18178844444446,14603.634460444446
off,1,40,50,228.07719563636363,14596.940520727272
off,1,50,60,228.29465599999997,14610.857983999998
off,2,0,10,550.7121152000001,4405.696921600001
off,2,10,20,563.4523136,4507.6185088
off,2,20,30,564.1076735999999,4512.861388799999
off,2,30,40,563.8455296000001,4510.764236800001
off,2,40,50,563.4260992,4507.4087936
off,2,50,60,563.8455296,4510.7642368
on,1,0,10,757.0980864,48454.2775296
on,1,10,20,944.7866368000001,60466.34475520001
on,1,20,30,1391.8208,89076.5312
on,1,30,40,1797.4296576000002,115035.49808640001
on,1,40,50,1796.9840128,115006.9768192
on,1,50,60,1798.2357504000004,115087.08802560002
on,2,0,10,552.1801216,4417.4409728
on,2,10,20,474.9262848,3799.4102784
on,2,20,30,341.4949888,2731.9599104
on,2,30,40,328.12564480000003,2625.0051584000003
on,2,40,50,318.898176,2551.185408
on,2,50,60,346.9213696,2775.3709568
