bucket_start_s,bucket_end_s,phase,phase_name,mean_mops_s,mean_mb_s,local_fault_hit_2000ms,local_fault_pte_updates,local_memory_util_pct,local_fault_refault,refault_over_pte_pct,hit_over_refault_pct,local_fault_sampled,local_fault_lost,hint_faults,pte_updates_total,promote_pages,demote_pages,sample_start_ms,sample_end_ms
0,10,1,Friendly,289.36493230676933,17661.433856614338,66933,449745,14.882433378914719,66933,14.882433378914719,100.0,449745,30939,1833877,3098217,669328,309076,63,10530
10,20,1,Friendly,401.2121916191619,24488.048804880487,3847,3847,100.0,3847,100.0,100.0,3847,38281,334056,6488064,38425,382912,10530,20868
20,30,1,Friendly,387.219456,23634.0,24593,24727,99.4580822582602,24593,99.4580822582602,100.0,24727,0,80915,4517657,56324,0,20868,30171
30,40,1,Friendly,1510.899712,92218.0,152713,152579,100.0878233570806,152713,100.0878233570806,100.0,152579,96344,1485796,1380320,1008981,963578,30171,40470
40,50,1,Friendly,1969.9269632,120234.8,157085,157085,100.0,157085,100.0,100.0,157085,16181,435288,1370994,278203,161729,40470,50728
50,60,1,Friendly,1772.1652602739728,108164.38356164384,59290,59290,100.0,233438,393.7223815145893,25.398606910614383,59290,26919,4464822,557484,112376,269248,50728,60976
60,70,2,Unfriendly,518.4100085991402,3964.6035396460356,439736,440338,99.8632868387466,439736,99.8632868387466,100.0,440338,602,2765302,2409368,598425,473973,60976,70197
70,80,2,Unfriendly,508.9787904,3883.2,139785,174723,80.00377740766814,139785,80.00377740766814,100.0,174723,3,3463661,3641177,683149,518430,70197,80712
80,90,2,Unfriendly,413.1913728,3152.4,315484,284087,111.05189607408998,315766,111.15116143998141,99.91069336153987,284087,3256,1730162,1371639,153193,207356,80712,90004
90,100,2,Unfriendly,425.69564160000004,3247.8,80834,82821,97.6008500259596,80834,97.6008500259596,100.0,82821,1,1819505,1986003,327020,272857,90004,100482
100,110,2,Unfriendly,452.179396460354,3449.85501449855,139326,159272,87.47676930031643,159837,100.35473906273545,87.16755194354248,159272,1274,1923245,2174612,223643,223642,100482,110911
110,120,2,Unfriendly,372.4652273227323,2841.6841684168417,244588,248054,98.60272360050634,244588,98.60272360050634,100.0,248054,0,1078887,855403,79053,79018,110911,120167
