bucket_start_s,bucket_end_s,phase,phase_name,mean_mops_s,mean_mb_s,local_fault_sampled,local_fault_pte_updates,local_fault_refault,local_fault_refault_hit_1000ms,local_fault_hit_ratio_pct,local_fault_refault_avg_us,local_fault_lost,hint_faults,pte_updates,promote_pages,demote_pages
0,10,1,Friendly fixed8g-hotset-remote,291.1214716709611,18631.77418694151,382809,382809,9,9,100.0,2666.6666666666665,31540,1766462,3096173,661438,315282
10,20,1,Friendly fixed8g-hotset-remote,402.368247165892,25751.567818617088,0,0,0,0,0,0,37770,402649,6356992,58016,377726
20,30,1,Friendly fixed8g-hotset-remote,387.0771963048666,24772.940563511464,113600,113600,0,0,0,0,0,5,4360571,5,0
30,40,1,Friendly fixed8g-hotset-remote,791.651525996649,50665.69766378553,240370,240370,65931,57537,87.26850798562134,359679.3617569884,118720,1445644,1942216,954027,624705
40,50,1,Friendly fixed8g-hotset-remote,1947.9893073928843,124671.31567314459,88650,88650,6019,4892,81.2759594617046,634974.5804950988,64410,107465,480755,80606,339136
50,60,1,Friendly fixed8g-hotset-remote,1984.4967595388075,127007.79261048368,230320,230320,699399,123589,17.670743023653166,27769179.486959517,12560,5148747,1118831,299085,81683
60,70,2,Unfriendly stream-read-32g-split16-4k,626.8171186146456,14739.968136311101,67710,67710,60131,60131,100.0,195424.72268879612,0,3362858,3540998,663914,612234
70,80,2,Unfriendly stream-read-32g-split16-4k,475.31236759248276,3802.498940739862,314290,314290,341260,280070,82.06938990798804,288503.96764929965,0,2075981,1758899,362861,406295
80,90,2,Unfriendly stream-read-32g-split16-4k,407.9904164570533,3263.9233316564264,47210,47210,41410,37300,90.07486114465105,253677.3726153103,0,1935716,2065573,270029,226596
90,100,2,Unfriendly stream-read-32g-split16-4k,399.5308080992305,3196.246464793844,139410,139410,121357,78620,64.78406684410459,641584.2184628822,2364,1369554,1382483,237290,240169
100,110,2,Unfriendly stream-read-32g-split16-4k,434.77884551814793,3478.2307641451835,195700,195700,205569,185842,90.40370873040196,208154.34233760927,6210,1367402,1172075,158153,200756
110,120,2,Unfriendly stream-read-32g-split16-4k,394.38429856902815,3155.074388552225,61750,61750,66931,59156,88.3835591878203,277764.5635056999,229,1901179,1871167,248028,318488
