bucket_start_s,bucket_end_s,phase,phase_name,mean_mops_s,mean_mb_s,local_fault_hit_2000ms,local_fault_pte_updates,local_memory_util_pct,local_fault_refault,local_fault_sampled,local_fault_lost,hint_faults,pte_updates_total,promote_pages,demote_pages,local_fault_on_tiering_delta,sample_start_ms,sample_end_ms
0,10,1,Friendly,291.2223232,17774.8,68291,451078,15.139510239914161,68291,451078,32505,1815819,3157596,682890,324940,0,53,10523
10,20,1,Friendly,406.4608256,24808.4,4152,4152,100.0,4152,4152,36879,353777,6356992,41596,368960,0,10523,20839
20,30,1,Friendly,389.63118080000004,23781.2,18058,18058,100.0,18058,18058,0,53174,4561037,35116,0,0,20839,30108
30,40,1,Friendly,1469.9593728,89719.2,158841,158841,100.0,158841,158841,96218,1496397,1395453,1009536,962236,-10,30108,40417
40,50,1,Friendly,1999.6540928,122049.2,0,0,0.0,0,0,0,0,0,0,0,0,40417,50633
50,60,1,Friendly,2002.6425344000002,122231.6,0,0,0.0,217185,0,0,217185,0,0,0,0,50633,60854
60,70,2,Unfriendly,535.020650269946,4090.9818036392717,0,0,0.0,0,0,0,0,0,0,0,0,60854,70082
70,80,2,Unfriendly,538.3389184,4107.2,0,0,0.0,0,0,0,0,0,0,0,0,70082,80297
80,90,2,Unfriendly,538.70592,4110.0,0,0,0.0,0,0,0,0,0,0,0,0,80297,90527
90,100,2,Unfriendly,539.099136,4113.0,0,0,0.0,0,0,0,0,0,0,0,0,90527,100751
100,110,2,Unfriendly,538.4685723427658,4108.1891810818925,0,0,0.0,0,0,0,0,0,0,0,0,100751,110974
110,120,2,Unfriendly,540.1492981298129,4121.012101210121,0,0,0.0,0,0,0,0,0,0,0,0,110974,120182
