policy,phase,bucket_start_s,bucket_end_s,mean_mops,mean_mb_s
off,1,0,10,230.162432,14730.395648
off,1,10,20,226.50552320000003,14496.353484800002
off,1,20,30,226.4727552,14494.2563328
off,1,30,40,226.6300416,14504.3226624
off,1,40,50,226.75456,14512.29184
off,1,50,60,226.7414528,14511.4529792
off,2,0,10,551.4461183999999,4411.5689471999995
off,2,10,20,565.9164671999999,4527.3317375999995
off,2,20,30,566.23104,4529.84832
off,2,30,40,566.1523968,4529.2191744
off,2,40,50,566.624256,4532.994048
off,2,50,60,567.1747584000001,4537.398067200001
on,1,0,10,391.74143999999995,25071.452159999997
on,1,10,20,383.778816,24561.844224
on,1,20,30,757.6158207999999,48487.412531199996
on,1,30,40,1789.1328,114504.4992
on,1,40,50,1804.7813404444446,115506.00578844445
on,1,50,60,1782.8234705454547,114100.7021149091
on,2,0,10,597.1902464,4777.5219712
on,2,10,20,530.8707271111111,4246.965816888889
on,2,20,30,423.6008727272727,3388.8069818181816
on,2,30,40,457.4937088,3659.9496704
on,2,40,50,438.042624,3504.340992
on,2,50,60,354.52354560000003,2836.1883648000003
adaptive_cgroup,1,0,10,386.14466559999994,24713.258598399996
adaptive_cgroup,1,10,20,372.52628480000004,23841.682227200003
adaptive_cgroup,1,20,30,768.5865471999999,49189.539020799995
adaptive_cgroup,1,30,40,1929.5305727999998,123489.95665919999
adaptive_cgroup,1,40,50,1832.8817208888893,117304.43013688891
adaptive_cgroup,1,50,60,1782.912837818182,114106.42162036365
adaptive_cgroup,2,0,10,560.6735872000002,4485.388697600001
adaptive_cgroup,2,10,20,553.9364863999999,4431.491891199999
adaptive_cgroup,2,20,30,554.1986304,4433.5890432
adaptive_cgroup,2,30,40,553.7063822222221,4429.651057777777
adaptive_cgroup,2,40,50,554.1009221818182,4432.8073774545455
adaptive_cgroup,2,50,60,554.041344,4432.330752
