case,label,policy,period_ms,fast_scan,bucket_s,actual_start_ms,actual_end_ms,hint_faults,pte_updates_pages,pte_updates_gib,promote_pages,promote_gib,demote_direct_pages,demote_direct_gib
off,off baseline,off,off,off,000-010,54,10122,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,010-020,10122,20174,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,020-030,20174,30215,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,030-040,30215,40266,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,040-050,40266,50312,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,050-060,50312,60357,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,060-070,60357,70398,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,070-080,70398,80444,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,080-090,80444,90490,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,090-100,90490,100546,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,100-110,100546,110594,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,110-120,110594,120632,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,120-130,120632,130671,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,130-140,130671,140718,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,140-150,140718,150762,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,150-160,150762,160810,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,160-170,160810,170856,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,170-180,170856,180898,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,180-190,180898,190940,0,0,0.000000,0,0.000000,0,0.000000
off,off baseline,off,off,off,190-200,190940,200989,0,0,0.000000,0,0.000000,0,0.000000
p1000_nofast,1000ms no-fast,on,1000,0,000-010,45,10143,4905984,4999885,19.073048,1030103,3.929531,668744,2.551056
p1000_nofast,1000ms no-fast,on,1000,0,010-020,10143,20240,2758767,2844185,10.849705,729739,2.783733,735239,2.804714
p1000_nofast,1000ms no-fast,on,1000,0,020-030,20240,30359,2159126,1888441,7.203831,568389,2.168232,557982,2.128532
p1000_nofast,1000ms no-fast,on,1000,0,030-040,30359,40413,1073621,992698,3.786842,285374,1.088615,285374,1.088615
p1000_nofast,1000ms no-fast,on,1000,0,040-050,40413,50487,1508954,1515280,5.780334,499003,1.903545,499003,1.903545
p1000_nofast,1000ms no-fast,on,1000,0,050-060,50487,60540,1275984,1172899,4.474255,459629,1.753345,491116,1.873459
p1000_nofast,1000ms no-fast,on,1000,0,060-070,60540,70587,88131,4,0.000015,3,0.000011,63797,0.243366
p1000_nofast,1000ms no-fast,on,1000,0,070-080,70587,80626,152652,153934,0.587212,138771,0.529369,43490,0.165901
p1000_nofast,1000ms no-fast,on,1000,0,080-090,80626,90688,702346,738370,2.816658,376625,1.436710,376625,1.436710
p1000_nofast,1000ms no-fast,on,1000,0,090-100,90688,100735,629400,564001,2.151493,297864,1.136261,313901,1.197437
p1000_nofast,1000ms no-fast,on,1000,0,100-110,100735,110785,897172,872333,3.327686,406869,1.552082,397437,1.516102
p1000_nofast,1000ms no-fast,on,1000,0,110-120,110785,120834,978959,951033,3.627903,381536,1.455444,376851,1.437572
p1000_nofast,1000ms no-fast,on,1000,0,120-130,120834,130924,868202,824375,3.144741,368495,1.405697,383469,1.462818
p1000_nofast,1000ms no-fast,on,1000,0,130-140,130924,140977,324884,234498,0.894539,180523,0.688641,230049,0.877567
p1000_nofast,1000ms no-fast,on,1000,0,140-150,140977,151023,360764,354858,1.353676,236839,0.903469,184453,0.703632
p1000_nofast,1000ms no-fast,on,1000,0,150-160,151023,161112,671595,683907,2.608898,396699,1.513287,393119,1.499630
p1000_nofast,1000ms no-fast,on,1000,0,160-170,161112,171170,462408,392457,1.497105,296773,1.132099,287639,1.097256
p1000_nofast,1000ms no-fast,on,1000,0,170-180,171170,181212,888480,922979,3.520885,332555,1.268597,333601,1.272587
p1000_nofast,1000ms no-fast,on,1000,0,180-190,181212,191263,983582,953237,3.636311,407282,1.553658,415248,1.584045
p1000_nofast,1000ms no-fast,on,1000,0,190-200,191263,201307,922438,885108,3.376419,422678,1.612389,416046,1.587090
p500_fast,500ms fast,on,500,1,000-010,38,10986,13447128,13789519,52.602840,1353760,5.164185,999067,3.811138
p500_fast,500ms fast,on,500,1,010-020,10986,21115,9402254,9913626,37.817482,1131077,4.314716,1131522,4.316414
p500_fast,500ms fast,on,500,1,020-030,21115,31246,6454605,6310721,24.073490,551626,2.104286,540560,2.062073
p500_fast,500ms fast,on,500,1,030-040,31246,41337,2830981,2296308,8.759720,366076,1.396469,366076,1.396469
p500_fast,500ms fast,on,500,1,040-050,41337,51469,2702433,2378264,9.072357,446074,1.701637,450999,1.720425
p500_fast,500ms fast,on,500,1,050-060,51469,61517,1953619,1708050,6.515694,361666,1.379646,356743,1.360867
p500_fast,500ms fast,on,500,1,060-070,61517,71633,1712043,2281026,8.701424,420722,1.604927,420721,1.604923
p500_fast,500ms fast,on,500,1,070-080,71633,81726,1519683,800477,3.053577,287597,1.097095,295892,1.128738
p500_fast,500ms fast,on,500,1,080-090,81726,91773,1030818,1094299,4.174419,276122,1.053322,282315,1.076946
p500_fast,500ms fast,on,500,1,090-100,91773,101824,843238,849283,3.239758,377613,1.440479,402391,1.535000
p500_fast,500ms fast,on,500,1,100-110,101824,111878,859554,797223,3.041164,370468,1.413223,339853,1.296436
p500_fast,500ms fast,on,500,1,110-120,111878,121931,1381702,1329818,5.072853,419967,1.602047,415696,1.585754
p500_fast,500ms fast,on,500,1,120-130,121931,131976,316380,219573,0.837605,118199,0.450893,113808,0.434143
p500_fast,500ms fast,on,500,1,130-140,131976,142057,790158,824634,3.145729,349656,1.333832,351703,1.341640
p500_fast,500ms fast,on,500,1,140-150,142057,152155,738821,680996,2.597794,322609,1.230656,325835,1.242962
p500_fast,500ms fast,on,500,1,150-160,152155,162210,770928,805938,3.074409,320147,1.221264,314874,1.201149
p500_fast,500ms fast,on,500,1,160-170,162210,172300,1155395,1136693,4.336140,404557,1.543262,404557,1.543262
p500_fast,500ms fast,on,500,1,170-180,172300,182350,917439,728027,2.777203,328271,1.252254,333717,1.273029
p500_fast,500ms fast,on,500,1,180-190,182350,192401,14,14,0.000053,14,0.000053,6945,0.026493
p500_fast,500ms fast,on,500,1,190-200,192401,202443,1751,1605,0.006123,1591,0.006069,2632,0.010040
p250_fast,250ms fast,on,250,1,000-010,46,10131,18698844,18855976,71.929840,1602235,6.112041,1279658,4.881508
p250_fast,250ms fast,on,250,1,010-020,10131,20222,13096100,13549744,51.688171,1371767,5.232876,1330553,5.075657
p250_fast,250ms fast,on,250,1,020-030,20222,30277,8112013,8016210,30.579414,583684,2.226578,592496,2.260193
p250_fast,250ms fast,on,250,1,030-040,30277,40337,5727622,4967732,18.950394,513169,1.957584,503732,1.921585
p250_fast,250ms fast,on,250,1,040-050,40337,50422,2851549,2491417,9.504002,372055,1.419277,395545,1.508884
p250_fast,250ms fast,on,250,1,050-060,50422,60513,1493162,1485037,5.664967,391561,1.493687,368071,1.404079
p250_fast,250ms fast,on,250,1,060-070,60513,70571,1542911,1601145,6.107883,396883,1.513988,403318,1.538536
p250_fast,250ms fast,on,250,1,070-080,70571,80658,1286637,1100543,4.198238,257635,0.982800,330241,1.259769
p250_fast,250ms fast,on,250,1,080-090,80658,90707,58738,144255,0.550289,53397,0.203693,7372,0.028122
p250_fast,250ms fast,on,250,1,090-100,90707,100752,1009767,990468,3.778336,386638,1.474907,365028,1.392471
p250_fast,250ms fast,on,250,1,100-110,100752,110838,1229553,1204929,4.596439,328821,1.254353,317412,1.210831
p250_fast,250ms fast,on,250,1,110-120,110838,120906,1308191,1366386,5.212349,305686,1.166100,316168,1.206085
p250_fast,250ms fast,on,250,1,120-130,120906,130956,812197,581712,2.219055,232478,0.886833,262300,1.000595
p250_fast,250ms fast,on,250,1,130-140,130956,140996,6,6,0.000023,6,0.000023,3311,0.012630
p250_fast,250ms fast,on,250,1,140-150,140996,151072,495112,550117,2.098530,238315,0.909100,194698,0.742714
p250_fast,250ms fast,on,250,1,150-160,151072,161131,837469,733394,2.797676,252398,0.962822,299209,1.141392
p250_fast,250ms fast,on,250,1,160-170,161131,171227,862443,1031072,3.933228,361207,1.377895,316124,1.205917
p250_fast,250ms fast,on,250,1,170-180,171227,181282,998280,919672,3.508270,391653,1.494038,411850,1.571083
p250_fast,250ms fast,on,250,1,180-190,181282,191402,1055408,915107,3.490856,344119,1.312710,322194,1.229073
p250_fast,250ms fast,on,250,1,190-200,191402,201452,162418,97568,0.372192,54278,0.207054,104189,0.397449
