case,label,policy,period_ms,fast_scan,bucket_s,actual_start_ms,actual_end_ms,ops_delta,mops_s
off,off baseline,off,off,off,000-010,0,10000,5641076736,564.1076736
off,off baseline,off,off,off,010-020,10000,20000,5635571712,563.5571712000001
off,off baseline,off,off,off,020-030,20000,30000,5637931008,563.7931007999999
off,off baseline,off,off,off,030-040,30000,40000,5625085952,562.5085952000001
off,off baseline,off,off,off,040-050,40000,50000,5632950272,563.2950272
off,off baseline,off,off,off,050-060,50000,60000,5628493824,562.8493824
off,off baseline,off,off,off,060-070,60000,70000,5629542400,562.95424
off,off baseline,off,off,off,070-080,70000,80000,5628493824,562.8493824
off,off baseline,off,off,off,080-090,80000,90000,5630853120,563.085312
off,off baseline,off,off,off,090-100,90000,100000,5636882432,563.6882432000001
off,off baseline,off,off,off,100-110,100000,110000,5658640384,565.8640384
off,off baseline,off,off,off,110-120,110000,120000,5639766016,563.9766016
off,off baseline,off,off,off,120-130,120000,130000,5639766016,563.9766016
off,off baseline,off,off,off,130-140,130000,140000,5649989632,564.9989632
off,off baseline,off,off,off,140-150,140000,150000,5647630336,564.7630336
off,off baseline,off,off,off,150-160,150000,160000,5642125312,564.2125312000001
off,off baseline,off,off,off,160-170,160000,170000,5639766016,563.9766016
off,off baseline,off,off,off,170-180,170000,180001,5629804544,562.9241619838016
off,off baseline,off,off,off,180-190,180001,190000,5633736704,563.4300134013401
off,off baseline,off,off,off,190-200,190000,200000,5654446080,565.444608
p1000_nofast,1000ms no-fast,on,1000,0,000-010,0,10000,3140485120,314.048512
p1000_nofast,1000ms no-fast,on,1000,0,010-020,10000,20000,2309750784,230.9750784
p1000_nofast,1000ms no-fast,on,1000,0,020-030,20000,30000,2767978496,276.7978496
p1000_nofast,1000ms no-fast,on,1000,0,030-040,30000,40000,2875457536,287.5457536
p1000_nofast,1000ms no-fast,on,1000,0,040-050,40000,50000,1552678912,155.26789119999998
p1000_nofast,1000ms no-fast,on,1000,0,050-060,50000,60000,1412956160,141.295616
p1000_nofast,1000ms no-fast,on,1000,0,060-070,60000,70000,2514747392,251.4747392
p1000_nofast,1000ms no-fast,on,1000,0,070-080,70000,80000,2385248256,238.52482559999999
p1000_nofast,1000ms no-fast,on,1000,0,080-090,80000,90000,2618556416,261.8556416
p1000_nofast,1000ms no-fast,on,1000,0,090-100,90000,100000,2896429056,289.6429056
p1000_nofast,1000ms no-fast,on,1000,0,100-110,100000,110000,3034054656,303.4054656
p1000_nofast,1000ms no-fast,on,1000,0,110-120,110000,120000,2302672896,230.2672896
p1000_nofast,1000ms no-fast,on,1000,0,120-130,120000,130001,2039218176,203.9014274572543
p1000_nofast,1000ms no-fast,on,1000,0,130-140,130001,140001,2989752320,298.975232
p1000_nofast,1000ms no-fast,on,1000,0,140-150,140001,150000,2917400576,291.7692345234523
p1000_nofast,1000ms no-fast,on,1000,0,150-160,150000,160000,2931818496,293.1818496
p1000_nofast,1000ms no-fast,on,1000,0,160-170,160000,170003,3176660992,317.5708279516145
p1000_nofast,1000ms no-fast,on,1000,0,170-180,170003,180000,3220439040,322.1405461638492
p1000_nofast,1000ms no-fast,on,1000,0,180-190,180000,190000,2581856256,258.1856256
p1000_nofast,1000ms no-fast,on,1000,0,190-200,190000,200000,1988362240,198.836224
p500_fast,500ms fast,on,500,1,000-010,0,10000,3050307584,305.03075839999997
p500_fast,500ms fast,on,500,1,010-020,10000,20000,2747269120,274.726912
p500_fast,500ms fast,on,500,1,020-030,20000,30001,2877292544,287.7004843515649
p500_fast,500ms fast,on,500,1,030-040,30001,40000,2830630912,283.091400340034
p500_fast,500ms fast,on,500,1,040-050,40000,50000,3108503552,310.85035519999997
p500_fast,500ms fast,on,500,1,050-060,50000,60000,2524971008,252.4971008
p500_fast,500ms fast,on,500,1,060-070,60000,70000,2488795136,248.8795136
p500_fast,500ms fast,on,500,1,070-080,70000,80000,2699558912,269.9558912
p500_fast,500ms fast,on,500,1,080-090,80000,90000,2620653568,262.0653568
p500_fast,500ms fast,on,500,1,090-100,90000,100000,2883059712,288.3059712
p500_fast,500ms fast,on,500,1,100-110,100000,110000,2135162880,213.516288
p500_fast,500ms fast,on,500,1,110-120,110000,120000,2618294272,261.8294272
p500_fast,500ms fast,on,500,1,120-130,120000,130001,2884108288,288.38199060093996
p500_fast,500ms fast,on,500,1,130-140,130001,140000,2791309312,279.15884708470844
p500_fast,500ms fast,on,500,1,140-150,140000,150000,3105095680,310.509568
p500_fast,500ms fast,on,500,1,150-160,150000,160004,3080192000,307.8960415833667
p500_fast,500ms fast,on,500,1,160-170,160004,170000,2183659520,218.45333333333332
p500_fast,500ms fast,on,500,1,170-180,170000,180000,2123104256,212.3104256
p500_fast,500ms fast,on,500,1,180-190,180000,190000,2510028800,251.00288
p500_fast,500ms fast,on,500,1,190-200,190000,200000,3145465856,314.5465856
p250_fast,250ms fast,on,250,1,000-010,0,10000,3316645888,331.6645888
p250_fast,250ms fast,on,250,1,010-020,10000,20000,3295936512,329.5936512
p250_fast,250ms fast,on,250,1,020-030,20000,30139,3135242240,309.22598283854427
p250_fast,250ms fast,on,250,1,030-040,30139,40000,2913992704,295.50681513031134
p250_fast,250ms fast,on,250,1,040-050,40000,50000,2709258240,270.925824
p250_fast,250ms fast,on,250,1,050-060,50000,60000,2855796736,285.57967360000004
p250_fast,250ms fast,on,250,1,060-070,60000,70000,1697120256,169.7120256
p250_fast,250ms fast,on,250,1,070-080,70000,80000,2743861248,274.3861248
p250_fast,250ms fast,on,250,1,080-090,80000,90000,3078356992,307.83569919999997
p250_fast,250ms fast,on,250,1,090-100,90000,100000,2995781632,299.5781632
p250_fast,250ms fast,on,250,1,100-110,100000,110001,2969567232,296.92703049695035
p250_fast,250ms fast,on,250,1,110-120,110001,120000,1946681344,194.68760316031603
p250_fast,250ms fast,on,250,1,120-130,120000,130000,2327838720,232.783872
p250_fast,250ms fast,on,250,1,130-140,130000,140000,3055288320,305.528832
p250_fast,250ms fast,on,250,1,140-150,140000,150001,2838233088,283.7949293070693
p250_fast,250ms fast,on,250,1,150-160,150001,160000,2923954176,292.4246600660066
p250_fast,250ms fast,on,250,1,160-170,160000,170000,3032219648,303.2219648
p250_fast,250ms fast,on,250,1,170-180,170000,180001,2696413184,269.6143569643036
p250_fast,250ms fast,on,250,1,180-190,180001,190001,2275147776,227.5147776
p250_fast,250ms fast,on,250,1,190-200,190001,200000,2301362176,230.15923352335233
