case,label,policy,period_ms,fast_scan,time_s,mops_s
off,off baseline,off,off,off,1.0,565.444608
off,off baseline,off,off,off,2.0,563.085312
off,off baseline,off,off,off,3.0,564.396032
off,off baseline,off,off,off,4.0,564.658176
off,off baseline,off,off,off,5.0,564.658176
off,off baseline,off,off,off,6.0,563.085312
off,off baseline,off,off,off,7.0,564.92032
off,off baseline,off,off,off,8.0,562.823168
off,off baseline,off,off,off,9.0,564.92032
off,off baseline,off,off,off,10.0,563.085312
off,off baseline,off,off,off,11.0,563.085312
off,off baseline,off,off,off,12.0,562.29888
off,off baseline,off,off,off,13.001,564.8797282717283
off,off baseline,off,off,off,14.0,564.1737737737737
off,off baseline,off,off,off,15.0,561.512448
off,off baseline,off,off,off,16.0,561.774592
off,off baseline,off,off,off,17.0,563.6096
off,off baseline,off,off,off,18.0,565.968896
off,off baseline,off,off,off,19.001,563.8321998001999
off,off baseline,off,off,off,20.0,564.4361801801801
off,off baseline,off,off,off,21.0,563.347456
off,off baseline,off,off,off,22.0,563.6096
off,off baseline,off,off,off,23.0,564.133888
off,off baseline,off,off,off,24.0,564.92032
off,off baseline,off,off,off,25.0,563.347456
off,off baseline,off,off,off,26.0,561.774592
off,off baseline,off,off,off,27.0,564.133888
off,off baseline,off,off,off,28.0,561.774592
off,off baseline,off,off,off,29.0,565.444608
off,off baseline,off,off,off,30.0,565.444608
off,off baseline,off,off,off,31.0,560.98816
off,off baseline,off,off,off,32.0,562.29888
off,off baseline,off,off,off,33.0,564.396032
off,off baseline,off,off,off,34.0,562.823168
off,off baseline,off,off,off,35.0,563.085312
off,off baseline,off,off,off,36.0,561.774592
off,off baseline,off,off,off,37.0,562.036736
off,off baseline,off,off,off,38.001,561.4752607392608
off,off baseline,off,off,off,39.0,564.1737737737737
off,off baseline,off,off,off,40.0,562.036736
off,off baseline,off,off,off,41.0,563.6096
off,off baseline,off,off,off,42.0,562.29888
off,off baseline,off,off,off,43.0,563.347456
off,off baseline,off,off,off,44.001,563.0465534465535
off,off baseline,off,off,off,45.0,563.648960960961
off,off baseline,off,off,off,46.0,563.085312
off,off baseline,off,off,off,47.0,563.347456
off,off baseline,off,off,off,48.0,562.561024
off,off baseline,off,off,off,49.0,564.396032
off,off baseline,off,off,off,50.0,563.6096
off,off baseline,off,off,off,51.0,563.871744
off,off baseline,off,off,off,52.0,561.250304
off,off baseline,off,off,off,53.0,561.774592
off,off baseline,off,off,off,54.006,561.2904333996024
off,off baseline,off,off,off,55.0,562.5283219315895
off,off baseline,off,off,off,56.0,564.396032
off,off baseline,off,off,off,57.0,564.658176
off,off baseline,off,off,off,58.0,564.658176
off,off baseline,off,off,off,59.0,559.67744
off,off baseline,off,off,off,60.0,564.396032
off,off baseline,off,off,off,61.0,562.561024
off,off baseline,off,off,off,62.0,562.823168
off,off baseline,off,off,off,63.0,559.939584
off,off baseline,off,off,off,64.0,564.133888
off,off baseline,off,off,off,65.001,562.5227892107894
off,off baseline,off,off,off,66.0,563.648960960961
off,off baseline,off,off,off,67.0,564.396032
off,off baseline,off,off,off,68.0,561.512448
off,off baseline,off,off,off,69.0,562.823168
off,off baseline,off,off,off,70.0,565.182464
off,off baseline,off,off,off,71.0,559.67744
off,off baseline,off,off,off,72.0,564.396032
off,off baseline,off,off,off,73.0,563.6096
off,off baseline,off,off,off,74.0,560.98816
off,off baseline,off,off,off,75.0,564.658176
off,off baseline,off,off,off,76.001,560.9514965034965
off,off baseline,off,off,off,77.0,564.4361801801801
off,off baseline,off,off,off,78.0,561.250304
off,off baseline,off,off,off,79.0,564.658176
off,off baseline,off,off,off,80.0,563.871744
off,off baseline,off,off,off,81.0,562.036736
off,off baseline,off,off,off,82.0,563.6096
off,off baseline,off,off,off,83.0,560.98816
off,off baseline,off,off,off,84.0,564.133888
off,off baseline,off,off,off,85.0,564.133888
