interval_start_s,interval_end_s,phase,window_offset_gib,cg_promote_delta_pages,vm_promote_delta_pages,cg_migrate_promotion_delta_pages,cg_demote_delta_pages,cg_hint_fault_delta,promote_delta_gib,anon_n0_gib,anon_n1_gib,ops_mops_s
0.052,5.096,window1,16.0,0,0,0,0,0,0.0,15.44161605834961,48.55887985229492,398.393344
5.096,10.138,window1,16.0,2,2,2,0,2,7.62939453125e-06,15.44162368774414,48.55887222290039,397.017088
10.138,15.175,window1,16.0,332691,332691,332691,340529,1081846,1.2691154479980469,15.411502838134766,48.58877182006836,399.900672
15.175,20.207,window1,16.0,0,0,0,88704,5,0.0,15.073345184326172,48.92715072631836,371.458048
20.207,25.238,window1,16.0,0,0,0,0,0,0.0,15.073345184326172,48.92715072631836,1259.077632
25.238,30.269,window1,16.0,0,0,0,0,0,0.0,15.073345184326172,48.92715072631836,1258.61888
30.269,35.295,window1,16.0,5,5,5,0,5,1.9073486328125e-05,15.0733642578125,48.92713165283203,1231.74912
35.295,40.317,window1,16.0,416872,416872,416872,195581,758398,1.590240478515625,15.917522430419922,48.08297348022461,1257.373696
40.317,45.34,window1,16.0,418,418,418,229568,458,0.00159454345703125,15.043384552001953,48.95711135864258,1257.439232
45.34,50.361,window1,16.0,0,0,0,0,0,0.0,15.043384552001953,48.95711135864258,1802.436608
50.361,55.382,window1,16.0,0,0,0,0,0,0.0,15.043384552001953,48.95711135864258,1802.371072
55.382,60.401,window1,16.0,0,0,0,0,0,0.0,15.043384552001953,48.95711135864258,1798.373376
60.401,65.423,window2,20.0,3202,3036,3232,0,3525,0.01221466064453125,15.055599212646484,48.94488525390625,119.472128
65.423,70.449,window2,20.0,296836,297002,296806,429888,326513,1.1323394775390625,14.548046112060547,49.452449798583984,498.663424
70.449,75.473,window2,20.0,0,0,0,0,0,0.0,14.548046112060547,49.452449798583984,506.2656
75.473,80.508,window2,20.0,0,0,0,0,1048578,0.0,14.548046112060547,49.452449798583984,506.658816
80.508,85.568,window2,20.0,508876,508560,509228,150656,762765,1.9412078857421875,15.91495132446289,48.08552551269531,506.59328
85.568,90.605,window2,20.0,30598,30914,30246,289216,339761,0.11672210693359375,14.927997589111328,49.0724983215332,441.71264
90.605,95.636,window2,20.0,0,0,0,0,0,0.0,14.927997589111328,49.0724983215332,1873.739776
95.636,100.662,window2,20.0,0,0,0,0,0,0.0,14.927997589111328,49.0724983215332,1875.902464
100.662,105.69,window2,20.0,0,0,0,0,0,0.0,14.927997589111328,49.0724983215332,1873.281024
105.69,110.748,window2,20.0,410483,410004,411021,131421,451614,1.5658683776855469,15.992454528808594,48.007938385009766,1801.191424
110.748,115.779,window2,20.0,57176,57655,56638,310976,104258,0.218109130859375,15.024364471435547,48.976131439208984,1800.732672
115.779,120.803,window2,20.0,0,0,0,0,0,0.0,15.024364471435547,48.976131439208984,1802.502144
120.803,125.829,post,44.0,41443,41443,41443,0,45583,0.15809249877929688,15.182456970214844,48.81803894042969,1802.502144
