case,period_ms,run_id,interval_start_s,interval_end_s,phase,start_offset_gib,promote_pages,promote_gib,hint_faults,demote_pages,demote_gib,anon_n0_gib,ops_mops_s
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,0.052,5.096,window1,16.0,0,0.0,0,0,0.0,15.44161605834961,398.393344
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,5.096,10.138,window1,16.0,2,7.62939453125e-06,2,0,0.0,15.44162368774414,397.017088
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,10.138,15.175,window1,16.0,332691,1.2691154479980469,1081846,340529,1.2990150451660156,15.411502838134766,399.900672
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,15.175,20.207,window1,16.0,0,0.0,5,88704,0.33837890625,15.073345184326172,371.458048
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,20.207,25.238,window1,16.0,0,0.0,0,0,0.0,15.073345184326172,1259.077632
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,25.238,30.269,window1,16.0,0,0.0,0,0,0.0,15.073345184326172,1258.61888
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,30.269,35.295,window1,16.0,5,1.9073486328125e-05,5,0,0.0,15.0733642578125,1231.74912
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,35.295,40.317,window1,16.0,416872,1.590240478515625,758398,195581,0.7460823059082031,15.917522430419922,1257.373696
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,40.317,45.34,window1,16.0,418,0.00159454345703125,458,229568,0.875732421875,15.043384552001953,1257.439232
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,45.34,50.361,window1,16.0,0,0.0,0,0,0.0,15.043384552001953,1802.436608
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,50.361,55.382,window1,16.0,0,0.0,0,0,0.0,15.043384552001953,1802.371072
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,55.382,60.401,window1,16.0,0,0.0,0,0,0.0,15.043384552001953,1798.373376
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,60.401,65.423,window2,20.0,3202,0.01221466064453125,3525,0,0.0,15.055599212646484,119.472128
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,65.423,70.449,window2,20.0,296836,1.1323394775390625,326513,429888,1.639892578125,14.548046112060547,498.663424
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,70.449,75.473,window2,20.0,0,0.0,0,0,0.0,14.548046112060547,506.2656
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,75.473,80.508,window2,20.0,0,0.0,1048578,0,0.0,14.548046112060547,506.658816
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,80.508,85.568,window2,20.0,508876,1.9412078857421875,762765,150656,0.57470703125,15.91495132446289,506.59328
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,85.568,90.605,window2,20.0,30598,0.11672210693359375,339761,289216,1.103271484375,14.927997589111328,441.71264
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,90.605,95.636,window2,20.0,0,0.0,0,0,0.0,14.927997589111328,1873.739776
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,95.636,100.662,window2,20.0,0,0.0,0,0,0.0,14.927997589111328,1875.902464
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,100.662,105.69,window2,20.0,0,0.0,0,0,0.0,14.927997589111328,1873.281024
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,105.69,110.748,window2,20.0,410483,1.5658683776855469,451614,131421,0.5013313293457031,15.992454528808594,1801.191424
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,110.748,115.779,window2,20.0,57176,0.218109130859375,104258,310976,1.186279296875,15.024364471435547,1800.732672
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,115.779,120.803,window2,20.0,0,0.0,0,0,0.0,15.024364471435547,1802.502144
1000ms-default,1000,20260509T082855Z-move60-fastscan-on5s,120.803,125.829,post,44.0,41443,0.15809249877929688,45583,0,0.0,15.182456970214844,1802.502144
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,0.048,5.084,window1,16.0,442929,1.6896400451660156,1140629,0,0.0,16.0,1861.2224
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,5.084,10.121,window1,16.0,67235,0.2564811706542969,612336,349888,1.334716796875,14.921566009521484,1860.173824
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,10.121,15.153,window1,16.0,0,0.0,0,81792,0.31201171875,14.609752655029297,1851.785216
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,15.153,20.176,window1,16.0,506119,1.9306907653808594,589028,438129,1.6713294982910156,14.86911392211914,1801.977856
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,20.176,25.203,window1,16.0,0,0.0,0,0,0.0,14.86911392211914,1804.20608
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,25.203,30.228,window1,16.0,4,1.52587890625e-05,4,0,0.0,14.869129180908203,1799.553024
