case,time_s,phase,mean_mops_s,promote_gib,hint_faults,demote_gib,anon_n0_end_gib
1000ms-fastoff-scan256,0-10,w1 16G,228.3012096,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,10-20,w1 16G,228.20945920000003,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,20-30,w1 16G,228.2487808,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,30-40,w1 16G,228.0849408,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,40-50,w1 16G,228.1570304,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,50-60,w1 16G,228.1832448,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,60-70,w2 20G,292.7427584,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,70-80,w2 20G,293.3915648,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,80-90,w2 20G,293.3456896,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,90-100,w2 20G,293.65953422222225,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,100-110,w2 20G,293.69958399999996,0.0,0,0.0,14.991138458251953
1000ms-fastoff-scan256,110-120,w2 20G,293.994496,0.0,0,0.0,14.991138458251953
250ms-faston-scan256,0-10,w1 16G,1806.5719296,2.0,576726,1.1953125,15.115039825439453
250ms-faston-scan256,10-20,w1 16G,1804.8024576,2.0,576719,2.80615234375,14.308887481689453
250ms-faston-scan256,20-30,w1 16G,1804.8679936,0.0,0,0.0,14.308887481689453
250ms-faston-scan256,30-40,w1 16G,1806.0476415999997,0.0,0,0.0,14.308887481689453
250ms-faston-scan256,40-50,w1 16G,1806.3542044444446,0.0,0,0.0,14.308887481689453
250ms-faston-scan256,50-60,w1 16G,1805.8981003636363,0.0,0,0.0,14.308887481689453
250ms-faston-scan256,60-70,w2 20G,226.11230719999998,0.0,0,0.0,14.308887481689453
250ms-faston-scan256,70-80,w2 20G,228.36019199999996,0.0,1048576,0.0,14.308887481689453
250ms-faston-scan256,80-90,w2 20G,228.2749952,0.0,0,0.0,14.308887481689453
250ms-faston-scan256,90-100,w2 20G,228.2881024,0.0,0,0.0,14.308887481689453
250ms-faston-scan256,100-110,w2 20G,228.15047679999998,0.0,0,0.0,14.308887481689453
250ms-faston-scan256,110-120,w2 20G,228.03906559999996,0.0,0,0.0,14.308887481689453
