policy,label,start_s,end_s,cg_numa_hint_faults_delta,cg_numa_pte_updates_delta,cg_pgpromote_success_delta,cg_pgdemote_direct_delta,cg_pgdemote_kswapd_delta,pte_updates_gib_delta,promote_gib_delta,demote_gib_delta
off,off,0.04,5.065,0,0,0,0,0,0.0,0.0,0.0
off,off,5.065,10.086,0,0,0,0,0,0.0,0.0,0.0
off,off,10.086,15.118,0,0,0,0,0,0.0,0.0,0.0
off,off,15.118,20.155,0,0,0,0,0,0.0,0.0,0.0
off,off,20.155,25.195,0,0,0,0,0,0.0,0.0,0.0
off,off,25.195,30.232,0,0,0,0,0,0.0,0.0,0.0
off,off,30.232,35.264,0,0,0,0,0,0.0,0.0,0.0
off,off,35.264,40.305,0,0,0,0,0,0.0,0.0,0.0
off,off,40.305,45.331,0,0,0,0,0,0.0,0.0,0.0
off,off,45.331,50.354,0,0,0,0,0,0.0,0.0,0.0
off,off,50.354,55.378,0,0,0,0,0,0.0,0.0,0.0
off,off,55.378,60.399,0,0,0,0,0,0.0,0.0,0.0
off,off,60.399,65.424,0,0,0,0,0,0.0,0.0,0.0
off,off,65.424,70.446,0,0,0,0,0,0.0,0.0,0.0
off,off,70.446,75.465,0,0,0,0,0,0.0,0.0,0.0
off,off,75.465,80.483,0,0,0,0,0,0.0,0.0,0.0
off,off,80.483,85.506,0,0,0,0,0,0.0,0.0,0.0
off,off,85.506,90.529,0,0,0,0,0,0.0,0.0,0.0
off,off,90.529,95.554,0,0,0,0,0,0.0,0.0,0.0
off,off,95.554,100.573,0,0,0,0,0,0.0,0.0,0.0
off,off,100.573,105.591,0,0,0,0,0,0.0,0.0,0.0
off,off,105.591,110.614,0,0,0,0,0,0.0,0.0,0.0
off,off,110.614,115.636,0,0,0,0,0,0.0,0.0,0.0
off,off,115.636,120.657,0,0,0,0,0,0.0,0.0,0.0
off,off,120.657,125.682,0,0,0,0,0,0.0,0.0,0.0
off,off,125.682,130.706,0,0,0,0,0,0.0,0.0,0.0
off,off,130.706,135.743,0,0,0,0,0,0.0,0.0,0.0
off,off,135.743,140.779,0,0,0,0,0,0.0,0.0,0.0
off,off,140.779,145.816,0,0,0,0,0,0.0,0.0,0.0
off,off,145.816,150.852,0,0,0,0,0,0.0,0.0,0.0
off,off,150.852,155.888,0,0,0,0,0,0.0,0.0,0.0
off,off,155.888,160.921,0,0,0,0,0,0.0,0.0,0.0
off,off,160.921,165.946,0,0,0,0,0,0.0,0.0,0.0
off,off,165.946,170.969,0,0,0,0,0,0.0,0.0,0.0
off,off,170.969,175.993,0,0,0,0,0,0.0,0.0,0.0
off,off,175.993,181.023,0,0,0,0,0,0.0,0.0,0.0
off,off,181.023,186.05,0,0,0,0,0,0.0,0.0,0.0
off,off,186.05,191.073,0,0,0,0,0,0.0,0.0,0.0
off,off,191.073,196.097,0,0,0,0,0,0.0,0.0,0.0
off,off,196.097,201.118,0,0,0,0,0,0.0,0.0,0.0
off,off,201.118,206.146,0,0,0,0,0,0.0,0.0,0.0
off,off,206.146,211.168,0,0,0,0,0,0.0,0.0,0.0
off,off,211.168,216.194,0,0,0,0,0,0.0,0.0,0.0
off,off,216.194,221.216,0,0,0,0,0,0.0,0.0,0.0
off,off,221.216,226.239,0,0,0,0,0,0.0,0.0,0.0
off,off,226.239,231.257,0,0,0,0,0,0.0,0.0,0.0
off,off,231.257,236.276,0,0,0,0,0,0.0,0.0,0.0
off,off,236.276,241.297,0,0,0,0,0,0.0,0.0,0.0
off,off,241.297,246.318,0,0,0,0,0,0.0,0.0,0.0
off,off,246.318,251.34,0,0,0,0,0,0.0,0.0,0.0
off,off,251.34,256.377,0,0,0,0,0,0.0,0.0,0.0
off,off,256.377,261.41,0,0,0,0,0,0.0,0.0,0.0
off,off,261.41,266.451,0,0,0,0,0,0.0,0.0,0.0
off,off,266.451,271.487,0,0,0,0,0,0.0,0.0,0.0
off,off,271.487,276.522,0,0,0,0,0,0.0,0.0,0.0
off,off,276.522,281.554,0,0,0,0,0,0.0,0.0,0.0
off,off,281.554,286.579,0,0,0,0,0,0.0,0.0,0.0
off,off,286.579,291.602,0,0,0,0,0,0.0,0.0,0.0
off,off,291.602,296.626,0,0,0,0,0,0.0,0.0,0.0
off,off,296.626,301.656,0,0,0,0,0,0.0,0.0,0.0
off,off,301.656,306.675,0,0,0,0,0,0.0,0.0,0.0
off,off,306.675,311.695,0,0,0,0,0,0.0,0.0,0.0
off,off,311.695,316.719,0,0,0,0,0,0.0,0.0,0.0
off,off,316.719,321.742,0,0,0,0,0,0.0,0.0,0.0
off,off,321.742,326.765,0,0,0,0,0,0.0,0.0,0.0
off,off,326.765,331.786,0,0,0,0,0,0.0,0.0,0.0
off,off,331.786,336.805,0,0,0,0,0,0.0,0.0,0.0
off,off,336.805,341.827,0,0,0,0,0,0.0,0.0,0.0
off,off,341.827,346.851,0,0,0,0,0,0.0,0.0,0.0
off,off,346.851,351.874,0,0,0,0,0,0.0,0.0,0.0
off,off,351.874,356.897,0,0,0,0,0,0.0,0.0,0.0
off,off,356.897,361.952,0,0,0,0,0,0.0,0.0,0.0
off,off,361.952,367.017,0,0,0,0,0,0.0,0.0,0.0
on,on,0.046,5.071,263185,2395931,239256,0,0,9.139751434326172,0.912689208984375,0.0
on,on,5.071,10.099,0,2818048,0,0,0,10.75,0.0,0.0
on,on,10.099,15.132,0,2883584,0,0,0,11.0,0.0,0.0
on,on,15.132,20.175,875363,3145728,371507,262656,0,12.0,1.4171867370605469,1.001953125
on,on,20.175,25.203,213820,2229399,34483,338112,0,8.50448226928711,0.13154220581054688,1.289794921875
on,on,25.203,30.239,1545643,512850,451875,149313,0,1.9563674926757812,1.7237663269042969,0.5695838928222656
on,on,30.239,35.275,0,501380,0,194368,0,1.9126129150390625,0.0,0.741455078125
on,on,35.275,40.302,494631,522240,449665,236544,0,1.9921875,1.7153358459472656,0.90234375
