phase_id,phase_kind,policy,label,metric,value,ratio_vs_off
1,friendly,off,off,mean_mops,1072.6367160100888,1.0
1,friendly,on,on,mean_mops,1154.5746693532226,1.0763892864379287
1,friendly,oracle_cgroup_global0,Miracle,mean_mops,1145.5994192643182,1.0680218215218573
2,unfriendly,off,off,mean_mib_s,4511.910621243894,1.0
2,unfriendly,on,on,mean_mib_s,3128.356903523183,0.6933552470639861
2,unfriendly,oracle_cgroup_global0,Miracle,mean_mib_s,3393.0974127506283,0.7520311676331881
3,friendly,off,off,mean_mops,1094.7190080704668,1.0
3,friendly,on,on,mean_mops,1167.317717463329,1.0663172091264073
3,friendly,oracle_cgroup_global0,Miracle,mean_mops,921.8853536516333,0.8421205321688283
4,unfriendly,off,off,mean_mib_s,4502.3365817492395,1.0
4,unfriendly,on,on,mean_mib_s,2641.399313958116,0.5866730010069315
4,unfriendly,oracle_cgroup_global0,Miracle,mean_mib_s,3664.6032194472195,0.8139336437666894
5,friendly,off,off,mean_mops,1094.3895189835519,1.0
5,friendly,on,on,mean_mops,1051.2647604695992,0.9605946897645674
5,friendly,oracle_cgroup_global0,Miracle,mean_mops,838.7257233545714,0.7663868383293398
6,unfriendly,off,off,mean_mib_s,4511.32996808021,1.0
6,unfriendly,on,on,mean_mib_s,3271.547020493377,0.725184600470619
6,unfriendly,oracle_cgroup_global0,Miracle,mean_mib_s,2407.587447196232,0.5336757595279109
