policy,label,phase_id,phase_kind,phase_name,mean_mops,median_mops,mean_mib_s,median_mib_s,sample_count,steady_sample_count
off,off,1,friendly,move15s-hotset-4g-rss64,1072.6367160100888,228.7366795915916,68648.74982464568,14639.147493861863,60,58
off,off,2,unfriendly,stream-read-32g-split16-4k,563.9888276554867,564.133888,4511.910621243894,4513.071104,61,59
off,off,3,friendly,move15s-hotset-4g-rss64,1094.7190080704668,228.851712,70062.01651650987,14646.509568,61,59
off,off,4,unfriendly,stream-read-32g-split16-4k,562.7920727186549,562.823168,4502.3365817492395,4502.585344,61,59
off,off,5,friendly,move15s-hotset-4g-rss64,1094.3895189835519,228.851712,70040.92921494732,14646.509568,61,59
off,off,6,unfriendly,stream-read-32g-split16-4k,563.9162460100263,563.9113673673673,4511.32996808021,4511.290938938939,61,59
on,on,1,friendly,move15s-hotset-4g-rss64,1154.5746693532226,1654.1530023770022,73892.77883860625,105865.79215212814,60,58
on,on,2,unfriendly,stream-read-32g-split16-4k,391.049051620362,361.75872,3128.356903523183,2894.06976,61,59
on,on,3,friendly,move15s-hotset-4g-rss64,1167.317717463329,1363.738624,74708.33391765306,87279.271936,61,59
on,on,4,unfriendly,stream-read-32g-split16-4k,330.1749142447645,348.127232,2641.399313958116,2785.017856,61,59
on,on,5,friendly,move15s-hotset-4g-rss64,1051.2647604695992,1077.346304,67280.94467005435,68950.163456,61,59
on,on,6,unfriendly,stream-read-32g-split16-4k,408.94337756167215,410.66602602602603,3271.547020493377,3285.3282082082083,61,59
oracle_cgroup_global0,Miracle,1,friendly,move15s-hotset-4g-rss64,1145.5994192643182,1656.684544,73318.36283291636,106027.810816,60,58
oracle_cgroup_global0,Miracle,2,unfriendly,stream-read-32g-split16-4k,424.13717659382854,430.5342017982019,3393.0974127506283,3444.273614385615,61,59
oracle_cgroup_global0,Miracle,3,friendly,move15s-hotset-4g-rss64,921.8853536516333,914.6887672327673,59000.66263370453,58540.08110289711,61,59
oracle_cgroup_global0,Miracle,4,unfriendly,stream-read-32g-split16-4k,458.07540243090244,458.29370629370635,3664.6032194472195,3666.349650349651,61,59
oracle_cgroup_global0,Miracle,5,friendly,move15s-hotset-4g-rss64,838.7257233545714,707.330048,53678.44629469257,45269.123072,61,59
oracle_cgroup_global0,Miracle,6,unfriendly,stream-read-32g-split16-4k,300.948430899529,299.368448,2407.587447196232,2394.947584,61,59
