policy,label,time_s,phase_id,phase_kind,phase_elapsed_ms,mops_s,mib_s
off,off,1.0,1,friendly,1000,1685.127168,102852.0
off,off,2.0,1,friendly,2000,1965.621248,119972.0
off,off,3.0,1,friendly,3000,1967.7184,120100.0
off,off,4.0,1,friendly,4000,1966.342144,120016.0
off,off,5.0,1,friendly,5000,1962.344448,119772.0
off,off,6.0,1,friendly,6000,1983.709184,121076.0
off,off,7.001,1,friendly,7000,1981.4655744255745,120939.06093906095
off,off,8.001,1,friendly,8000,1995.767808,121812.0
off,off,9.001,1,friendly,9001,1999.50336,122040.0
off,off,10.0,1,friendly,10000,1999.012004004004,122010.01001001001
off,off,11.0,1,friendly,11000,1996.55424,121860.0
off,off,12.001,1,friendly,12000,2004.4457302697306,122341.65834165836
off,off,13.0,1,friendly,13000,1999.5368168168168,122042.04204204204
off,off,14.0,1,friendly,14000,2000.4864,122100.0
off,off,15.0,1,friendly,15000,1996.685312,121868.0
off,off,16.001,1,friendly,16000,228.0993246753247,13922.077922077924
off,off,17.001,1,friendly,17000,228.196352,13928.0
off,off,18.0,1,friendly,18000,228.16237037037035,13925.925925925925
off,off,19.0,1,friendly,19000,228.589568,13952.0
off,off,20.0,1,friendly,20000,228.39296,13940.0
off,off,21.0,1,friendly,21000,228.458496,13944.0
off,off,22.006,1,friendly,22006,228.46396819085487,13944.333996023857
off,off,23.0,1,friendly,23000,228.32109456740443,13935.613682092555
off,off,24.0,1,friendly,24000,228.196352,13928.0
off,off,25.001,1,friendly,25000,228.3612067932068,13938.06193806194
off,off,26.001,1,friendly,26000,228.589568,13952.0
off,off,27.0,1,friendly,27000,228.7527847847848,13961.961961961963
off,off,28.0,1,friendly,28000,228.39296,13940.0
off,off,29.0,1,friendly,29000,228.524032,13948.0
off,off,30.0,1,friendly,30000,228.589568,13952.0
off,off,31.001,1,friendly,31000,227.18273726273728,13866.133866133867
off,off,32.001,1,friendly,32001,227.999744,13916.0
off,off,33.0,1,friendly,33000,228.42477677677678,13941.941941941943
off,off,34.0,1,friendly,34000,228.39296,13940.0
off,off,35.0,1,friendly,35000,228.130816,13924.0
off,off,36.001,1,friendly,36000,228.0993246753247,13922.077922077924
off,off,37.001,1,friendly,37001,228.655104,13956.0
off,off,38.0,1,friendly,38000,228.03116716716715,13917.917917917917
off,off,39.0,1,friendly,39000,228.39296,13940.0
off,off,40.0,1,friendly,40000,228.524032,13948.0
off,off,41.001,1,friendly,41000,228.0993246753247,13922.077922077924
off,off,42.0,1,friendly,42000,228.55597997997998,13949.94994994995
off,off,43.006,1,friendly,43005,228.33367793240555,13936.38170974155
off,off,44.001,1,friendly,44000,228.35508743718594,13937.688442211056
off,off,45.001,1,friendly,45000,228.786176,13964.0
off,off,46.001,1,friendly,46000,1802.371072,110008.0
off,off,47.001,1,friendly,47001,1979.580416,120824.0
off,off,48.0,1,friendly,48000,1980.0531411411412,120852.85285285285
off,off,49.0,1,friendly,49000,1982.595072,121008.0
off,off,50.0,1,friendly,50000,1974.075392,120488.0
off,off,51.0,1,friendly,51000,1978.400768,120752.0
off,off,52.0,1,friendly,52000,1980.104704,120856.0
off,off,53.0,1,friendly,53000,1978.990592,120788.0
off,off,54.0,1,friendly,54000,1980.432384,120876.0
off,off,55.0,1,friendly,55000,1980.563456,120884.0
off,off,56.001,1,friendly,56000,1978.7158121878124,120771.22877122878
off,off,57.001,1,friendly,57000,1979.580416,120824.0
off,off,58.001,1,friendly,58000,1978.728448,120772.0
off,off,59.0,1,friendly,59000,1981.1027667667668,120916.91691691692
off,off,60.0,1,friendly,60000,1976.500224,120636.0
off,off,60.001,2,unfriendly,0,2031.616,124000.0
off,off,61.004,2,unfriendly,1002,539.7082352941177,4117.64705882353
off,off,62.002,2,unfriendly,2000,566.8404328657315,4324.6492985971945
off,off,63.002,2,unfriendly,3000,561.250304,4282.0
off,off,64.002,2,unfriendly,4000,563.085312,4296.0
off,off,65.001,2,unfriendly,5000,564.6985865865865,4308.308308308308
off,off,66.001,2,unfriendly,6000,564.133888,4304.0
off,off,67.002,2,unfriendly,7000,561.7371428571429,4285.714285714286
off,off,68.002,2,unfriendly,8000,564.658176,4308.0
off,off,69.002,2,unfriendly,9000,565.706752,4316.0
off,off,70.002,2,unfriendly,10000,563.6096,4300.0
off,off,71.002,2,unfriendly,11001,562.29888,4290.0
