bucket_start_s,bucket_end_s,off_mops,on_mops,miracle_mops,delay20_mops,off_mb_s,on_mb_s,miracle_mb_s,delay20_mb_s
0,10,549.3751808,379.2961536,273.4948352,388.57605120000005,4395.0014464,3034.3692288,2187.9586816,3108.6084096000004
10,20,563.0066687999999,487.84998400000006,267.3606656,421.42269440000007,4504.0533503999995,3902.7998720000005,2138.8853248,3371.3815552000005
20,30,562.5085952,349.2282368,267.21211733333325,245.99592960000004,4500.0687616,2793.8258944,2137.696938666666,1967.9674368000003
30,40,562.4736426666666,447.9516672,267.31538618181816,230.11000320000002,4499.789141333333,3583.6133376,2138.5230894545452,1840.8800256000002
40,50,563.0138181818182,386.7672576,267.28202239999996,230.16243200000002,4504.110545454546,3094.1380608,2138.2561791999997,1841.2994560000002
50,60,562.4299519999998,216.5571584,268.05680355555546,230.1886464,4499.439615999999,1732.4572672,2144.4544284444437,1841.5091712
60,70,563.2425983999999,230.5818624,267.0294109090909,230.57021155555555,4505.940787199999,1844.6548992,2136.2352872727274,1844.5616924444444
70,80,563.4260992,322.043904,267.2033791999999,230.3054196363636,4507.4087936,2576.351232,2137.6270335999993,1842.4433570909089
80,90,562.561024,329.17422080000006,266.73152,230.19155911111113,4500.488192,2633.3937664000005,2133.85216,1841.532472888889
90,100,563.5047424,308.75320320000003,266.94997333333333,230.56756363636362,4508.0379392,2470.0256256000002,2135.5997866666667,1844.540509090909
100,110,563.3736704,265.551872,266.6957730909091,231.1323648,4506.9893632,2124.414976,2133.5661847272727,1849.0589184
110,120,563.5571711999999,411.2252928000001,266.78394879999996,231.1323648,4508.457369599999,3289.8023424000007,2134.2715903999997,1849.0589184
120,130,563.6882432,343.06785279999997,266.7752106666667,231.57800960000003,4509.5059456,2744.5428223999997,2134.2016853333334,1852.6240768000002
130,140,564.527104,366.3986688,266.98174836363637,231.2634368,4516.216832,2931.1893504,2135.853986909091,1850.1074944
140,150,562.6658816,304.7948288,266.8363776,231.78772479999998,4501.3270528,2438.3586304,2134.6910208,1854.3017983999998
150,160,563.4260992000002,390.856704,267.255808,231.42072319999997,4507.408793600001,3126.853632,2138.046464,1851.3657855999998
160,170,564.1863168,371.24356654545454,266.862592,231.0275072,4513.4905344,2969.9485323636363,2134.900736,1848.2200576
170,180,564.3173887999999,335.937536,267.17716479999996,231.55179519999996,4514.539110399999,2687.500288,2137.4173183999997,1852.4143615999997
180,190,564.3173888,271.056896,266.469376,231.211008,4514.5391104,2168.455168,2131.755008,1849.688064
190,200,564.1863168,369.55154618181814,266.6790912,230.87022079999997,4513.4905344,2956.412369454545,2133.4327296,1846.9617663999998
