placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,hint_faults,pte_updates_pages,pte_updates_gib,promote_pages,promote_gib,demote_direct_pages,demote_direct_gib
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,000-010,49,11268,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,010-020,11268,21325,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,020-030,21325,31386,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,030-040,31386,41438,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,040-050,41438,51492,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,050-060,51492,61546,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,060-070,61546,71597,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,070-080,71597,81650,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,080-090,81650,91706,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,090-100,91706,101756,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,100-110,101756,111812,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,110-120,111812,121865,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,120-130,121865,131920,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,130-140,131920,141970,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,140-150,141970,152023,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,150-160,152023,162081,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,160-170,162081,172131,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,170-180,172131,182189,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,180-190,182189,192242,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,190-200,192242,202300,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,000-010,53,10102,8831617,8388621,32.000050,4430042,16.899269,328456,1.252960
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,010-020,10102,20149,1123780,1052967,4.016750,708255,2.701778,688036,2.624649
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,020-030,20149,30241,3182666,3581213,13.661243,562222,2.144707,517965,1.975880
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,030-040,30241,40287,454782,5,0.000019,5,0.000019,218715,0.834332
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,040-050,40287,50342,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,050-060,50342,60396,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,060-070,60396,70444,2,2,0.000008,2,0.000008,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,070-080,70444,80493,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,080-090,80493,90542,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,090-100,90542,100589,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,100-110,100589,110636,171201,155642,0.593727,155641,0.593723,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,110-120,110636,120686,455667,428997,1.636494,266645,1.017170,216690,0.826607
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,120-130,120686,130725,1094340,1072120,4.089813,222218,0.847694,252636,0.963730
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,130-140,130725,140802,2029394,2798068,10.673782,315886,1.205009,244246,0.931725
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,140-150,140802,150849,803347,63,0.000240,30225,0.115299,148850,0.567818
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,150-160,150849,160889,2,2,0.000008,2,0.000008,35196,0.134262
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,160-170,160889,170933,0,0,0.000000,0,0.000000,32181,0.122761
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,170-180,170933,180978,0,0,0.000000,0,0.000000,27760,0.105896
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,180-190,180978,191023,1,1,0.000004,1,0.000004,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,190-200,191023,201071,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,000-010,48,10113,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,010-020,10113,20160,0,0,0.000000,0,0.000000,0,0.000000
