placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,ops_delta,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,000-010,0,10000,651165696,65.1165696
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,010-020,10000,20000,649592832,64.9592832
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,020-030,20000,30000,651427840,65.142784
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,030-040,30000,40000,650641408,65.0641408
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,040-050,40000,50000,650379264,65.0379264
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,050-060,50000,60000,650641408,65.0641408
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,060-070,60000,70000,650641408,65.0641408
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,070-080,70000,80000,651427840,65.142784
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,080-090,80000,90001,650641408,65.05763503649635
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,090-100,90001,100001,650903552,65.0903552
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,100-110,100001,110000,650641408,65.07064786478648
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,110-120,110000,120000,649330688,64.9330688
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,120-130,120000,130000,650641408,65.0641408
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,130-140,130000,140000,650903552,65.0903552
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,140-150,140000,150000,649854976,64.9854976
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,150-160,150000,160000,649068544,64.9068544
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,160-170,160000,170000,650379264,65.0379264
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,170-180,170000,180000,648544256,64.8544256
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,180-190,180000,190000,650117120,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,190-200,190000,200000,648544256,64.8544256
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,000-010,0,10000,2899836928,289.98369280000003
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,010-020,10000,20000,2253914112,225.3914112
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,020-030,20000,30000,1985216512,198.52165119999998
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,030-040,30000,40000,1993867264,199.38672640000001
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,040-050,40000,50000,1974206464,197.4206464
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,050-060,50000,60000,1989410816,198.9410816
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,060-070,60000,70000,1976303616,197.6303616
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,070-080,70000,80000,1974468608,197.44686080000002
