placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,hint_faults,pte_updates_pages,pte_updates_gib,promote_pages,promote_gib,demote_direct_pages,demote_direct_gib
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,000-010,50,10119,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,010-020,10119,20174,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,020-030,20174,30229,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,030-040,30229,40277,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,040-050,40277,50330,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,050-060,50330,60378,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,060-070,60378,70430,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,070-080,70430,80492,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,080-090,80492,90545,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,090-100,90545,100593,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,100-110,100593,110640,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,110-120,110640,120692,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,120-130,120692,130749,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,130-140,130749,140799,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,140-150,140799,150848,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,150-160,150848,160901,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,160-170,160901,170952,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,170-180,170952,181006,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,180-190,181006,191060,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,190-200,191060,201116,0,0,0.000000,0,0.000000,0,0.000000
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,000-010,47,10108,6174242,6486016,24.742188,4351686,16.600365,170935,0.652065
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,010-020,10108,20230,3342362,2792535,10.652676,822611,3.138012,809189,3.086811
