placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,ops_delta,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,000-010,0,10000,651165696,65.1165696
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,010-020,10000,20000,650379264,65.0379264
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,020-030,20000,30000,648544256,64.8544256
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,030-040,30000,40000,649854976,64.9854976
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,040-050,40000,50000,649330688,64.9330688
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,050-060,50000,60000,649854976,64.9854976
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,060-070,60000,70000,649592832,64.9592832
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,070-080,70000,80000,650117120,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,080-090,80000,90000,649330688,64.9330688
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,090-100,90000,100000,649592832,64.9592832
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,100-110,100000,110000,649068544,64.9068544
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,110-120,110000,120000,651165696,65.1165696
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,120-130,120000,130000,650379264,65.0379264
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,130-140,130000,140000,651165696,65.1165696
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,140-150,140000,150000,650903552,65.0903552
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,150-160,150000,160000,650903552,65.0903552
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,160-170,160000,170000,651427840,65.142784
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,170-180,170000,180001,650903552,65.08384681531847
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,180-190,180001,190000,649854976,64.99199679967997
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,190-200,190000,200001,650379264,65.03142325767423
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,000-010,0,10000,2962227200,296.22272
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,010-020,10000,20000,2434793472,243.47934719999998
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,020-030,20000,30000,2834563072,283.45630719999997
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,030-040,30000,40000,2798387200,279.83872
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,040-050,40000,50000,3012820992,301.2820992
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,050-060,50000,60000,2474639360,247.463936
