placement,placement_label,candidate,policy,time_s,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,1.001,64.94676523476524
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,2.001,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,3.001,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,4.0,64.81438238238239
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,5.001,64.423000999001
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,6.0,64.55197597597598
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,7.0,66.322432
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,8.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,9.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,10.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,11.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,12.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,13.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,14.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,15.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,16.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,17.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,18.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,19.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,20.0,66.584576
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,21.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,22.0,63.700992
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,23.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,24.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,25.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,26.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,27.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,28.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,29.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,30.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,31.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,32.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,33.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,34.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,35.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,36.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,37.0,63.700992
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,38.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,39.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,40.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,41.0,63.963136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,42.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,43.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,44.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,45.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,46.001,64.94676523476524
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,47.0,65.07678878878879
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,48.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,49.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,50.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,51.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,52.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,53.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,54.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,55.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,56.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,57.002,65.14356886227546
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,58.0,64.61665731462925
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,59.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,60.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,61.002,64.88194810379241
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,62.0,64.61665731462925
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,63.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,64.0,63.963136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,65.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,66.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,67.0,63.963136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,68.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,69.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,70.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,71.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,72.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,73.002,64.62032734530938
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,74.0,65.40466533066132
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,75.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,76.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,77.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,78.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,79.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,80.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,81.0,63.700992
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,82.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,83.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,84.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,85.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,86.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,87.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,88.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,89.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,90.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,91.0,64.749568
