policy,window_start_s,window_end_s,phase_id,phase_name,sample_start_ms,sample_end_ms,stop_effective_start,stop_effective_end,running_start,running_end,earlystop_current_start,earlystop_current_end,earlystop_cnt_start,earlystop_cnt_end,restart_cnt_start,restart_cnt_end,hint_faults_delta,pte_updates_delta,promoted_pages_delta,demoted_pages_delta,demote_promoted_delta,promote_candidate_demoted_delta
off,0,10,1,fixed8g-hotset-remote,50,10446,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,10,20,1,fixed8g-hotset-remote,10446,19756,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,20,30,1,fixed8g-hotset-remote,19756,30124,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,30,40,1,fixed8g-hotset-remote,30124,40474,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,40,50,1,fixed8g-hotset-remote,40474,49790,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,50,60,1,fixed8g-hotset-remote,49790,60156,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,60,70,2,stream-read-32g-split16-4k,60156,70384,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,70,80,2,stream-read-32g-split16-4k,70384,79584,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,80,90,2,stream-read-32g-split16-4k,79584,89800,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,90,100,2,stream-read-32g-split16-4k,89800,100024,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,100,110,2,stream-read-32g-split16-4k,100024,110242,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
off,110,120,2,stream-read-32g-split16-4k,110242,120473,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
on,0,10,1,fixed8g-hotset-remote,61,10486,1,1,1,1,0,0,0,0,0,0,2163362,6000392,662088,595456,0,1
on,10,20,1,fixed8g-hotset-remote,10486,19763,1,1,1,1,0,0,0,0,0,0,0,5767168,0,91200,0,0
on,20,30,1,fixed8g-hotset-remote,19763,30112,1,1,1,1,0,58,0,0,0,0,1192290,3112201,846769,457918,58,5
on,30,40,1,fixed8g-hotset-remote,30112,40328,1,1,1,1,58,58,0,0,0,0,346872,937855,194075,500928,0,0
on,40,50,1,fixed8g-hotset-remote,40328,49545,1,1,1,1,58,58,0,0,0,0,433714,606449,394284,313793,0,58
on,50,60,1,fixed8g-hotset-remote,49545,59793,1,1,1,1,58,58,0,0,0,0,0,0,0,0,0,0
on,60,70,2,stream-read-32g-split16-4k,59793,70142,1,1,1,1,58,58,0,0,0,0,8464215,4295008,758048,603688,0,422635
on,70,80,2,stream-read-32g-split16-4k,70142,79578,1,1,1,1,58,38349,0,0,0,0,2389040,2802165,542125,468142,38291,542129
on,80,90,2,stream-read-32g-split16-4k,79578,89920,1,1,1,1,38349,301182,0,1,0,0,2309405,1852760,236022,262833,262833,47758
on,90,100,2,stream-read-32g-split16-4k,89920,100328,1,1,1,1,301182,521467,1,0,0,0,1625722,1945536,296958,270135,220285,296946
on,100,110,2,stream-read-32g-split16-4k,100328,109653,1,1,1,1,521467,828112,0,2,0,0,2057311,2027173,306526,306584,306645,244448
on,110,120,2,stream-read-32g-split16-4k,109653,119905,1,1,1,1,828112,983361,2,0,0,0,607838,198661,93400,155456,155249,7793
adaptive_cgroup,0,10,1,fixed8g-hotset-remote,60,10419,1,1,1,1,0,0,0,0,0,0,2163442,5934860,662831,589120,0,1
adaptive_cgroup,10,20,1,fixed8g-hotset-remote,10419,19699,1,1,1,1,0,0,0,0,0,0,0,5767168,0,97664,0,0
adaptive_cgroup,20,30,1,fixed8g-hotset-remote,19699,30008,1,1,1,1,0,0,0,0,0,0,1155221,3132519,807647,418753,0,5
adaptive_cgroup,30,40,1,fixed8g-hotset-remote,30008,40268,1,1,1,1,0,0,0,0,0,0,384626,1114355,247561,540864,0,0
adaptive_cgroup,40,50,1,fixed8g-hotset-remote,40268,50505,1,1,1,1,0,0,0,0,0,0,417029,460213,379119,314496,0,0
adaptive_cgroup,50,60,1,fixed8g-hotset-remote,50505,59723,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
adaptive_cgroup,60,70,2,stream-read-32g-split16-4k,59723,69942,1,0,1,1,0,0,0,0,0,0,1574383,81362,0,0,0,0
adaptive_cgroup,70,80,2,stream-read-32g-split16-4k,69942,80173,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
adaptive_cgroup,80,90,2,stream-read-32g-split16-4k,80173,90390,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
adaptive_cgroup,90,100,2,stream-read-32g-split16-4k,90390,99598,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
adaptive_cgroup,100,110,2,stream-read-32g-split16-4k,99598,109825,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
adaptive_cgroup,110,120,2,stream-read-32g-split16-4k,109825,120048,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
