policy,sample_basis,sample,elapsed_ms,phase_id,phase_rel_ms,stop_effective,running,current_demote_promoted,delta_current,slope_est,abs_slope_est,threshold_est,slope_below_threshold,earlystop_cnt,hint_delta,pte_delta,promote_delta,demote_delta
on,1s_live,0,61,1,61,1,1,0,0,,,10000,,0,0,0,0,0
on,1s_live,1,1106,1,1106,1,1,0,0,,,10000,,0,2,239240,1,0
on,1s_live,2,2137,1,2137,1,1,0,0,0,0,10000,1,0,168466,649344,153141,0
on,1s_live,3,3190,1,3190,1,1,0,0,0,0,10000,1,0,435264,655360,274703,64640
on,1s_live,4,4253,1,4253,1,1,0,0,0,0,10000,1,0,655138,589824,112706,112832
on,1s_live,5,5314,1,5314,1,1,0,0,0,0,10000,1,0,576790,655360,96375,96704
on,1s_live,6,6349,1,6349,1,1,0,0,0,0,10000,1,0,327702,655360,25162,83776
on,1s_live,7,7386,1,7386,1,1,0,0,0,0,10000,1,0,0,655360,0,64000
on,1s_live,8,8418,1,8418,1,1,0,0,0,0,10000,1,0,0,589824,0,33408
on,1s_live,9,9456,1,9456,1,1,0,0,0,0,10000,1,0,0,655360,0,70592
on,1s_live,10,10486,1,10486,1,1,0,0,0,0,10000,1,0,0,655360,0,69504
on,1s_live,11,11514,1,11514,1,1,0,0,0,0,10000,1,0,0,589824,0,71040
on,1s_live,12,12546,1,12546,1,1,0,0,0,0,10000,1,0,0,655360,0,20160
on,1s_live,13,13576,1,13576,1,1,0,0,0,0,10000,1,0,0,655360,0,0
on,1s_live,14,14607,1,14607,1,1,0,0,0,0,10000,1,0,0,655360,0,0
on,1s_live,15,15637,1,15637,1,1,0,0,0,0,10000,1,0,0,589824,0,0
on,1s_live,16,16668,1,16668,1,1,0,0,0,0,10000,1,0,0,655360,0,0
on,1s_live,17,17698,1,17698,1,1,0,0,0,0,10000,1,0,0,655360,0,0
on,1s_live,18,18731,1,18731,1,1,0,0,0,0,10000,1,0,0,655360,0,0
on,1s_live,19,19763,1,19763,1,1,0,0,0,0,10000,1,0,0,655360,0,0
on,1s_live,20,20795,1,20795,1,1,0,0,0,0,10000,1,0,0,589824,0,0
on,1s_live,21,21826,1,21826,1,1,0,0,0,0,10000,1,0,4,591889,2,0
on,1s_live,22,22868,1,22868,1,1,0,0,0,0,10000,1,0,3,283009,3,0
on,1s_live,23,23905,1,23905,1,1,0,0,0,0,10000,1,0,0,135487,0,0
on,1s_live,24,24931,1,24931,1,1,0,0,0,0,10000,1,0,43109,312698,39188,0
on,1s_live,25,25958,1,25958,1,1,0,0,0,0,10000,1,0,148466,180132,134964,0
on,1s_live,26,26980,1,26980,1,1,0,0,0,0,10000,1,0,240298,219494,218456,5824
on,1s_live,27,28025,1,28025,1,1,0,0,0,0,10000,1,0,148936,279032,123522,121536
