basis,event_elapsed_ms,event_phase_rel_ms,cnt_change,nearest_sample_ms,current,delta_current,slope_est,abs_slope_est,threshold_est,below_threshold,cnt_at_sample
1s_live,88894,28894,0->1,88894,301182,0,-12896,12896,10000,0,1
2s_downsample_est,88894,28894,0->1,88894,301182,40172,-11490,11490,10000,0,1
1s_live,92010,32010,1->2,92010,359451,44458,22229,22229,10000,0,2
2s_downsample_est,92010,32010,1->2,93037,394360,79367,19597,19597,10000,0,2
1s_live,94059,34059,2->1,94059,418215,23855,-10302,10302,10000,0,1
2s_downsample_est,94059,34059,2->1,95079,485644,91284,38736,38736,10000,0,1
1s_live,100328,40328,1->0,100328,521467,3796,1898,1898,10000,1,0
2s_downsample_est,100328,40328,1->0,101354,580493,62822,15543,15543,10000,0,0
1s_live,106542,46542,0->1,106542,732990,51078,23496,23496,10000,0,1
2s_downsample_est,106542,46542,0->1,105513,681912,35048,-13887,13887,10000,0,0
1s_live,108606,48606,1->2,108606,808400,45266,-2906,2906,10000,1,2
2s_downsample_est,108606,48606,1->2,107580,763134,81222,7425,7425,10000,1,1
1s_live,110683,50683,2->1,110683,921383,93271,24002,24002,10000,0,1
2s_downsample_est,110683,50683,2->1,111707,921383,93271,6024,6024,10000,1,1
1s_live,116835,56835,1->0,116835,982961,0,0,0,10000,1,0
2s_downsample_est,116835,56835,1->0,115815,982961,8,-46632,46632,10000,0,1
