policy,sample,elapsed_ms,phase_id,phase_name,phase_rel_ms,stop_effective,running,earlystop_current_demote_promoted,earlystop_cnt,restart_cnt,hint_faults,pte_updates,promoted_pages,demoted_pages,demote_promoted_pages,promote_candidate_demoted_pages,delta_hint_faults,delta_pte_updates,delta_promoted_pages,delta_demoted_pages,delta_demote_promoted_pages,delta_promote_candidate_demoted_pages,anon_n0_gib,anon_n1_gib
off,0,50,1,fixed8g-hotset-remote,50,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,1,1088,1,fixed8g-hotset-remote,1088,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,2,2132,1,fixed8g-hotset-remote,2132,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,3,3175,1,fixed8g-hotset-remote,3175,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,4,4219,1,fixed8g-hotset-remote,4219,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,5,5264,1,fixed8g-hotset-remote,5264,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,6,6304,1,fixed8g-hotset-remote,6304,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,7,7342,1,fixed8g-hotset-remote,7342,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,8,8378,1,fixed8g-hotset-remote,8378,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,9,9410,1,fixed8g-hotset-remote,9410,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,10,10446,1,fixed8g-hotset-remote,10446,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,11,11482,1,fixed8g-hotset-remote,11482,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,12,12515,1,fixed8g-hotset-remote,12515,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,13,13547,1,fixed8g-hotset-remote,13547,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,14,14579,1,fixed8g-hotset-remote,14579,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,15,15611,1,fixed8g-hotset-remote,15611,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,16,16647,1,fixed8g-hotset-remote,16647,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,17,17687,1,fixed8g-hotset-remote,17687,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,18,18724,1,fixed8g-hotset-remote,18724,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,19,19756,1,fixed8g-hotset-remote,19756,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,20,20794,1,fixed8g-hotset-remote,20794,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,21,21833,1,fixed8g-hotset-remote,21833,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,22,22867,1,fixed8g-hotset-remote,22867,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,23,23904,1,fixed8g-hotset-remote,23904,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,24,24943,1,fixed8g-hotset-remote,24943,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,25,25978,1,fixed8g-hotset-remote,25978,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,26,27015,1,fixed8g-hotset-remote,27015,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,27,28051,1,fixed8g-hotset-remote,28051,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,28,29090,1,fixed8g-hotset-remote,29090,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,29,30124,1,fixed8g-hotset-remote,30124,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,30,31156,1,fixed8g-hotset-remote,31156,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,31,32191,1,fixed8g-hotset-remote,32191,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,32,33226,1,fixed8g-hotset-remote,33226,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,33,34262,1,fixed8g-hotset-remote,34262,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,34,35298,1,fixed8g-hotset-remote,35298,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,35,36334,1,fixed8g-hotset-remote,36334,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,36,37372,1,fixed8g-hotset-remote,37372,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,37,38409,1,fixed8g-hotset-remote,38409,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,38,39441,1,fixed8g-hotset-remote,39441,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,39,40474,1,fixed8g-hotset-remote,40474,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,40,41507,1,fixed8g-hotset-remote,41507,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,41,42544,1,fixed8g-hotset-remote,42544,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,42,43578,1,fixed8g-hotset-remote,43578,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,43,44615,1,fixed8g-hotset-remote,44615,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,44,45647,1,fixed8g-hotset-remote,45647,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,45,46684,1,fixed8g-hotset-remote,46684,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,46,47721,1,fixed8g-hotset-remote,47721,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,47,48752,1,fixed8g-hotset-remote,48752,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,48,49790,1,fixed8g-hotset-remote,49790,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,49,50827,1,fixed8g-hotset-remote,50827,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,50,51866,1,fixed8g-hotset-remote,51866,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,51,52909,1,fixed8g-hotset-remote,52909,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,52,53946,1,fixed8g-hotset-remote,53946,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,53,54979,1,fixed8g-hotset-remote,54979,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,54,56016,1,fixed8g-hotset-remote,56016,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,55,57048,1,fixed8g-hotset-remote,57048,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,56,58085,1,fixed8g-hotset-remote,58085,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,57,59130,1,fixed8g-hotset-remote,59130,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,58,60156,2,stream-read-32g-split16-4k,156,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,59,61174,2,stream-read-32g-split16-4k,1174,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,60,62201,2,stream-read-32g-split16-4k,2201,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,61,63224,2,stream-read-32g-split16-4k,3224,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,62,64253,2,stream-read-32g-split16-4k,4253,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,63,65276,2,stream-read-32g-split16-4k,5276,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,64,66300,2,stream-read-32g-split16-4k,6300,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,65,67321,2,stream-read-32g-split16-4k,7321,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,66,68340,2,stream-read-32g-split16-4k,8340,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,67,69364,2,stream-read-32g-split16-4k,9364,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,68,70384,2,stream-read-32g-split16-4k,10384,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,69,71409,2,stream-read-32g-split16-4k,11409,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,70,72431,2,stream-read-32g-split16-4k,12431,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,71,73456,2,stream-read-32g-split16-4k,13456,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,72,74479,2,stream-read-32g-split16-4k,14479,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,73,75501,2,stream-read-32g-split16-4k,15501,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,74,76524,2,stream-read-32g-split16-4k,16524,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,75,77543,2,stream-read-32g-split16-4k,17543,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,76,78563,2,stream-read-32g-split16-4k,18563,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,77,79584,2,stream-read-32g-split16-4k,19584,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,78,80603,2,stream-read-32g-split16-4k,20603,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,79,81624,2,stream-read-32g-split16-4k,21624,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,80,82643,2,stream-read-32g-split16-4k,22643,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,81,83668,2,stream-read-32g-split16-4k,23668,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,82,84686,2,stream-read-32g-split16-4k,24686,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,83,85712,2,stream-read-32g-split16-4k,25712,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,84,86731,2,stream-read-32g-split16-4k,26731,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,85,87753,2,stream-read-32g-split16-4k,27753,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,86,88776,2,stream-read-32g-split16-4k,28776,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,87,89800,2,stream-read-32g-split16-4k,29800,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,88,90825,2,stream-read-32g-split16-4k,30825,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,89,91844,2,stream-read-32g-split16-4k,31844,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,90,92867,2,stream-read-32g-split16-4k,32867,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,91,93889,2,stream-read-32g-split16-4k,33889,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,92,94908,2,stream-read-32g-split16-4k,34908,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
off,93,95936,2,stream-read-32g-split16-4k,35936,0,1,0,0,0,0,0,0,366409,0,0,0,0,0,0,0,0,14.60,49.40
