elapsed_s,local_pte_delta,local_hit_delta,local_refault_delta,local_lost_delta,local_util_pct,promote_delta,demote_delta,hint_fault_delta,pte_update_delta
0.1,0,0,0,0,0.00,0,0,0,0
5.1,314667,314667,314667,0,100.00,127625,0,553927,541188
10.1,105729,105729,105729,0,100.00,499126,260483,1823480,2483310
15.2,940,940,940,0,100.00,430841,431960,2790956,2337174
20.2,469,469,469,0,100.00,370252,379597,936847,1087063
25.2,202,202,202,0,100.00,364807,354342,1782990,1795311
30.2,52,52,52,0,100.00,273760,342715,1478337,1083286
35.3,14,14,14,0,100.00,322850,253896,354083,450948
40.3,0,0,0,0,0.00,210929,210928,659190,748275
45.4,0,0,0,0,0.00,220954,236361,558125,451416
50.4,0,0,0,0,0.00,225333,218439,480785,617301
55.5,37,37,37,0,100.00,262452,261088,730155,792560
60.5,2,2,2,0,100.00,247654,245919,716693,648420
65.6,0,0,0,0,0.00,274431,280590,684054,556210
70.6,1,1,1,0,100.00,96703,124379,275759,193661
75.6,3,3,3,0,100.00,59776,29871,59789,61974
80.7,0,0,0,0,0.00,199369,202994,321462,401463
85.7,0,0,0,0,0.00,200068,207131,382370,318887
90.7,0,0,0,0,0.00,164052,144021,344298,398626
95.8,2,2,2,0,100.00,150557,165724,299064,248607
100.8,0,0,0,0,0.00,219622,219005,321926,351921
105.8,51,51,51,0,100.00,226119,212216,369562,499316
110.9,0,0,0,0,0.00,195939,207168,540303,506760
115.9,0,0,0,0,0.00,197190,186146,351415,402926
121.0,0,0,0,0,0.00,242071,252168,608320,516570
126.0,1,1,1,0,100.00,196054,191260,453931,449793
131.0,5,5,5,0,100.00,115497,151066,240846,136380
136.0,0,0,0,0,0.00,4,17892,4,4
141.1,0,0,0,0,0.00,7,41911,7,7
146.1,0,0,0,0,0.00,6,17022,6,6
151.1,0,0,0,0,0.00,13767,17940,13767,16731
156.1,0,0,0,0,0.00,85701,19295,85702,104738
161.1,0,0,0,0,0.00,162893,106614,235593,300211
166.2,0,0,0,0,0.00,204348,205015,320405,287019
171.2,0,0,0,0,0.00,191836,191169,326046,368312
176.2,0,0,0,0,0.00,166993,166993,298924,244841
181.2,0,0,0,0,0.00,176913,196440,305169,341414
186.3,0,0,0,0,0.00,191176,184010,422505,424307
191.3,0,0,0,0,0.00,161056,148695,384900,384102
196.3,0,0,0,0,0.00,162375,188645,486811,483712
201.3,0,0,0,0,0.00,211012,184742,394504,478014
206.4,0,0,0,0,0.00,132368,181867,281215,273750
