elapsed_s,window,pte_delta,hit_delta,refault_delta,lost_delta,util_pct,consecutive,node_balancing,event
10.1,1,420343,420383,420385,0,100.00,1,2,sample
20.2,2,1459,1419,1417,0,97.25,2,2,sample
30.2,3,257,257,257,0,100.00,0,2,sample
40.3,4,14,14,14,0,100.00,0,2,sample
50.4,5,0,0,0,0,0.00,0,2,sample
60.5,6,39,39,39,0,100.00,0,2,sample
70.6,7,1,1,1,0,100.00,0,2,sample
80.6,8,3,3,3,0,100.00,0,2,sample
90.7,9,0,0,0,0,0.00,0,2,sample
100.7,10,2,2,2,0,100.00,0,2,sample
110.8,11,51,51,51,0,100.00,0,2,sample
120.9,12,0,0,0,0,0.00,0,2,sample
130.9,13,6,6,6,0,100.00,0,2,sample
141.0,14,0,0,0,0,0.00,0,2,sample
151.0,15,0,0,0,0,0.00,0,2,sample
161.0,16,0,0,0,0,0.00,0,2,sample
171.1,17,0,0,0,0,0.00,0,2,sample
181.2,18,0,0,0,0,0.00,0,2,sample
191.2,19,0,0,0,0,0.00,0,2,sample
201.3,20,0,0,0,0,0.00,0,2,sample
