elapsed_s,local_pte_delta,local_refault_delta,local_hit_delta,local_lost_delta,access_pct,fast_pct,promote_delta,demote_delta,hint_fault_delta,pte_update_delta,local_fault_on_tiering
0.0,0,0,0,0,0.00,0.00,0,0,0,0,10
5.1,314965,314965,314965,0,100.00,100.00,124405,0,554217,541788,10
11.0,105882,105882,105882,0,100.00,100.00,463079,226072,1785006,2488849,10
16.0,790,790,790,0,100.00,100.00,419307,425042,2823224,2294629,10
21.1,184,184,184,0,100.00,100.00,383495,382990,991202,1184441,10
26.1,205,205,205,0,100.00,100.00,362236,352470,1742105,1709532,10
31.2,20,20,20,0,100.00,100.00,271118,346108,1486003,1123309,10
36.2,57,57,57,0,100.00,100.00,293248,223047,300447,487258,10
41.2,3,3,3,0,100.00,100.00,181967,179729,626129,575663,10
46.2,9,9,9,0,100.00,100.00,196121,203821,554426,488836,10
51.3,19,19,19,0,100.00,100.00,178867,180424,474888,572545,10
56.3,10,10,10,0,100.00,100.00,248283,237172,764988,748314,10
61.3,1,1,1,0,100.00,100.00,233912,232896,709514,669729,10
66.4,31,31,31,0,100.00,100.00,232538,241702,596175,613112,10
71.4,1,1,1,0,100.00,100.00,115352,192001,388839,259819,10
76.4,3,3,3,0,100.00,100.00,1,28505,4,4,10
81.4,0,0,0,0,0.00,0.00,4,46826,4,4,10
86.5,32320,32320,32320,0,100.00,100.00,56391,36986,88711,83253,10
91.5,82230,80553,80553,1009,97.96,97.96,200641,77102,281192,272829,10
96.5,53476,38896,38896,9675,72.74,72.74,184006,165810,373483,481441,10
101.5,44137,42436,42436,1001,96.15,96.15,167968,186625,458358,400877,10
106.5,51851,47498,47498,7766,91.60,91.60,223503,211924,369453,324603,10
111.6,45626,39675,39675,182,86.96,86.96,194925,187848,301618,319436,10
116.6,27600,28816,28388,6381,104.41,102.86,197211,210175,425529,458572,10
121.6,19831,19953,19953,0,100.62,100.62,184329,182568,418465,485514,10
126.7,23259,19719,19719,0,84.78,84.78,234760,223557,527011,514287,10
131.7,30388,27388,27280,6594,90.13,89.77,199306,208967,463874,436572,10
136.7,19663,17122,16268,641,87.08,82.73,196897,189380,464469,484013,10
141.7,29720,27214,27214,3109,91.57,91.57,226307,224163,529322,500713,10
146.7,1205,3188,3188,170,264.56,264.56,18838,72461,157649,67590,10
151.8,2,2,2,0,100.00,100.00,8,10725,10,7,10
156.8,1,1,1,0,100.00,100.00,5,9413,6,6,10
161.8,1,1,1,0,100.00,100.00,4,2638,5,5,10
166.8,39017,39017,39017,0,100.00,100.00,14629,7441,53646,52284,10
171.8,64373,59452,59452,32,92.36,92.36,44386,6020,103824,108545,10
176.9,34589,33256,33256,313,96.15,96.15,164854,135049,259182,368552,10
181.9,47216,39056,39056,6993,82.72,82.72,185997,184974,401319,343184,10
187.0,32759,32338,32338,1093,98.71,98.71,165484,165483,284760,321500,10
192.0,42394,31480,31480,2399,74.26,74.26,183752,188041,315969,292224,10
197.0,50263,51780,51780,10746,103.02,103.02,211255,210846,329151,303010,10
202.0,26477,23851,23851,3563,90.08,90.08,170488,166609,425964,521157,10
207.0,20527,16144,16144,3846,78.65,78.65,193215,211659,452294,442967,10
212.1,20608,22822,22822,42,110.74,110.74,186722,192127,436950,406007,0
217.1,0,0,0,0,0.00,0.00,0,6150,0,0,0
222.1,0,0,0,0,0.00,0.00,0,9095,0,0,0
227.1,0,0,0,0,0.00,0.00,0,10185,0,0,0
232.1,0,0,0,0,0.00,0.00,0,14367,0,0,0
237.2,0,0,0,0,0.00,0.00,0,10447,0,0,0
242.2,0,0,0,0,0.00,0.00,0,9620,0,0,0
247.2,0,0,0,0,0.00,0.00,0,8059,0,0,0
252.2,0,0,0,0,0.00,0.00,0,10940,0,0,0
257.2,0,0,0,0,0.00,0.00,0,7365,0,0,0
262.3,0,0,0,0,0.00,0.00,0,9198,0,0,0
267.3,0,0,0,0,0.00,0.00,0,7770,0,0,0
272.3,0,0,0,0,0.00,0.00,0,8865,0,0,0
277.3,0,0,0,0,0.00,0.00,0,9541,0,0,0
282.4,0,0,0,0,0.00,0.00,0,6686,0,0,0
287.4,0,0,0,0,0.00,0.00,0,7973,0,0,0
292.4,0,0,0,0,0.00,0.00,0,10667,0,0,0
297.4,0,0,0,0,0.00,0.00,0,7477,0,0,0
302.4,0,0,0,0,0.00,0.00,0,7962,0,0,0
307.5,0,0,0,0,0.00,0.00,0,7570,0,0,0
312.5,0,0,0,0,0.00,0.00,0,14166,0,0,0
317.5,0,0,0,0,0.00,0.00,0,2208,0,0,0
322.6,0,0,0,0,0.00,0.00,0,0,0,0,0
