elapsed_s,local_pte_delta,local_refault_delta,local_hit_delta,local_lost_delta,access_pct,fast_pct,promote_delta,demote_delta,hint_fault_delta,pte_update_delta,local_fault_on_tiering
0.1,0,0,0,0,0.00,0.00,0,0,0,0,10
5.1,315737,315737,315737,0,100.00,100.00,123872,0,554997,542603,10
10.1,104958,104958,104958,0,100.00,100.00,497727,255329,1819699,2496220,10
15.2,962,962,962,0,100.00,100.00,414789,425267,2783089,2268517,10
20.2,290,290,290,0,100.00,100.00,374713,378401,919403,1108050,10
25.3,24,24,24,0,100.00,100.00,364425,358680,1749272,1801347,10
30.3,139,139,139,0,100.00,100.00,280300,340475,1555291,1125739,10
35.3,22,22,22,0,100.00,100.00,297237,240066,352785,548764,10
40.3,12,12,12,0,100.00,100.00,185393,173969,722987,728588,10
45.4,20,20,20,0,100.00,100.00,231796,231796,507789,334551,10
50.4,26,26,26,0,100.00,100.00,212506,216538,562251,714222,10
55.4,3,3,3,0,100.00,100.00,266336,275083,784954,765201,10
60.4,21,21,21,0,100.00,100.00,237951,233786,649998,664955,10
65.5,3,3,3,0,100.00,100.00,215857,225283,568466,637376,10
70.5,0,0,0,0,0.00,0.00,78200,138764,246582,2048,10
75.5,1,1,1,0,100.00,100.00,3,31479,4,4,10
80.5,0,0,0,0,0.00,0.00,2,28845,2,2,10
85.6,69461,67735,67735,96,97.52,97.52,104945,24534,172676,183250,10
90.6,57983,47902,47902,6413,82.61,82.61,197239,138727,343310,381197,10
95.6,58146,46594,46594,10281,80.13,80.13,184843,191233,392691,421606,10
100.7,52914,44284,44284,11105,83.69,83.69,193512,197682,442011,469661,10
105.7,52860,50839,50839,3056,96.18,96.18,198377,187817,364940,284662,10
110.7,40196,37071,37071,4488,92.23,92.23,221382,231494,284251,337122,10
115.7,26627,26505,26505,1818,99.54,99.54,196001,197764,474255,491925,10
120.8,21211,20630,20630,577,97.26,97.26,194360,182485,533816,543969,10
125.8,23502,23108,22900,395,98.32,97.44,181156,214293,460895,445840,10
130.8,21003,16505,16505,352,78.58,78.58,227845,194710,495335,533894,10
135.8,24283,25817,25817,1748,106.32,106.32,198673,218791,514498,398140,10
140.8,17252,14095,14095,4024,81.70,81.70,146574,149999,299179,268561,10
145.9,0,0,0,0,0.00,0.00,4,16745,4,4,10
150.9,3,3,3,0,100.00,100.00,7,14225,10,8,10
155.9,0,0,0,0,0.00,0.00,5,5745,5,5,10
160.9,0,0,0,0,0.00,0.00,1,15029,1,1,10
165.9,64898,59470,59470,60,91.64,91.64,58155,19511,117620,122031,10
171.0,48124,50704,50704,2788,105.36,105.36,153020,116392,227037,278225,10
176.0,48152,36269,36269,4038,75.32,75.32,170564,183293,333102,327656,10
181.0,36286,35232,35232,5237,97.10,97.10,172950,160221,329860,374812,10
186.1,31374,22947,22947,3530,73.14,73.14,195632,196297,399762,355596,10
191.1,56872,52631,52631,7910,92.54,92.54,158169,157503,279946,264884,10
196.1,36401,34544,34544,6566,94.90,94.90,196625,196626,330578,390328,10
201.2,26118,20602,20602,1390,78.88,78.88,159971,180485,380246,500159,10
206.2,21051,21911,21907,2691,104.09,104.07,224035,228309,572995,427762,10
211.2,22136,17631,17631,5259,79.65,79.65,179181,165476,393150,491739,0
216.2,0,2,0,0,0.00,0.00,0,17509,2,0,0
221.3,0,0,0,0,0.00,0.00,0,42642,0,0,0
226.4,0,0,0,0,0.00,0.00,0,0,0,0,0
