policy,start_s,end_s,promote,demote,hint_faults,pte_updates,anon_n0_gib,anon_n1_gib
on,0,30,314856,64563,9089143,8914654,15.56,16.44
on,30,60,1713263,1760621,4657224,4167165,15.38,16.62
on,60,90,1462442,1591494,3557721,2896334,14.88,17.12
on,90,120,1161339,1026125,3938944,2834673,15.40,16.60
on,120,150,1724730,1628864,4707644,3951542,15.77,16.23
on,150,180,1803524,1947118,3703671,2631193,15.22,16.78
on,180,210,1198170,1329408,3290859,2752034,14.72,17.28
on,210,240,1671403,1577536,4168424,3196947,15.08,16.92
on,240,270,1962855,1804160,3613818,2700979,15.68,16.32
on,270,300,1828425,2004481,4101876,3430554,15.01,16.99
