cap,workload,case,avg_trial_s,read_s,elapsed_s,speedup_vs_on,slowdown_vs_off,off_elapsed_ms,off_window,off_reason,off_local_access_pct,off_remote_ratio_pct
8G,pr,off,18.83042,30.19156,183.0,3.9154793148533065,1.0,,,,,
8G,pr,on,73.73012,26.45474,620.0,1.0,3.9154793148533065,,,,,
8G,pr,ours-w5,20.47566,26.43205,192.0,3.6008665898925845,1.0873713916099588,40022,8,local_access,100.00,80.70
8G,bc,off,23.08023,28.73214,215.0,2.1784774241851146,1.0,,,,,
8G,bc,on,50.27976,26.44289,434.0,1.0,2.1784774241851146,,,,,
8G,bc,ours-w5,24.7108,26.54806,228.0,2.034728135066449,1.0706479094879036,65026,13,local_access,99.85,89.94
16G,pr,off,19.035,27.2649,182.0,1.7650002626740218,1.0,,,,,
16G,pr,on,33.59678,23.89406,296.0,1.0,1.7650002626740218,,,,,
16G,pr,ours-w5,19.99597,23.92865,186.0,1.6801775557774894,1.0504843708957183,35016,7,local_access,100.00,74.38
16G,bc,off,19.83175,23.65247,184.0,1.911526718519546,1.0,,,,,
16G,bc,on,37.90892,23.75081,333.0,1.0,1.911526718519546,,,,,
16G,bc,ours-w5,15.15155,24.23526,149.0,2.5019829654391796,0.7640046894499981,45017,9,local_access,84.44,0.00
