policy,elapsed_s,node_balancing,hint_faults,pte_updates,promoted_pages,demoted_pages,anon_n0_gib,anon_n1_gib
off,0.059,0,0,0,0,0,0.025,0.0
off,5.125,0,0,0,0,622995,5.299,0.45
off,10.188,0,0,0,0,2373478,7.793,3.777
off,15.251,0,0,0,0,4127925,7.729,9.789
off,20.314,0,0,0,0,6125736,7.72,15.288
off,25.377,0,0,0,0,8040035,7.75,20.44
off,30.442,0,0,0,0,9917792,7.772,25.909
off,35.48,0,0,0,0,10176841,7.301,28.262
off,40.51,0,0,0,0,10176841,7.301,28.262
off,45.538,0,0,0,0,10176841,7.301,28.262
off,50.559,0,0,0,0,10176841,6.661,28.262
off,55.587,0,0,0,0,10176841,7.301,28.262
off,60.614,0,0,0,0,10176841,7.301,28.262
off,65.645,0,0,0,0,10176841,7.301,28.262
off,70.679,0,0,0,0,10176841,7.301,28.262
off,75.711,0,0,0,0,10176841,7.301,28.262
off,80.743,0,0,0,0,10176841,7.301,28.262
off,85.777,0,0,0,0,10176841,7.301,28.262
on,0.059,2,0,0,0,0,0.014,0.0
on,5.123,2,1,42172,1,1579229,7.514,1.113
on,10.186,2,1,79577,1,3689252,7.828,7.001
on,15.249,2,1,120559,1,5716603,7.791,13.139
on,20.312,2,1,166609,1,7648969,7.731,19.204
on,25.374,2,1,217037,1,9556300,7.736,25.303
on,30.404,2,2087679,2518395,580141,10362897,8.0,27.562
on,35.435,2,4366629,4746619,1488528,11280112,7.966,27.596
on,40.462,2,6774502,7012453,2394366,12180902,7.985,27.577
on,45.495,2,7533515,7798744,2624014,12554278,7.437,28.125
on,50.554,2,8853884,9092269,3386335,13181035,7.954,27.608
on,55.624,2,10165545,10468525,4167938,13950698,8.0,27.562
on,60.689,2,11621076,11910317,5000082,14800655,7.932,27.63
on,65.764,2,13076788,13286573,5852275,15637133,7.992,27.57
on,70.824,2,14447397,14646422,6629098,16418955,7.973,27.589
on,75.865,2,15085713,15128376,7037915,16985675,7.37,28.192
on,80.896,2,15175631,15419189,7066466,17037731,7.709,27.853
on,85.952,2,16112730,16122920,7326231,17223195,7.993,27.569
on,90.99,2,16630824,16843816,7844060,17946101,7.21,28.352
on,96.02,2,17368102,17630248,8040668,18045193,7.583,27.98
on,101.052,2,18291837,18416680,8418993,18329734,7.94,27.622
on,106.111,2,19025474,19072040,9110421,19020544,7.943,27.62
on,111.167,2,19747012,19858472,9302952,19202112,7.985,27.578
on,116.225,2,20434677,20513803,9948454,19858240,7.944,27.618
on,121.294,2,21154299,21234637,10658176,20558272,7.981,27.581
on,126.33,2,21830482,21955533,11332599,21233920,7.976,27.586
on,131.365,2,22233549,22233552,11722419,21840128,7.507,28.055
on,136.401,2,22306848,22668435,11785687,21867348,7.644,27.918
on,141.435,2,22487690,23217426,11785687,21867348,7.644,27.918
on,146.497,2,23674235,23863657,11906527,21900052,7.981,27.582
on,151.535,2,24282320,24380020,12443647,22506364,7.717,27.846
on,156.567,2,24282320,25166365,12443647,22603772,7.345,28.217
on,161.599,2,24282320,25952797,12443647,22603772,7.345,28.217
on,166.629,2,26356067,26616796,12443647,22603772,7.345,28.217
on,171.656,2,26865675,27337692,12762930,22940120,7.277,28.282
on,176.687,2,26865675,28124011,12762930,22941783,7.271,28.289
on,181.715,2,27006237,28844845,12762930,22941783,7.271,28.289
on,186.751,2,29434979,29560276,12959912,23012229,7.756,27.806
on,191.781,2,29434979,29560750,12959912,23128261,7.314,28.249
on,196.808,2,29702056,29898158,13100791,23218700,0.727,5.435
