policy,elapsed_s,node_balancing,hint_faults,pte_updates,promoted_pages,demoted_pages,local_pte,local_refault,local_hit,anon_n0_gib,anon_n1_gib
ours-w5,0.046,2,0,0,0,0,0,0,0,0.016,0.0
ours-w5,5.108,2,0,6588,0,592851,6588,0,0,5.229,0.391
ours-w5,10.171,2,0,26249,0,2209262,26249,0,0,7.747,3.219
ours-w5,15.235,2,0,45908,0,4113817,45908,0,0,7.74,9.158
ours-w5,20.297,2,0,101461,0,6047242,61586,0,0,7.805,15.049
ours-w5,25.359,2,0,158251,0,7927018,77129,0,0,7.741,21.08
ours-w5,30.399,2,29828,363332,0,9559256,119854,29861,0,7.672,27.89
ours-w5,35.455,2,2082547,2411506,849659,10369093,169147,169147,82224,7.821,27.738
ours-w5,40.485,2,4428633,4770802,1762013,11258671,212159,212159,125236,7.91,27.649
ours-w5,45.518,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.175,28.388
ours-w5,50.551,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.175,28.388
ours-w5,55.584,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.175,28.388
ours-w5,60.62,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.645,27.917
ours-w5,65.65,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.645,27.917
ours-w5,70.683,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.645,27.917
ours-w5,75.711,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.645,27.917
ours-w5,80.739,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.645,27.917
ours-w5,85.766,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.645,27.917
ours-w5,90.794,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.645,27.917
ours-w5,95.822,0,4818231,5164018,1893947,11583549,212165,212165,125242,7.645,27.917
ours-w10,0.046,2,0,0,0,0,0,0,0,0.008,0.0
ours-w10,5.107,2,0,13139,0,1012180,13139,0,0,5.904,0.559
ours-w10,10.169,2,0,32802,0,3306824,32802,0,0,7.728,4.504
ours-w10,15.233,2,0,45905,0,5338866,45905,0,0,7.808,9.68
ours-w10,20.297,2,0,84244,0,6595822,56220,0,0,7.748,13.62
ours-w10,25.362,2,0,116102,0,7808759,67246,0,0,7.735,17.506
ours-w10,30.426,2,0,172029,0,9525621,82878,0,0,7.755,22.333
ours-w10,35.465,2,281864,586222,6679,11037030,124935,112123,23795,7.504,28.058
ours-w10,40.491,2,2159819,2552302,1010673,11912527,161596,161596,73268,7.991,27.568
ours-w10,45.538,2,4275254,4780526,1897462,12817396,203927,203927,115599,7.922,27.637
ours-w10,50.571,2,6843211,7122062,2826292,13729043,208084,206165,117837,7.99,27.568
ours-w10,55.605,2,7793626,7843551,3156112,14107538,323685,255190,152592,7.805,27.757
ours-w10,60.642,2,8075958,8963630,3259643,14319046,383969,364504,240962,7.393,28.169
ours-w10,65.679,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.393,28.169
ours-w10,70.71,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.775,27.787
ours-w10,75.742,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.775,27.787
ours-w10,80.771,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.775,27.787
ours-w10,85.804,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.775,27.787
ours-w10,90.834,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.775,27.787
ours-w10,95.867,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.775,27.787
ours-w10,100.895,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.775,27.787
ours-w10,105.928,0,8095422,9029166,3259643,14319046,383969,383968,240962,7.775,27.787
