workload,case,policy,window_sec,read_s,avg_trial_s,elapsed_s,trial_count,speedup_vs_on,slowdown_vs_off,off_elapsed_ms,off_window,off_reason,off_local_access_pct,off_remote_ratio_pct,off_node_balancing,trials
pr,off,off,5,30.19156,18.83042,183.0,8,3.9154793148533065,1.0,,,,,,,19.46197;18.73882;18.66829;18.69900;18.68736;18.75931;18.76391;18.86473
pr,on,on,5,26.45474,73.73012,620.0,8,1.0,3.9154793148533065,,,,,,,55.42164;59.10409;87.56016;91.59940;66.66049;109.06889;75.04966;45.37660
pr,ours-w5,ours,5,26.43205,20.47566,192.0,8,3.6008665898925845,1.0873713916099588,40022,8,local_access,100.00,80.70,0,30.51664;19.37848;18.95471;18.98683;18.96822;18.98652;18.99851;19.01535
pr,ours-w10,ours,10,26.34585,24.29297,222.0,8,3.035039355006819,1.2900917770288713,50011,5,local_access,100.00,39.19,0,33.68706;47.05850;18.94052;18.88528;18.89355;18.94016;18.96861;18.97009
pr,ours-w20,ours,20,26.35976,23.47862,217.0,8,3.1403089278671406,1.2468452642054717,80008,4,local_access,100.00,77.64,0,51.69236;21.67373;19.08117;19.13093;19.04068;19.08318;19.07262;19.05424
bc,off,off,5,28.73214,23.08023,215.0,8,2.1784774241851146,1.0,,,,,,,44.11544;35.33923;32.92394;19.62469;13.38695;13.54718;11.67522;14.02924
bc,on,on,5,26.44289,50.27976,434.0,8,1.0,2.1784774241851146,,,,,,,48.86121;47.24893;38.05070;58.16470;51.93429;54.74209;43.53659;59.69956
bc,ours-w5,ours,5,26.54806,24.7108,228.0,8,2.034728135066449,1.0706479094879036,65026,13,local_access,99.85,89.94,0,33.45071;38.90390;31.70629;37.66370;16.97936;13.62041;11.34225;14.01973
bc,ours-w10,ours,10,26.5405,39.20943,344.0,8,1.2823384578658759,1.698831857394835,90013,9,local_access,85.31,66.68,0,53.70118;46.08904;37.12837;43.14718;36.97583;41.97386;30.03150;24.62851
bc,ours-w20,ours,20,26.46846,46.06731,399.0,8,1.091441197673578,1.9959640783475727,140012,7,local_access,99.10,82.56,0,53.39406;53.55211;40.05726;53.35164;43.67368;48.33928;36.60730;39.56318
