event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,consecutive,stop_reason,node_balancing
start,2026-05-20T04:34:58Z,1,0,1,10.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,,2
sample,2026-05-20T04:35:08Z,10003,1,1,10.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,,2
sample,2026-05-20T04:35:19Z,20006,2,2,10.0,80.0,20.0,1000,1000,10.00,26242,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,,2
sample,2026-05-20T04:35:29Z,30007,3,3,10.0,80.0,20.0,1000,1000,10.00,35508,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,,2
sample,2026-05-20T04:35:39Z,40008,4,4,10.0,80.0,20.0,1000,1000,10.00,58237,142,31578,9849,98566,2364474,985660.00,1378814.00,54.22,0.24,58.31,0,0,0,,2
sample,2026-05-20T04:35:49Z,50009,5,5,10.0,80.0,20.0,1000,1000,10.00,27333,23869,27333,0,122118,4654926,1221180.00,3433746.00,100.00,87.33,73.77,1,0,1,,2
sample,2026-05-20T04:35:59Z,60010,6,6,10.0,80.0,20.0,1000,1000,10.00,150651,80433,102851,41589,74268,1954566,742680.00,1211886.00,68.27,53.39,62.00,0,0,0,,2
sample,2026-05-20T04:36:09Z,70011,7,7,10.0,80.0,20.0,1000,1000,10.00,58201,58188,58201,0,35403,3945665,354030.00,3591635.00,100.00,99.98,91.03,1,0,1,,2
sample,2026-05-20T04:36:19Z,80012,8,8,10.0,80.0,20.0,1000,1000,10.00,29220,29139,29189,0,15526,706552,155260.00,551292.00,99.89,99.72,78.03,2,0,2,,2
sample,2026-05-20T04:36:29Z,90013,9,9,10.0,80.0,20.0,1000,1000,10.00,32445,9724,29997,30,41734,1888304,417340.00,1470964.00,92.45,29.97,77.90,3,0,3,,2
off,2026-05-20T04:36:29Z,90013,9,9,10.0,80.0,20.0,1000,1000,10.00,32445,9724,29997,30,41734,1888304,417340.00,1470964.00,92.45,29.97,77.90,3,0,3,local_access,0
