event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-20T09:32:59Z,1,0,1,5.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T09:33:04Z,5003,1,1,5.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T09:33:09Z,10006,2,2,5.0,80.0,20.0,1000,1000,10.00,19634,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T09:33:14Z,15008,3,3,5.0,80.0,20.0,1000,1000,10.00,26216,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T09:33:19Z,20011,4,4,5.0,80.0,20.0,1000,1000,10.00,19692,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T09:33:24Z,25013,5,5,5.0,80.0,20.0,1000,1000,10.00,19640,0,0,0,1,1,10.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T09:33:29Z,30014,6,6,5.0,80.0,20.0,1000,1000,10.00,79148,1114,18483,0,68787,228594,687870.00,0.00,23.35,1.41,0.00,0,1,0,0,,on,2
sample,2026-05-20T09:33:34Z,35015,7,7,5.0,80.0,20.0,1000,1000,10.00,146548,18121,61359,7819,86348,911900,863480.00,48420.00,41.87,12.37,5.31,0,2,0,0,,on,2
sample,2026-05-20T09:33:39Z,40016,8,8,5.0,80.0,20.0,1000,1000,10.00,17880,17880,17880,0,113697,2165484,1136970.00,1028514.00,100.00,100.00,47.50,1,0,0,1,,on,2
sample,2026-05-20T09:33:44Z,45017,9,9,5.0,80.0,20.0,1000,1000,10.00,97281,38968,47626,886,84585,1632387,845850.00,786537.00,48.96,40.06,48.18,0,0,0,0,,on,2
sample,2026-05-20T09:33:49Z,50018,10,10,5.0,80.0,20.0,1000,1000,10.00,93335,13778,38435,0,111826,856808,1118260.00,0.00,41.18,14.76,0.00,0,1,0,0,,on,2
sample,2026-05-20T09:33:54Z,55019,11,11,5.0,80.0,20.0,1000,1000,10.00,107034,55343,65219,16507,72462,819956,724620.00,95336.00,60.93,51.71,11.63,0,2,0,0,,on,2
sample,2026-05-20T09:33:59Z,60020,12,12,5.0,80.0,20.0,1000,1000,10.00,65281,63518,63720,1561,50206,720235,502060.00,218175.00,97.61,97.30,30.29,1,0,0,1,,on,2
sample,2026-05-20T09:34:04Z,65021,13,13,5.0,80.0,20.0,1000,1000,10.00,21423,21161,21403,15,44688,1525159,446880.00,1078279.00,99.91,98.78,70.70,2,0,0,2,,on,2
sample,2026-05-20T09:34:09Z,70022,14,14,5.0,80.0,20.0,1000,1000,10.00,5441,5039,5361,0,88901,2189822,889010.00,1300812.00,98.53,92.61,59.40,3,0,0,3,,on,2
off,2026-05-20T09:34:09Z,70022,14,14,5.0,80.0,20.0,1000,1000,10.00,5441,5039,5361,0,88901,2189822,889010.00,1300812.00,98.53,92.61,59.40,3,0,0,3,local_access,off,0
