event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-20T09:54:46Z,1,0,1,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T09:55:06Z,20003,1,1,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T09:55:26Z,40005,2,2,20.0,80.0,20.0,1000,1000,10.00,78708,0,44255,0,200286,2535089,2002860.00,532229.00,56.23,0.00,20.99,0,0,0,0,,on,2
sample,2026-05-20T09:55:46Z,60005,3,3,20.0,80.0,20.0,1000,1000,10.00,303530,42550,257995,42342,242335,5441747,2423350.00,3018397.00,85.00,14.02,55.47,1,0,0,1,,on,2
sample,2026-05-20T09:56:06Z,80006,4,4,20.0,80.0,20.0,1000,1000,10.00,144014,88494,125451,18563,137629,3653396,1376290.00,2277106.00,87.11,61.45,62.33,2,0,0,2,,on,2
sample,2026-05-20T09:56:26Z,100007,5,5,20.0,80.0,20.0,1000,1000,10.00,213380,65511,201531,7592,148872,1861036,1488720.00,372316.00,94.45,30.70,20.01,3,0,0,3,,on,2
off,2026-05-20T09:56:26Z,100007,5,5,20.0,80.0,20.0,1000,1000,10.00,213380,65511,201531,7592,148872,1861036,1488720.00,372316.00,94.45,30.70,20.01,3,0,0,3,local_access,off,0
sample,2026-05-20T09:56:46Z,120008,6,6,20.0,80.0,20.0,1000,1000,10.00,86801,28747,83712,3039,23813,23821,238130.00,0.00,96.44,33.12,0.00,1,1,0,1,,off,0
sample,2026-05-20T09:57:06Z,140009,7,7,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,92,92,920.00,0.00,0.00,0.00,0.00,0,0,1,0,,off,0
sample,2026-05-20T09:57:26Z,160010,8,8,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-20T09:57:26Z,160010,8,8,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-20T09:57:46Z,180011,9,9,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,1175650,0.00,1175650.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T09:58:06Z,200012,10,10,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2568079,0.00,2568079.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T09:58:26Z,220013,11,11,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,1796903,0.00,1796903.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T09:58:46Z,240013,12,12,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2710602,0.00,2710602.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T09:59:06Z,260014,13,13,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2293453,0.00,2293453.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T09:59:26Z,280016,14,14,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2279373,0.00,2279373.00,0.00,0.00,100.00,0,0,0,0,,on,2
exit,2026-05-20T09:59:27Z,281219,15,0,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
