event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-20T07:31:49Z,1,0,1,5.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T07:31:54Z,5003,1,1,5.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T07:31:59Z,10006,2,2,5.0,80.0,20.0,1000,1000,10.00,13130,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T07:32:04Z,15008,3,3,5.0,80.0,20.0,1000,1000,10.00,19660,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T07:32:09Z,20011,4,4,5.0,80.0,20.0,1000,1000,10.00,17224,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T07:32:14Z,25013,5,5,5.0,80.0,20.0,1000,1000,10.00,16836,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T07:32:19Z,30016,6,6,5.0,80.0,20.0,1000,1000,10.00,15837,0,15837,0,153927,1196229,1539270.00,0.00,100.00,0.00,0.00,1,1,0,1,,on,2
sample,2026-05-20T07:32:24Z,35017,7,7,5.0,80.0,20.0,1000,1000,10.00,71240,71240,71240,0,43587,2487585,435870.00,2051715.00,100.00,100.00,82.48,2,0,0,2,,on,2
sample,2026-05-20T07:32:29Z,40019,8,8,5.0,80.0,20.0,1000,1000,10.00,43602,43602,43602,0,43358,2218920,433580.00,1785340.00,100.00,100.00,80.46,3,0,0,3,,on,2
off,2026-05-20T07:32:29Z,40019,8,8,5.0,80.0,20.0,1000,1000,10.00,43602,43602,43602,0,43358,2218920,433580.00,1785340.00,100.00,100.00,80.46,3,0,0,3,local_access,off,0
