event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-20T07:54:46Z,0,0,1,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T07:55:06Z,20002,1,1,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T07:55:26Z,40009,2,2,20.0,80.0,20.0,1000,1000,10.00,71593,0,71593,0,165416,5881221,1654160.00,4227061.00,100.00,0.00,71.87,1,0,0,1,,on,2
sample,2026-05-20T07:55:46Z,60011,3,3,20.0,80.0,20.0,1000,1000,10.00,93823,78257,93823,0,187558,4987722,1875580.00,3112142.00,100.00,83.41,62.40,2,0,0,2,,on,2
sample,2026-05-20T07:56:06Z,80013,4,4,20.0,80.0,20.0,1000,1000,10.00,187560,118807,187558,0,101794,4522363,1017940.00,3504423.00,100.00,63.34,77.49,3,0,0,3,,on,2
off,2026-05-20T07:56:06Z,80013,4,4,20.0,80.0,20.0,1000,1000,10.00,187560,118807,187558,0,101794,4522363,1017940.00,3504423.00,100.00,63.34,77.49,3,0,0,3,local_access,off,0
sample,2026-05-20T07:56:26Z,100014,5,5,20.0,80.0,20.0,1000,1000,10.00,103423,95753,103414,9,1620,1620,16200.00,0.00,99.99,92.58,0.00,1,1,0,1,,off,0
sample,2026-05-20T07:56:46Z,120015,6,6,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,,off,0
sample,2026-05-20T07:57:06Z,140016,7,7,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-20T07:57:06Z,140016,7,7,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-20T07:57:26Z,160017,8,8,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2316938,0.00,2316938.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T07:57:46Z,180018,9,9,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2929656,0.00,2929656.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T07:58:06Z,200019,10,10,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,1998246,0.00,1998246.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T07:58:26Z,220020,11,11,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2235020,0.00,2235020.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T07:58:46Z,240021,12,12,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2567439,0.00,2567439.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T07:59:06Z,260022,13,13,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2415294,0.00,2415294.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T07:59:26Z,280023,14,14,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,1571192,0.00,1571192.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T07:59:46Z,300024,15,15,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2411676,0.00,2411676.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T08:00:06Z,320025,16,16,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,1976179,0.00,1976179.00,0.00,0.00,100.00,0,0,0,0,,on,2
exit,2026-05-20T08:00:26Z,339443,17,0,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
