workload,cap,policy,window_sec,returncode,elapsed_s,read_s,avg_trial_s,off_count,on_count,first_off_ms,first_off_window,first_off_reason,first_on_ms,first_on_window,final_controller_state,capacity_pages,kswapd_demotion_on,global_demotion_enabled,reenable_consecutive,numa_hint_faults,pgpromote_success,pgdemote_kswapd,pgdemote_direct,trial1_s,trial2_s,trial3_s,trial4_s,trial5_s,trial6_s,trial7_s,trial8_s
bc,16g,off,,0,421,24.78904,49.36582,0,0,,,,,,,4194304,0,0,0,0,0,0,0,52.26171,47.72944,41.57015,52.91172,50.55520,52.06728,43.15775,54.67330
bc,16g,on,,0,334,23.84945,38.22507,0,0,,,,,,,4194304,1,1,0,38622609,6044904,0,16942039,49.15380,36.41749,32.56962,37.50302,38.64457,31.22341,35.57248,44.71617
bc,16g,oneshot,10,0,186,24.03628,19.91531,1,0,60010,6,local_access,,,off,4194304,1,1,0,8926266,1440453,0,11184265,37.31088,32.18734,25.42648,13.03551,12.87737,13.30591,11.08888,14.09012
bc,16g,oneshot,20,0,237,26.13512,25.88901,1,0,100007,5,local_access,,,off,4194304,1,1,0,12857044,1979813,0,12605241,54.79046,42.48875,32.99550,25.29213,12.90814,13.30908,11.27400,14.05399
bc,16g,oneshot,5,0,205,24.14968,22.11875,1,0,70022,14,local_access,,,off,4194304,1,1,0,11054433,2137482,0,11585438,47.32977,32.85425,31.81800,13.39737,12.91603,13.36483,11.10305,14.16668
bc,16g,toggle,10,0,335,23.86028,38.38612,1,1,120014,12,local_access,150017,15,on,4194304,1,1,2,34574586,5222350,0,17127689,54.14682,36.69702,33.61827,36.52464,35.62637,38.02693,32.16067,40.28825
bc,16g,toggle,20,0,281,24.01422,31.59196,1,1,100007,5,local_access,160010,8,on,4194304,1,1,2,26339260,4451192,0,16375639,52.23702,44.84540,32.23936,29.05162,21.35307,34.83665,21.93255,16.24000
bc,16g,toggle,5,0,340,23.97206,38.82430,1,1,90024,18,remote_ratio,120030,24,on,4194304,1,1,2,35579060,5710000,0,16655719,51.87476,37.86286,33.60694,37.56225,40.33985,39.79614,31.84605,37.70556
bc,8g,off,,0,161,25.67327,16.62260,0,0,,,,,,,2097152,0,0,0,0,0,0,0,18.05901,15.43768,13.79270,17.03317,17.91231,18.64394,14.52071,17.58131
bc,8g,on,,0,453,26.45009,52.52492,0,0,,,,,,,2097152,1,1,0,60644956,8505983,0,20194142,50.69145,50.76217,40.08907,58.28427,53.56752,54.31509,47.70423,64.78558
bc,8g,oneshot,10,0,293,26.37056,32.80896,1,0,90015,9,local_access,,,off,2097152,1,1,0,15728816,2969519,0,13821988,49.89455,44.05928,34.04759,37.75379,35.28356,28.75942,17.77094,14.90253
bc,8g,oneshot,20,0,403,29.64195,46.05124,1,0,140011,7,local_access,,,off,2097152,1,1,0,22241226,3447392,0,16360075,42.89329,48.88883,40.50668,58.61356,48.40073,45.73541,41.32023,42.05117
bc,8g,oneshot,5,0,372,26.46308,42.69546,1,0,65029,13,local_access,,,off,2097152,1,1,0,11243626,2057377,0,12803327,45.81701,52.78952,38.75193,44.76768,41.61576,38.39133,37.89502,41.53543
bc,8g,toggle,10,0,433,27.34925,50.06638,1,1,90015,9,local_access,130019,13,on,2097152,1,1,2,52395108,7411976,0,19626112,46.19732,44.72100,38.87193,55.73894,51.71427,55.70281,44.87018,62.71458
bc,8g,toggle,20,0,417,27.02568,48.00451,1,1,140010,7,local_access,200013,10,on,2097152,1,1,2,48872981,6722025,0,19712828,51.71402,41.91442,39.19804,43.12134,44.47940,53.76424,44.57760,65.26702
bc,8g,toggle,5,0,468,26.31907,54.33519,1,1,70025,14,local_access,85028,17,on,2097152,1,1,2,57309762,7973306,0,20593780,55.18576,53.45092,42.41306,60.14289,53.22914,57.75074,48.12307,64.38594
pr,16g,off,,0,178,24.48849,19.02841,0,0,,,,,,,4194304,0,0,0,0,0,0,0,19.55175,18.94963,18.93142,18.93798,18.97151,18.95024,18.94814,18.98660
pr,16g,on,,0,320,24.18860,36.65146,0,0,,,,,,,4194304,1,1,0,38033617,9895810,0,19505917,42.64657,77.35408,19.72882,20.26722,20.85928,20.91921,47.73687,43.69963
pr,16g,oneshot,10,0,197,23.66476,21.39773,1,0,50010,5,local_access,,,off,4194304,1,1,0,6819178,2016424,0,11123302,27.12977,28.18367,19.23321,19.31048,19.34423,19.32081,19.30879,19.35085
pr,16g,oneshot,20,0,206,25.23453,22.27940,1,0,80007,4,local_access,,,off,4194304,1,1,0,12261558,4810898,0,14081224,26.62694,34.87478,19.89712,19.33742,19.38352,19.43265,19.34248,19.34026
pr,16g,oneshot,5,0,185,23.69692,19.91645,1,0,35015,7,local_access,,,off,4194304,1,1,0,4425420,1081519,0,9946722,24.36421,19.51061,19.24103,19.22009,19.23563,19.26810,19.24426,19.24767
