workload,cap,policy,returncode,elapsed_s,read_s,avg_trial_s,stop_ms,stop_window,stop_reason,stop_local_pct,stop_remote_pct,capacity_pages,node_balancing_on,kswapd_demotion_on,global_demotion_enabled,numa_hint_faults,pgpromote_success,pgdemote_kswapd,pgdemote_direct,trial1_s,trial2_s,trial3_s,trial4_s,trial5_s,trial6_s,trial7_s,trial8_s
bc,16g,off,0,422,24.53915,49.38733,,,,,,4194304,2,0,0,0,0,0,0,52.24426,47.83430,41.61513,52.94618,50.52337,52.08596,43.11809,54.73136
bc,16g,on,0,364,23.97301,41.87712,,,,,,4194304,2,1,1,41480970,6071976,0,17720851,48.63537,41.02033,35.23706,47.90656,44.37254,47.20915,34.24421,36.39176
bc,16g,ours,0,211,24.25084,22.98882,70021,14,local_access,83.87,,4194304,2,1,1,10502170,1326698,0,12225913,50.69706,32.13071,33.21442,16.32964,12.92426,13.32004,11.25627,14.03817
bc,8g,off,0,161,27.85915,16.39678,,,,,,2097152,2,0,0,0,0,0,0,17.66440,15.37149,13.59982,16.79057,17.58582,18.63253,14.36311,17.16650
bc,8g,on,0,429,26.33761,49.49277,,,,,,2097152,2,1,1,58695591,7249562,0,20535422,45.41740,44.23496,42.48335,58.52738,50.96062,53.66529,41.51052,59.14269
bc,8g,ours,0,271,26.37881,30.26469,65021,13,local_access,99.83,,2097152,2,1,1,11757836,1640313,0,12608241,33.57981,44.82914,34.85911,35.89025,38.48841,28.12450,11.78185,14.56445
pr,16g,off,0,183,29.21120,19.06677,,,,,,4194304,2,0,0,0,0,0,0,19.52108,18.99003,18.95768,19.01670,19.03281,18.99886,18.98173,19.03532
pr,16g,on,0,194,24.34970,20.83487,,,,,,4194304,2,1,1,16460892,4232720,0,13132631,27.49314,20.49392,20.49669,20.24482,19.51424,19.49726,19.47420,19.46472
pr,16g,ours,0,186,23.44729,20.05267,35015,7,local_access,100.00,,4194304,2,1,1,5365535,1061961,0,10034397,23.52976,19.52052,19.58733,19.60309,19.58677,19.46227,19.55190,19.57974
pr,8g,off,0,190,36.93454,18.87299,,,,,,2097152,2,0,0,0,0,0,0,19.30974,18.78020,18.85872,18.79655,18.78353,18.80972,18.83834,18.80710
pr,8g,on,0,321,26.15750,36.44195,,,,,,2097152,2,1,1,45164520,6527491,0,15685628,29.42556,21.04976,20.58329,20.33971,40.10979,82.26438,27.55259,50.21048
pr,8g,ours,0,192,26.62306,20.36242,40022,8,local_access,100.00,,2097152,2,1,1,7375040,1962992,0,10732380,27.47002,19.32097,19.34587,19.39010,19.36410,19.34357,19.32026,19.34449
