event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-20T06:15:43Z,0,0,1,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T06:16:03Z,20003,1,1,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T06:16:23Z,40004,2,2,20.0,80.0,20.0,1000,1000,10.00,78621,0,78614,1,326334,4245572,3263340.00,982232.00,99.99,0.00,23.14,1,0,0,1,,on,2
sample,2026-05-20T06:16:43Z,60005,3,3,20.0,80.0,20.0,1000,1000,10.00,284034,94092,254831,29203,163719,4429566,1637190.00,2792376.00,89.72,33.13,63.04,2,0,0,2,,on,2
sample,2026-05-20T06:17:03Z,80006,4,4,20.0,80.0,20.0,1000,1000,10.00,177942,111448,169186,8756,205109,4178530,2051090.00,2127440.00,95.08,62.63,50.91,3,0,0,3,,on,2
off,2026-05-20T06:17:03Z,80006,4,4,20.0,80.0,20.0,1000,1000,10.00,177942,111448,169186,8756,205109,4178530,2051090.00,2127440.00,95.08,62.63,50.91,3,0,0,3,local_access,off,0
sample,2026-05-20T06:17:23Z,100007,5,5,20.0,80.0,20.0,1000,1000,10.00,242255,139174,237746,4499,45175,45212,451750.00,0.00,98.14,57.45,0.00,1,1,0,1,,off,0
sample,2026-05-20T06:17:43Z,120008,6,6,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,10,11,100.00,0.00,0.00,0.00,0.00,0,0,1,0,,off,0
sample,2026-05-20T06:18:03Z,140009,7,7,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-20T06:18:03Z,140009,7,7,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-20T06:18:23Z,160010,8,8,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2775598,0.00,2775598.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T06:18:43Z,180011,9,9,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2523148,0.00,2523148.00,0.00,0.00,100.00,0,0,0,0,,on,2
exit,2026-05-20T06:18:48Z,185017,10,0,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
