event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-20T05:41:24Z,0,0,1,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T05:41:44Z,20003,1,1,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-20T05:42:04Z,40005,2,2,20.0,80.0,20.0,1000,1000,10.00,78698,0,78698,0,377972,5869552,3779720.00,2089832.00,100.00,0.00,35.60,1,0,0,1,,on,2
sample,2026-05-20T05:42:24Z,60007,3,3,20.0,80.0,20.0,1000,1000,10.00,318262,189328,318261,0,208496,4578102,2084960.00,2493142.00,100.00,59.49,54.46,2,0,0,2,,on,2
sample,2026-05-20T05:42:44Z,80009,4,4,20.0,80.0,20.0,1000,1000,10.00,189518,126424,189518,0,228429,1813137,2284290.00,0.00,100.00,66.71,0.00,3,1,0,3,,on,2
off,2026-05-20T05:42:44Z,80009,4,4,20.0,80.0,20.0,1000,1000,10.00,189518,126424,189518,0,228429,1813137,2284290.00,0.00,100.00,66.71,0.00,3,1,0,3,local_access,off,0
sample,2026-05-20T05:43:04Z,100010,5,5,20.0,80.0,20.0,1000,1000,10.00,300526,186835,283558,16968,55129,55129,551290.00,0.00,94.35,62.17,0.00,1,1,0,1,,off,0
sample,2026-05-20T05:43:24Z,120011,6,6,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,,off,0
sample,2026-05-20T05:43:44Z,140012,7,7,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-20T05:43:44Z,140013,7,7,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-20T05:44:04Z,160014,8,8,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,2152554,0.00,2152554.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T05:44:24Z,180015,9,9,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,1837668,0.00,1837668.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T05:44:44Z,200016,10,10,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,1806116,0.00,1806116.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T05:45:04Z,220018,11,11,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,3144940,0.00,3144940.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T05:45:24Z,240020,12,12,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,1656095,0.00,1656095.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-20T05:45:44Z,260022,13,13,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,1,1756047,10.00,1756037.00,0.00,0.00,100.00,0,0,0,0,,on,2
exit,2026-05-20T05:45:44Z,260022,13,0,20.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
