workload,cap,window_sec,policy,returncode,elapsed_s,read_s,avg_trial_s,off_count,on_count,first_off_ms,first_off_window,first_off_reason,first_on_ms,first_on_window,final_controller_state,capacity_pages,reenable_consecutive,numa_hint_faults,pgpromote_success,pgdemote_kswapd,pgdemote_direct,trial1_s,trial2_s,trial3_s,trial4_s,trial5_s,trial6_s,trial7_s,trial8_s
bc,16g,10,toggle,0,177,23.84127,18.59924,1,1,80013,8,local_access,110017,11,on,4194304,2,20542547,4260561,0,14417698,25.44025,33.64488,17.23213,12.64367,14.10500,14.57538,16.00591,15.14670
bc,16g,20,toggle,0,185,23.64874,19.65504,1,1,80006,4,local_access,140009,7,on,4194304,2,18597994,4036259,0,14268199,25.74165,36.00222,24.23592,12.68767,12.49947,14.10716,12.64293,19.32328
bc,16g,5,toggle,0,312,23.94792,35.36535,1,1,65022,13,local_access,85026,17,on,4194304,2,33995312,5995238,0,16408810,34.21979,34.21780,34.12551,34.76025,36.82390,37.59436,33.62160,37.55961
bc,8g,10,toggle,0,441,29.32396,50.74007,1,1,90015,9,local_access,130018,13,on,2097152,2,53294851,7492917,0,21515194,49.88906,41.56048,38.18816,56.32648,52.23492,57.82929,47.25802,62.63414
bc,8g,20,toggle,0,425,26.47147,49.08597,1,1,140010,7,local_access,200014,10,on,2097152,2,50408335,6525993,0,18736252,53.33216,46.75183,37.34700,47.13791,50.98124,54.70577,41.10864,61.32317
bc,8g,5,toggle,0,438,26.50645,50.62334,1,1,65026,13,local_access,80032,16,on,2097152,2,57378503,8402130,0,21258929,40.64319,52.17893,40.17088,52.33318,51.75862,54.80699,48.51260,64.58235
pr,16g,10,toggle,0,268,24.05046,30.10791,1,1,50009,5,local_access,80012,8,on,4194304,2,29764062,7753854,0,17332002,27.05018,31.61871,32.85741,21.23593,20.73507,20.24269,67.25254,19.87078
pr,16g,20,toggle,0,260,23.98049,29.17429,1,1,80009,4,local_access,140013,7,on,4194304,2,24670179,7584769,0,16761914,41.06668,24.29341,19.42103,19.45821,19.46483,20.45029,67.44782,21.79205
pr,16g,5,toggle,0,364,24.05202,42.13903,1,1,35017,7,local_access,50022,10,on,4194304,2,40421785,8951092,0,18085209,23.87442,34.17557,47.47767,20.61578,68.18836,62.36562,21.09421,59.32064
pr,8g,10,toggle,0,309,26.23485,34.85731,1,1,50013,5,local_access,80016,8,on,2097152,2,37609563,17496649,0,27988639,33.00837,19.12485,40.65078,44.20711,74.50476,22.98057,23.44124,20.94076
pr,8g,20,toggle,0,301,26.43463,33.86487,1,1,80010,4,local_access,140013,7,on,2097152,2,33753056,10879215,0,21182944,50.85981,41.39385,19.29048,22.24836,47.43776,26.30003,41.91409,21.47457
pr,8g,5,toggle,0,440,33.65628,50.36476,1,1,45027,9,local_access,60032,12,on,2097152,2,56726664,10253926,0,21327955,31.85435,65.00559,39.78461,44.48481,90.29476,88.39726,21.03376,22.06295
